﻿id,authors,title,year,source,publisher,articleurl,citesurl,abstract,fulltexturl,relatedurl,String Search,v1_decision,v1_reason,v2_decision,v2_reason
1,"A Lops, F Narducci, A Ragone, Mà Trizio",A system for automated unit test generation using large language models and assessment of generated test suites,2025, on Software Testing ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10962454/,"https://scholar.google.com/scholar?cites=2792997904990105105&as_sdt=2005&sciodt=0,5&hl=en"," for systematic experimentation with prompts to optimize LLM output. 5) Automated Context Extraction: Accurate context extraction (eg, Java version) minimized manual intervention and ",https://arxiv.org/pdf/2408.07846?,"https://scholar.google.com/scholar?q=related:EW5Y8cu4wiYJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,IC-I: Không tìm thấy thông tin sử dụng GPT-4 ho?c GPT-4o trong phần tóm tắt và đoạn trích PDF được cung cấp.,,
2,"R Pan, Mà Kim, R Krishna, R Pavuluri",Aster: Natural and multi-language unit test generation with llms,2025,2025 IEEE/ACM 47th ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11121720/,"https://scholar.google.com/scholar?cites=6207835999541139018&as_sdt=2005&sciodt=0,5&hl=en"," to different programming languages, specifically Java and Python, and to complex software  Java applications and a large Python benchmark. Our results demonstrate that LLMbased ",https://arxiv.org/pdf/2409.03093,"https://scholar.google.com/scholar?q=related:ShaIePOpJlYJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,UNSURE,IC-I: Không thấy đề cập đến việc sử dụng GPT-4 ho?c GPT-4o; IC-E: Không thấy số liệu thực nghiệm cụ thể và? Branch Coverage ho?c Mutation Score.,Include,"Đọc full-text, xác nhận đủ IC"
3,"C Kumar, US Ponaka, PVLN Naidu","AI-Powered Unit Test Generation via Multi-LLM Chaining: A Case Study With GPT-4o, Gemini, and Claude-3.5",2025,IEEE ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11269709/,"https://scholar.google.com/scholar?cites=12530224562241630230&as_sdt=2005&sciodt=0,5&hl=en", This paper shows how the automation of test case generation for Java programs can be greatly improved by integrating several large language models (LLMs) in a structured pipeline. ,https://ieeexplore.ieee.org/iel8/6287639/10820123/11269709.pdf,"https://scholar.google.com/scholar?q=related:FnBJ9NlM5K0J:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,EC-A: Không truy c?p được full-text và abstract thiếu số liệu coverage,,
4,"J Liu, C Li, R Chen, S Li, B Gu, Mà Yang",STRUT: Structured Seed Case Guided Unit Test Generation for C Programs using LLMs,2025,Proceedings of the ACM on ,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3728970,"https://scholar.google.com/scholar?cites=1614520279787105812&as_sdt=2005&sciodt=0,5&hl=en"," test case generation works based on LLMs are targeted at specific languages such as Java and Python.  to a test case generation template, and sends them to the LLM, specifically GPT-",https://dl.acm.org/doi/pdf/10.1145/3728970,"https://scholar.google.com/scholar?q=related:FO5f76PtZxYJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,EC-A: Không truy c?p được full-text và abstract thiếu số liệu coverage,,
5,"J Zhang, X Hu, C Gao, X Xia, S Li",Enhancing Automated Unit Test Generation with Large Language Models: A Systematic Literature Review,2026,ACM Transactions on Software ,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3802827,"https://scholar.google.com/scholar?cites=5247135462328783526&as_sdt=2005&sciodt=0,5&hl=en"," This paper presents a systematic literature review of LLM-based unit test generation. This  evaluating LLMs on project-level unit test generation across Python, Java, and JavaScript. The ",https://dl.acm.org/doi/pdf/10.1145/3802827,"https://scholar.google.com/scholar?q=related:plJ2COeR0UgJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,EC-A: Không truy c?p được full-text và abstract thiếu số liệu coverage,,
6,"D Huang, JM Zhang, Mà Harman, Q Zhang",Benchmarking llms for unit test generation from real-world functions,2025,ACM Transactions on ,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3805043,"https://scholar.google.com/scholar?cites=7634539076722696920&as_sdt=2005&sciodt=0,5&hl=en"," for evaluating LLM-driven test case generation for real-world, function-level Python tasks. ULT  to enhance the understanding of LLM capabilities in generating high-quality unit tests for ",https://dl.acm.org/doi/pdf/10.1145/3805043,"https://scholar.google.com/scholar?q=related:2CLlO9dU82kJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,EC-A: Không truy c?p được full-text và abstract thiếu số liệu coverage,,
7,W Wei,Static analysis and llm for comprehensive java unit test generation,2025,2025 8th International Conference on Advanced ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11042526/,"https://scholar.google.com/scholar?cites=1370347455376552422&as_sdt=2005&sciodt=0,5&hl=en"," This paper introduces SAGEN, a tool designed to automate Java unit test generation by leveraging static analysis of Abstract Syntax Trees (AST) and large language models (LLMs). ",,"https://scholar.google.com/scholar?q=related:5nGUEMBzBBMJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,UNSURE,"IC-I, IC-E: Không c full-text để xác minh việc sử dụng GPT-4 và số liệu coverage cụ thể.",Include,"Đọc full-text, xác nhận đủ IC"
8,"K Zheng, Y Shen, Y Tao",Automatic Unit Test Generation for Programming Assignments Using Large Language Models,2025,2025 IEEE/ACM 37th International ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11024401/,"https://scholar.google.com/scholar?cites=16238009656945481073&as_sdt=2005&sciodt=0,5&hl=en"," the GPT-4omini model of ChatGPT as it demonstrates certain potentials in the plain approach. For the communication with the LLM, we leveraged the ChatGPT Java SDK [33] to support ",,"https://scholar.google.com/scholar?q=related:cRWZFcD_WOEJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-I: Bi bo sử dụng GPT-4o mini, không phải GPT-4 ho?c GPT-4o theo yêu cầu.",,
9,"T Godage, S Nimishan",Evaluating the effectiveness of large language models in automated unit test generation,2025,2025 5th ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10962997/,"https://scholar.google.com/scholar?cites=17707092291982317265&as_sdt=2005&sciodt=0,5&hl=en", which LLM is the most suitable and efficient for software testers to use for unit test generation  [5] proposed Java unit tests generated by an OpenAI LLM to enhance the quality compared ,,"https://scholar.google.com/scholar?q=related:0daplJ86vPUJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-E: Abstract không đề cập số liệu cụ thể và? Branch Coverage ho?c Mutation Score. IC-I: Không thấy đề cập GPT-4 ho?c GPT-4o, không c bằng chứng và? kết quả ring cho GPT-4.",,
10,"SZ Esubalew, BG Assefa",Reimagining Unit Test Generation With AI: A Journey From Evolutionary Models to Transformers,2025,IEEE Access,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11121142/,"https://scholar.google.com/scholar?cites=8700394653526560713&as_sdt=2005&sciodt=0,5&hl=en"," ensure reliability, yet manual test case generation is labor-intensive  of AI-driven unit test case generation, particularly for Java, is  for unit test case generation, focusing on Java-specific ",https://ieeexplore.ieee.org/iel8/6287639/6514899/11121142.pdf,"https://scholar.google.com/scholar?q=related:yY8oOdcCvngJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,EC-A: Không truy c?p được full-text và abstract thiếu số liệu coverage,,
