id,title,authors,year,venue,search_strings
1,"(Programs), Proofs and Refutations (and Tests and Mutants)","Groce, Alex",2024,"Proceedings of the 2024 ACM SIGPLAN International Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software",String A
2,ContrastRepair: Enhancing Conversation-Based Automated Program Repair via Contrastive Test Case Pairs,"Kong, Jiaolong; Xie, Xiaofei; Cheng, Mingfei; Liu, Shangqing; Du, Xiaoning; Guo, Qi",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B"
3,CITYWALK: Enhancing LLM-Based C++ Unit Test Generation via Project-Dependency Awareness and Language-Specific Knowledge,"Zhang, Yuwei; Lu, Qingyuan; Liu, Kai; Dou, Wensheng; Zhu, Jiaxin; Qian, Li; Zhang, Chunxi; Lin, Zheng; Wei, Jun",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B, String C"
4,Citadel : Context Similarity Based Deep Learning Framework Bug Finding,"Zhang, Xiaoyu; Zhai, Juan; Ma, Shiqing; Wang, Shiwei; Shen, Chao",2025,ACM Transactions on Software Engineering and Methodology,String A
5,DrWASI : LLM-assisted Differential Testing for WebAssembly System Interface Implementations,"Zhang, Yixuan; He, Ningyu; Gao, Jianting; Cao, Shangtong; Liu, Kaibo; Wang, Haoyu; Ma, Yun; Huang, Gang; Liu, Xuanzhe",2026,ACM Transactions on Software Engineering and Methodology,String A
6,FAVDisco : Modeling and Discovering File Access Vulnerabilities,"Zhao, Beibei; Feng, Wenjie; Guo, Qingli; Sun, Yingli; Gu, Fangming; Zhang, Bolun; Gong, Xiaorui; Li, Hong",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B"
7,Testing and Mitigating Ethically Inconsistent Suggestions of Large Language Models with Reflective Equilibrium,"Ma, Pingchuan; Wang, Zhaoyu; Li, Zongjie; Ji, Zhenlan; Sun, Ao; Rahmel, Juergen; Wang, Shuai",2026,ACM Transactions on Software Engineering and Methodology,String A
8,Vital : Vulnerability-Oriented Symbolic Execution via Type-Unsafe Pointer-Guided Monte Carlo Tree Search,"Tu, Haoxin; Jiang, Lingxiao; Böhme, Marcel",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B"
9,A 2030 Roadmap for Software Engineering,"Pezzè, Mauro; Abrahão, Silvia; Penzenstadler, Birgit; Poshyvanyk, Denys; Roychoudhury, Abhik; Yue, Tao",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B"
10,A Case for Learned Cloud Emulators,"Bhatnagar, Archit; Qiu, Yiming; McClure, Sarah; Ratnasamy, Sylvia; Chen, Ang",2025,Proceedings of the 24th ACM Workshop on Hot Topics in Networks,String A
11,A Catalog of Data Smells for Coding Tasks,"Vitale, Antonio; Oliveto, Rocco; Scalabrino, Simone",2025,ACM Transactions on Software Engineering and Methodology,String A
12,A Comparative Study of Android Performance Issues in Real-world Applications and Literature,"Liao, Dianshu; Pan, Shidong; Yang, Siyuan; Zhao, Yanjie; Xing, Zhenchang; Sun, Xiaoyu",2025,ACM Transactions on Software Engineering and Methodology,String B
13,A Comparative Study on ChatGPT and Checklist as Support Tools for Unit Testing Education,"Fang, Zihan; Li, Jiliang; Liang, Anda; Bai, Gina R.; Huang, Yu",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,String B
14,A Comprehensive Evaluation of Parameter-Efficient Fine-Tuning on Code Smell Detection,"Zhang, Beiqi; Liang, Peng; Zhou, Xin; Zhou, Xiyu; Lo, David; Feng, Qiong; Li, Zengyang; Li, Lin",2026,ACM Transactions on Software Engineering and Methodology,String A
15,A Comprehensive Study on Large Language Models for Mutation Testing,"Wang, Bo; Chen, Mingda; Deng, Ming; Lin, Youfang; Harman, Mark; Papadakis, Mike; Zhang, Jie M.",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B, String C"
16,"A Comprehensive Survey on Database Management System Fuzzing: Techniques, Taxonomy and Evaluation","Gao, Xiyue; Liu, Zhuang; Cui, Jiangtao; Li, Hui; Zhang, Hui; Wei, Kewei; Zhao, Kankan",2026,ACM Computing Surveys,"String A, String B, String C"
17,A DSL for Testing LLMs for Fairness and Bias,"Morales, Sergio; Clarisó, Robert; Cabot, Jordi",2024,Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,String A
18,A First Look at the Inheritance-Induced Redundant Test Execution,"Kim, Dong Jae; Yang, Jinqiu; Chen, Tse-Hsun",2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,String B
19,A Large-Scale Empirical Review of Patch Correctness Checking Approaches,"Yang, Jun; Wang, Yuehan; Lou, Yiling; Wen, Ming; Zhang, Lingming",2023,Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,"String A, String B"
20,A Large-Scale Empirical Study on Fine-Tuning Large Language Models for Unit Testing,"Shang, Ye; Zhang, Quanjun; Fang, Chunrong; Gu, Siqi; Zhou, Jianyi; Chen, Zhenyu",2025,Proceedings of the ACM on Software Engineering,"String A, String B"
21,A Large-Scale Evaluation for Log Parsing Techniques: How Far Are We?,"Jiang, Zhihan; Liu, Jinyang; Huang, Junjie; Li, Yichen; Huo, Yintong; Gu, Jiazhen; Chen, Zhuangbin; Zhu, Jieming; Lyu, Michael R.",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String B
22,A Method for Efficient Structured Data Generation with Large Language Models,"Hou, Zongzhi; Zhao, Ruohan; Li, Zhongyang; Wang, Zheng; Wu, Yizhen; Gou, Junwei; Zhu, Zhifeng",2024,Proceedings of the 2nd Workshop on Large Generative Models Meet Multimodal Applications,"String A, String B"
23,A Model of How Students Engineer Test Cases With Feedback,"Shin, Austin M.; Kazerouni, Ayaan M.",2024,ACM Transactions on Computing Education,"String A, String B"
24,A Multi-Agent Coding Assistant for Cloud-Native Development: From Requirements to Deployable Microservices,"Guan, Tian",2025,Proceedings of the 2025 6th International Conference on Computer Science and Management Technology,String A
25,A Multi-Dimensional Quality Evaluation of Code Generated by LLM-Based Tools Across Multiple Programming Languages,"Li, Ruimeng; Mo, Ran; Zeng, Yao; Liu, Zili; Li, Zengyang; Ma, Yutao",2026,ACM Transactions on Software Engineering and Methodology,String A
26,A Pair Programming Framework for Code Generation via Multi-Plan Exploration and Feedback-Driven Refinement,"Zhang, Huan; Cheng, Wei; Wu, Yuhan; Hu, Wei",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,String A
