id,title,authors,year,venue,search_string
1,ASTER: Natural and Multi-Language Unit Test Generation with LLMs,Rangeet Pan; Myeongsoo Kim; Rahul Krishna; Raju Pavuluri; Saurabh Sinha,2025,2025 IEEE/ACM 47th International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)"
2,Static Analysis and LLM for Comprehensive Java Unit Test Generation,Wei Wei,2025,"2025 8th International Conference on Advanced Electronic Materials, Computers and Software Engineering (AEMCSE)","(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)"
3,Unit Test Generation using Generative AI : A Comparative Performance Analysis of Autogeneration Tools,Shreya Bhatia; Tarushi Gandhi; Dhruv Kumar; Pankaj Jalote,2024,2024 IEEE/ACM International Workshop on Large Language Models for Code (LLM4Code),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)"
4,Evaluating ChatGPT-driven Automated Test Generation for Personalized Programming Education,Christos Troussas; Christos Papakostas; Akrivi Krouska; Phivos Mylonas; Cleo Sgouropoulou,2024,2024 2nd International Conference on Foundation and Large Language Models (FLLM),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)"
5,HITS: High-coverage LLM-based Unit Test Generation via Method Slicing,Zejun Wang; Kaibo Liu; Ge Li; Zhi Jin,2024,2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)"
6,Test Intention Guided LLM-Based Unit Test Generation,Zifan Nan; Zhaoqiang Guo; Kui Liu; Xin Xia,2025,2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)"
7,AI-Powered Multi-Agent Framework for Automated Unit Test Case Generation: Enhancing Software Quality through LLM’s,Anusha Garlapati; M N V Satya Sai Muni Parmesh; Savitha; Jaisri S,2024,2024 5th IEEE Global Conference for Advancement in Technology (GCAT),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)"
8,A Three-Stage Pipeline using ReAct and Reflexion for Reliable LLM-based Java Unit Test Case Generator,Reza P. Ubaidillah; Yani Widyani,2025,2025 IEEE International Conference on Data and Software Engineering (ICoDSE),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)"
9,LLMs for Automated Unit Test Generation and Assessment in Java: The AgoneTest Framework,Andrea Lops; Fedelucio Narducci; Azzurra Ragone; Michelantonio Trizio; Claudio Bartolini,2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)"
10,Automated Validation of COBOL to Java Transformation,Atul Kumar; Diptikalyan Saha; Toshikai Yasue; Kohichi Ono; Saravanan Krishnan; Sandeep Hans; Fumiko Satoh; Gerald Mitchell; Sachin Kumar,2024,2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)"
