repo_id,run_id,attempt_no,command,command_source,working_directory,exit_code,status,failure_category,recoverability,log_path,duration_seconds,timestamp_start,timestamp_end
75368166,20260712_230641,1,mvn test-compile -DskipTests,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/75368166,0,success,,,logs/build/75368166_20260712_230641_attempt_1.log,9.10,1783872409.6108515,1783872418.708988
7723306,20260712_230641,1,mvn test-compile -DskipTests,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/7723306,0,success,,,logs/build/7723306_20260712_230641_attempt_1.log,5.74,1783872427.8830147,1783872433.626222
88231534,20260712_230641,1,mvn test-compile -DskipTests,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/88231534,0,success,,,logs/build/88231534_20260712_230641_attempt_1.log,4.07,1783872441.9474792,1783872446.0211535
50552134,20260712_230641,1,mvn test-compile -DskipTests,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/50552134,0,success,,,logs/build/50552134_20260712_230641_attempt_1.log,3.37,1783872452.8418221,1783872456.2125049
50887250,20260712_230641,1,gradle testClasses -x test,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/50887250,1,failed,unknown_build_failure,needs_manual_review,logs/build/50887250_20260712_230641_attempt_1.log,3.68,1783872463.547467,1783872467.2295873
50887250,20260712_230641,2,gradle testClasses -x test -x integrationTest,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/50887250,1,failed,unknown_build_failure,needs_manual_review,logs/build/50887250_20260712_230641_attempt_2.log,3.66,1783872467.2400892,1783872470.8985722
50887250,20260712_230641,3,gradle testClasses -x test -x integrationTest -x checkstyleMain -x checkstyleTest -x spotlessCheck,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/50887250,1,failed,unknown_build_failure,needs_manual_review,logs/build/50887250_20260712_230641_attempt_3.log,3.60,1783872470.899938,1783872474.5045652
6010090,20260712_230641,1,gradle testClasses -x test,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/6010090,1,failed,unknown_build_failure,needs_manual_review,logs/build/6010090_20260712_230641_attempt_1.log,1.80,1783872480.4762135,1783872482.2750304
6010090,20260712_230641,2,gradle testClasses -x test -x integrationTest,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/6010090,1,failed,unknown_build_failure,needs_manual_review,logs/build/6010090_20260712_230641_attempt_2.log,1.70,1783872482.2763417,1783872483.9796393
6010090,20260712_230641,3,gradle testClasses -x test -x integrationTest -x checkstyleMain -x checkstyleTest -x spotlessCheck,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/6010090,1,failed,unknown_build_failure,needs_manual_review,logs/build/6010090_20260712_230641_attempt_3.log,1.73,1783872483.9808514,1783872485.713744
