sample_id,repository,class_fqn,class_path,project_root,selection_seed,selection_role,backup_rank,selected_for_pilot,replacement_candidate_for,notes
S001,35126599,InsertOrReplaceImpl,sqlitebuilder/src/main/java/com/nhaarman/sqlitebuilder/impl/InsertOrReplaceImpl.java,repos/35126599,42,primary,0,yes,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/nhaarman/SQLiteBuilder;test_class=InsertOrReplaceImplTest;test_path=sqlitebuilder/src/test/java/com/nhaarman/sqlitebuilder/impl/InsertOrReplaceImplTest.java;dataset_json=raw/classes2test/dataset/35126599/35126599_119.json
S002,35126599,OrderByImpl,sqlitebuilder/src/main/java/com/nhaarman/sqlitebuilder/impl/OrderByImpl.java,repos/35126599,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/nhaarman/SQLiteBuilder;test_class=OrderByImplTest;test_path=sqlitebuilder/src/test/java/com/nhaarman/sqlitebuilder/impl/OrderByImplTest.java;dataset_json=raw/classes2test/dataset/35126599/35126599_108.json
S003,35126599,ToImpl,sqlitebuilder/src/main/java/com/nhaarman/sqlitebuilder/impl/ToImpl.java,repos/35126599,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/nhaarman/SQLiteBuilder;test_class=ToImplTest;test_path=sqlitebuilder/src/test/java/com/nhaarman/sqlitebuilder/impl/ToImplTest.java;dataset_json=raw/classes2test/dataset/35126599/35126599_172.json
S004,35126599,RollbackImpl,sqlitebuilder/src/main/java/com/nhaarman/sqlitebuilder/impl/RollbackImpl.java,repos/35126599,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/nhaarman/SQLiteBuilder;test_class=RollbackImplTest;test_path=sqlitebuilder/src/test/java/com/nhaarman/sqlitebuilder/impl/RollbackImplTest.java;dataset_json=raw/classes2test/dataset/35126599/35126599_14.json
S005,35126599,DropImpl,sqlitebuilder/src/main/java/com/nhaarman/sqlitebuilder/impl/DropImpl.java,repos/35126599,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/nhaarman/SQLiteBuilder;test_class=DropImplTest;test_path=sqlitebuilder/src/test/java/com/nhaarman/sqlitebuilder/impl/DropImplTest.java;dataset_json=raw/classes2test/dataset/35126599/35126599_123.json
S006,35126599,SelectWhereImpl,sqlitebuilder/src/main/java/com/nhaarman/sqlitebuilder/impl/SelectWhereImpl.java,repos/35126599,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/nhaarman/SQLiteBuilder;test_class=SelectWhereImplTest;test_path=sqlitebuilder/src/test/java/com/nhaarman/sqlitebuilder/impl/SelectWhereImplTest.java;dataset_json=raw/classes2test/dataset/35126599/35126599_35.json
S007,35126599,CreateImpl,sqlitebuilder/src/main/java/com/nhaarman/sqlitebuilder/impl/CreateImpl.java,repos/35126599,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/nhaarman/SQLiteBuilder;test_class=CreateImplTest;test_path=sqlitebuilder/src/test/java/com/nhaarman/sqlitebuilder/impl/CreateImplTest.java;dataset_json=raw/classes2test/dataset/35126599/35126599_175.json
S008,35126599,SelectFromImpl,sqlitebuilder/src/main/java/com/nhaarman/sqlitebuilder/impl/SelectFromImpl.java,repos/35126599,42,primary,0,yes,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/nhaarman/SQLiteBuilder;test_class=SelectFromImplTest;test_path=sqlitebuilder/src/test/java/com/nhaarman/sqlitebuilder/impl/SelectFromImplTest.java;dataset_json=raw/classes2test/dataset/35126599/35126599_23.json
S009,35126599,AndroidStatementExecutor,sqlitebuilder-android/src/main/java/com/nhaarman/sqlitebuilder/android/AndroidStatementExecutor.java,repos/35126599,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/nhaarman/SQLiteBuilder;test_class=AndroidStatementExecutorTest;test_path=sqlitebuilder-android/src/test/java/com/nhaarman/sqlitebuilder/android/AndroidStatementExecutorTest.java;dataset_json=raw/classes2test/dataset/35126599/35126599_0.json
S010,35126599,UpdateImpl,sqlitebuilder/src/main/java/com/nhaarman/sqlitebuilder/impl/UpdateImpl.java,repos/35126599,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/nhaarman/SQLiteBuilder;test_class=UpdateImplTest;test_path=sqlitebuilder/src/test/java/com/nhaarman/sqlitebuilder/impl/UpdateImplTest.java;dataset_json=raw/classes2test/dataset/35126599/35126599_194.json
