pilot_id,repository,class_fqn,class_path,project_root,selected_from_full_sample,backup_rank,precheck_status,replacement_of
P01,35126599,InsertOrReplaceImpl,sqlitebuilder/src/main/java/com/nhaarman/sqlitebuilder/impl/InsertOrReplaceImpl.java,repos/35126599,S001,0,PENDING,
P02,35126599,SelectFromImpl,sqlitebuilder/src/main/java/com/nhaarman/sqlitebuilder/impl/SelectFromImpl.java,repos/35126599,S008,0,PENDING,
P03,36297446,ServiceBeanInstance,astrix-context/src/main/java/com/avanza/astrix/beans/service/ServiceBeanInstance.java,repos/36297446,S013,0,PENDING,
P04,36297446,DropwizardMetrics,astrix-metrics/src/main/java/com/avanza/astrix/metrics/DropwizardMetrics.java,repos/36297446,S016,0,PENDING,
P05,36483902,CoreQueryManager,heroic-core/src/main/java/com/spotify/heroic/CoreQueryManager.java,repos/36483902,S030,0,PENDING,
P06,36483902,Slf4jQueryLogger,heroic-core/src/main/java/com/spotify/heroic/querylogging/Slf4jQueryLogger.java,repos/36483902,S032,0,PENDING,
P07,36873773,BaseHtmlWebView,mopub-sdk/src/main/java/com/mopub/mobileads/BaseHtmlWebView.java,repos/36873773,S038,0,PENDING,
P08,36873773,MoPubNativeAdRenderer,mopub-sdk/src/main/java/com/mopub/nativeads/MoPubNativeAdRenderer.java,repos/36873773,S042,0,PENDING,
P09,3699746,OsgiDefaultProducer,component/src/main/java/org/apache/camel/osgi/service/OsgiDefaultProducer.java,repos/3699746,S050,0,PENDING,
P10,3699746,DynamicCollection,component/src/main/java/org/apache/camel/osgi/service/util/DynamicCollection.java,repos/3699746,S051,0,PENDING,
P11,41767364,SpanContextFactory,sdk/core/src/main/java/com/google/cloud/trace/core/SpanContextFactory.java,repos/41767364,S065,0,PENDING,
P12,41767364,RateLimitingTraceOptionsFactory,sdk/core/src/main/java/com/google/cloud/trace/core/RateLimitingTraceOptionsFactory.java,repos/41767364,S068,0,PENDING,
P13,42171410,EBDump,eb4j-tools/src/main/java/io/github/eb4j/tool/EBDump.java,repos/42171410,S074,0,PENDING,
P14,42171410,HuffmanNode,eb4j-core/src/main/java/io/github/eb4j/io/HuffmanNode.java,repos/42171410,S078,0,PENDING,
P15,42691991,NCMBRoleService,ncmb-core/src/main/java/com/nifcloud/mbaas/core/NCMBRoleService.java,repos/42691991,S087,0,PENDING,
P16,42691991,NCMBConnection,ncmb-core/src/main/java/com/nifcloud/mbaas/core/NCMBConnection.java,repos/42691991,S090,0,PENDING,
P17,43326581,ListMatcher,backend/src/src-cvesearch/src/main/java/org/eclipse/sw360/cvesearch/datasource/matcher/ListMatcher.java,repos/43326581,S098,0,PENDING,
P18,43326581,ProjectDatabaseHandler,backend/src-common/src/main/java/org/eclipse/sw360/datahandler/db/ProjectDatabaseHandler.java,repos/43326581,S104,0,PENDING,
P19,45721011,EndpointGroupingRuleReader,oap-server/server-core/src/main/java/org/apache/skywalking/oap/server/core/config/group/EndpointGroupingRuleReader.java,repos/45721011,S113,0,PENDING,
P20,45721011,ClusterModuleZookeeperProvider,oap-server/server-cluster-plugin/cluster-zookeeper-plugin/src/main/java/org/apache/skywalking/oap/server/cluster/plugin/zookeeper/ClusterModuleZookeeperProvider.java,repos/45721011,S114,0,PENDING,
P21,46847195,Plugin,search-mybatis-mybatis/src/main/java/org/apache/ibatis/plugin/Plugin.java,repos/46847195,S124,0,PENDING,
P22,46847195,CacheKey,search-mybatis-mybatis/src/main/java/org/apache/ibatis/cache/CacheKey.java,repos/46847195,S126,0,PENDING,
P23,49961489,DoubleClickMatchRequest,open-bidder-master/open-bidder-exchange-doubleclick/src/main/java/com/google/openbidder/exchange/doubleclick/match/DoubleClickMatchRequest.java,repos/49961489,S136,0,PENDING,
P24,49961489,DoubleClickBidRequestReceiver,open-bidder-master/open-bidder-exchange-doubleclick/src/main/java/com/google/openbidder/exchange/doubleclick/server/DoubleClickBidRequestReceiver.java,repos/49961489,S142,0,PENDING,
P25,5175291,PublicKey,airship-coordinator/src/main/java/io/airlift/airship/coordinator/auth/PublicKey.java,repos/5175291,S147,0,PENDING,
P26,5175291,AgentFilterBuilder,airship-coordinator/src/main/java/io/airlift/airship/coordinator/AgentFilterBuilder.java,repos/5175291,S148,0,PENDING,
P27,51858172,HystrixMetricsService,modules/metrics/src/main/java/com/intuit/autumn/metrics/HystrixMetricsService.java,repos/51858172,S159,0,PENDING,
P28,51858172,Resource,modules/view/src/main/java/com/intuit/autumn/view/Resource.java,repos/51858172,S160,0,PENDING,
P29,52040340,GradleResolver,core/bootstrap/src/main/java/org/wildfly/swarm/bootstrap/modules/GradleResolver.java,repos/52040340,S171,0,PENDING,
