"schema_version","recipe_id","repo_id","repo_url","commit_sha","declared_java_version","effective_java_runtime","build_tool","scope_key","build_root_relative","module_dir_relative","module_selector","recipe","command_source","working_directory_placeholder","portable_command_windows","portable_command_posix","validation_log_relative","validation_log_sha256","original_command_sha256","source_or_dependency_files_modified","validated_at"
"v3-portable-recipe-1","v3:41547678:maven:turin-compiler","41547678","https://github.com/ftomassetti/turin-programming-language","ae4aa23f92727a28479c99c3fd79b6c6d73fdd20","8","8","maven","maven:turin-compiler",".","turin-compiler","turin-compiler","global_environment_maven_reactor","global_environment","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\pom.xml"" -pl turin-compiler -am clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/pom.xml"" -pl turin-compiler -am clean test-compile","logs/build/41547678_maven_turin-compiler_3.log","f9c180fe82fba8e08bb9ccfc3f0e46ed85efc965189fd7110b780468b628d340","dba6ac029a0c08143bd694e5440be51b2416a005c63eea96b32e4d3e3895a18d","false","2026-07-22T22:27:17+00:00"
"v3-portable-recipe-1","v3:41547678:maven:turin-standard-library","41547678","https://github.com/ftomassetti/turin-programming-language","ae4aa23f92727a28479c99c3fd79b6c6d73fdd20","8","8","maven","maven:turin-standard-library",".","turin-standard-library","turin-standard-library","global_environment_maven_module","global_environment","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\turin-standard-library\pom.xml"" clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/turin-standard-library/pom.xml"" clean test-compile","logs/build/41547678_maven_turin-standard-library_1.log","4e8fefadffb9f34880e75403b7051e610934eb03bb6c4ed0eb1e8fa015e31996","482a7c40493b77fdbb2e02e343a64a8822664b0b18ad975d981b61936b7106f8","false","2026-07-22T22:27:22+00:00"
"v3-portable-recipe-1","v3:45997449:maven:WebRex","45997449","https://github.com/eBay/WebRex","e1b925b6ebf9aa47a698d5bd869c77e33a654894","7","8","maven","maven:WebRex",".","WebRex","WebRex","global_environment_maven_module","global_environment","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\WebRex\pom.xml"" clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/WebRex/pom.xml"" clean test-compile","logs/build/45997449_maven_WebRex_1.log","799248ea5a55c0a2081bc5fed30089cc528e64efc66558a98dd4cf9e92291a5f","490db523ba8697887b5438683489f1cb72ea3e61feb6ea275939c7d7ce4d213d","false","2026-07-22T22:27:35+00:00"
"v3-portable-recipe-1","v3:44308560:maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions","44308560","https://github.com/nokia/RED","ea24ca129c9983f89ace3072fa06dec9292fd945","8","8","maven","maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions","src/RobotFrameworkCore/org.robotframework.ide.core-functions","src/RobotFrameworkCore/org.robotframework.ide.core-functions",".","global_environment_maven_module","global_environment","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\pom.xml"" clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/pom.xml"" clean test-compile","logs/build/44308560_maven_src_RobotFrameworkCore_org.robotframework.ide.core-functions_1.log","05a3738f5c2fac42852b0cf52daa10da1ceda693077331a85b3d5d064986f9d7","2d8b1ae41e7bd31d7fb81b7dce12c0c20d50c37121768ce506aaec9a8e6162e3","false","2026-07-22T22:29:02+00:00"
"v3-portable-recipe-1","v3:81384608:maven:integrations/spark/spark-catalog/spark-catalog-core","81384608","https://github.com/Teradata/kylo","0ca8cf21e6020ea1fbca51d5da7eead5b2c4827c","8","8","maven","maven:integrations/spark/spark-catalog/spark-catalog-core",".","integrations/spark/spark-catalog/spark-catalog-core","integrations/spark/spark-catalog/spark-catalog-core","global_environment_maven_reactor","global_environment","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\pom.xml"" -pl integrations/spark/spark-catalog/spark-catalog-core -am clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/pom.xml"" -pl integrations/spark/spark-catalog/spark-catalog-core -am clean test-compile","logs/build/81384608_maven_integrations_spark_spark-catalog_spark-catalog-core_3.log","497f39abf7a1802e07966b33d7086a9911bf3111286fcf136d80c6db4cc2d9bf","5632e45b295cf63d345bdadb87a141894c1ca9d702c0c5d26882e01369cf0ad8","false","2026-07-22T23:06:23+00:00"
"v3-portable-recipe-1","v3:85795396:gradle:core","85795396","https://github.com/apache/calcite-avatica","b8bc167268d0900087a24eecd150e8911a6225c0","8","8","gradle","gradle:core",".","core","core","repository_wrapper_gradle_module","repository_wrapper","${REPO_DIR}","""${REPO_DIR}\gradlew.bat"" --no-daemon --console=plain --stacktrace :core:clean :core:testClasses -x test","""${REPO_DIR}/gradlew"" --no-daemon --console=plain --stacktrace :core:clean :core:testClasses -x test","logs/build/85795396_gradle_core_1.log","87a82c6f658d436bb2cb42d00c77376cbfaf8b39f1797c59906f53c19915c0df","73554a88ff3887e4bb6eb28952df1f691579d61a15af7cc2938d462b3de3a014","false","2026-07-22T23:09:25+00:00"
"v3-portable-recipe-1","v3:85795396:gradle:metrics-dropwizardmetrics","85795396","https://github.com/apache/calcite-avatica","b8bc167268d0900087a24eecd150e8911a6225c0","8","8","gradle","gradle:metrics-dropwizardmetrics",".","metrics-dropwizardmetrics","metrics-dropwizardmetrics","repository_wrapper_gradle_module","repository_wrapper","${REPO_DIR}","""${REPO_DIR}\gradlew.bat"" --no-daemon --console=plain --stacktrace :metrics-dropwizardmetrics:clean :metrics-dropwizardmetrics:testClasses -x test","""${REPO_DIR}/gradlew"" --no-daemon --console=plain --stacktrace :metrics-dropwizardmetrics:clean :metrics-dropwizardmetrics:testClasses -x test","logs/build/85795396_gradle_metrics-dropwizardmetrics_1.log","8df312614959a9318514142f5842e6f08771bf737a10c26e0c7604c7cd7d7dd8","81e4940741a175e0a56a90bbef86a659079281e9bb351e7abb27a7bb0bce4417","false","2026-07-22T23:09:42+00:00"
"v3-portable-recipe-1","v3:41627638:gradle:leetcode/battleships-in-a-board","41627638","https://github.com/cuipengfei/Spikes","3b98b697479020d277bcf69f5651102982d7ba12","8","8","gradle","gradle:leetcode/battleships-in-a-board","leetcode/battleships-in-a-board","leetcode/battleships-in-a-board",".","repository_wrapper_gradle_module","repository_wrapper","${REPO_DIR}","""${REPO_DIR}\gradlew.bat"" --no-daemon --console=plain --stacktrace clean testClasses -x test","""${REPO_DIR}/gradlew"" --no-daemon --console=plain --stacktrace clean testClasses -x test","logs/build/41627638_gradle_leetcode_battleships-in-a-board_1.log","85b0ab48313d242fb8afe320466dac8b88f8051adc3354f566c294a394a31408","3fe5c744f8ee574c5f220ec2ade33d3328c0afe100256ea9427d1e6258832d3a","false","2026-07-22T23:21:40+00:00"
"v3-portable-recipe-1","v3:39195736:maven:jproperties-checks","39195736","https://github.com/racodond/sonar-jproperties-plugin","7a6e8c332e5db8d2a89212fe8defe8b8fdb6c3f6","8","8","maven","maven:jproperties-checks",".","jproperties-checks","jproperties-checks","global_environment_maven_reactor","global_environment","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\pom.xml"" -pl jproperties-checks -am clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/pom.xml"" -pl jproperties-checks -am clean test-compile","logs/build/39195736_maven_jproperties-checks_3.log","846a99c8c6be639e6610a0eb499762be7f57a2d65401f7e9f91a612a7f5ff4f1","21ca220ad5854eb76187927edd89bdaf3233ec3eb071b31185004666078c5d33","false","2026-07-22T23:24:00+00:00"
"v3-portable-recipe-1","v3:39195736:maven:sonar-jproperties-plugin","39195736","https://github.com/racodond/sonar-jproperties-plugin","7a6e8c332e5db8d2a89212fe8defe8b8fdb6c3f6","8","8","maven","maven:sonar-jproperties-plugin",".","sonar-jproperties-plugin","sonar-jproperties-plugin","global_environment_maven_reactor","global_environment","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\pom.xml"" -pl sonar-jproperties-plugin -am clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/pom.xml"" -pl sonar-jproperties-plugin -am clean test-compile","logs/build/39195736_maven_sonar-jproperties-plugin_3.log","52ba39e59f5ce6fa092e105b8a31a71868c4965fc728db02c89dad5d40c25c9f","27d0d8cc26549e70fb4d5abae5ad76878d0655a216a3e3587b8901cc4e14897c","false","2026-07-22T23:24:19+00:00"
