repo_id,repo_url,commit_sha,class_key,focal_class,focal_path,mapping_count,nloc,token_count,method_count,public_method_count,max_method_cc,sum_method_cc,avg_method_cc,build_tool,build_root,module_dir,module_selector,scope_key,declared_java_version,effective_java_runtime,selected_type,selection_rank_in_repo,selection_hash,selection_seed,selection_algorithm,complexity_half,replacement_of,replacement_reason,repository_storage_path,promotion_status
558963,https://github.com/httpcache4j/httpcache4j,9c07ebd63cd104a99eb9e771f760f14efa4fe0f6,558963:httpcache4j-api/src/main/java/org/codehaus/httpcache4j/util/digester.java,Digester,httpcache4j-api/src/main/java/org/codehaus/httpcache4j/util/Digester.java,3,36,255,8,7,2,9,1.125,maven,.,httpcache4j-api,httpcache4j-api,maven:httpcache4j-api,8,8,backup,11,bc6cee68012e678dd11394d52adcae0bc642840361d24727e148c01b3299589f,42,sha256_repo_balanced_v3_1,,,,repos/successful/558963,promoted_before_storage_audit
558963,https://github.com/httpcache4j/httpcache4j,9c07ebd63cd104a99eb9e771f760f14efa4fe0f6,558963:httpcache4j-api/src/main/java/org/codehaus/httpcache4j/directive.java,Directive,httpcache4j-api/src/main/java/org/codehaus/httpcache4j/Directive.java,4,53,372,7,5,3,12,1.7142857142857142,maven,.,httpcache4j-api,httpcache4j-api,maven:httpcache4j-api,8,8,backup,12,bf7ca521f1a4720ca7a213b5a55763321f2ae4cfc5035b7ce4f9b1d28701d450,42,sha256_repo_balanced_v3_1,,,,repos/successful/558963,promoted_before_storage_audit
3713233,https://github.com/seratch/junithelper,8c307eb05f762cf8030a3bd6d903228e0d5b98b2,3713233:core/src/main/java/org/junithelper/core/extractor/argtypemetaextractor.java,ArgTypeMetaExtractor,core/src/main/java/org/junithelper/core/extractor/ArgTypeMetaExtractor.java,7,86,700,7,6,10,17,2.4285714285714284,maven,core,core,.,maven:core,6,8,backup,11,438d24e6ada392df88f0deda9c673d962c0ca2c291731ad5fbd220a8f19fbd6f,42,sha256_repo_balanced_v3_1,,,,repos/successful/3713233,promoted_before_storage_audit
3713233,https://github.com/seratch/junithelper,8c307eb05f762cf8030a3bd6d903228e0d5b98b2,3713233:core/src/main/java/org/junithelper/core/filter/impl/trimquotationfilter.java,TrimQuotationFilter,core/src/main/java/org/junithelper/core/filter/impl/TrimQuotationFilter.java,4,12,83,1,1,2,2,2.0,maven,core,core,.,maven:core,6,8,backup,12,43f3d1e51dddf342a22dbc0ad71df7b493ea730ccebd6e7c9e748547023c6bee,42,sha256_repo_balanced_v3_1,,,,repos/successful/3713233,promoted_before_storage_audit
3847504,https://github.com/digitalroastery/weblounge,653c25ff728c18c31bdf12b21d45106dacc080dc,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/security/securityutils.java,SecurityUtils,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/security/SecurityUtils.java,9,159,1048,17,16,10,49,2.8823529411764706,maven,.,modules/weblounge-common,modules/weblounge-common,maven:modules/weblounge-common,7,8,backup,11,2aac2a17b0678ed5c4409e8f10422738a52010f700a5b887e61c2c89dba4429c,42,sha256_repo_balanced_v3_1,,,,repos/successful/3847504,promoted_before_storage_audit
3847504,https://github.com/digitalroastery/weblounge,653c25ff728c18c31bdf12b21d45106dacc080dc,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/image/imagecontentreader.java,ImageContentReader,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/image/ImageContentReader.java,1,168,1387,8,5,12,35,4.375,maven,.,modules/weblounge-common,modules/weblounge-common,maven:modules/weblounge-common,7,8,backup,12,3da02de535579bb24a85252478ad8c9aa10719fa6d56ac21861fadbd38500f7d,42,sha256_repo_balanced_v3_1,,,,repos/successful/3847504,promoted_before_storage_audit
6293402,https://github.com/vaadin/framework,02c87d4918204dfc354c71bdecc395e605c20d8e,6293402:server/src/main/java/com/vaadin/data/valuecontext.java,ValueContext,server/src/main/java/com/vaadin/data/ValueContext.java,5,64,352,9,3,5,14,1.5555555555555556,maven,.,server,server,maven:server,8,8,backup,11,4a90899533e39b0c6383c51971bb27cec45ef6172e49feedf82b73728c1a1656,42,sha256_repo_balanced_v3_1,,,,repos/successful/6293402,promoted
6293402,https://github.com/vaadin/framework,02c87d4918204dfc354c71bdecc395e605c20d8e,6293402:server/src/main/java/com/vaadin/server/defaultdeploymentconfiguration.java,DefaultDeploymentConfiguration,server/src/main/java/com/vaadin/server/DefaultDeploymentConfiguration.java,2,197,955,22,11,6,35,1.5909090909090908,maven,.,server,server,maven:server,8,8,backup,12,6464d6217e322fea626fbe468da3274b1fe234788229a3a349f836f8b836d635,42,sha256_repo_balanced_v3_1,,,,repos/successful/6293402,promoted
6437134,https://github.com/dma-enav/e-Navigation,42840b63789a8dee0fa330efb44678417e08d127,6437134:enav-model/src/main/java/dk/dma/enav/model/geometry/grid/grid.java,Grid,enav-model/src/main/java/dk/dma/enav/model/geometry/grid/Grid.java,9,134,1124,18,16,5,29,1.6111111111111112,maven,.,enav-model,enav-model,maven:enav-model,unknown,8,backup,11,bd6f9d03d2632fa3e3e7cdd6a70a11ba223f81500e427bc67c19e8ed3bb2400e,42,sha256_repo_balanced_v3_1,,,,repos/successful/6437134,promoted
6437134,https://github.com/dma-enav/e-Navigation,42840b63789a8dee0fa330efb44678417e08d127,6437134:enav-model/src/main/java/dk/dma/enav/model/geometry/position.java,Position,enav-model/src/main/java/dk/dma/enav/model/geometry/Position.java,3,202,1685,30,27,4,58,1.9333333333333333,maven,.,enav-model,enav-model,maven:enav-model,unknown,8,backup,12,e64f034fffd3f912d53db02c8bc1a11e36465c3b459958baf886a32ae9e0e23b,42,sha256_repo_balanced_v3_1,,,,repos/successful/6437134,promoted
