repo_id,eligible_unique_classes,main_classes,backup_classes
558963,14,10,2
3713233,48,10,2
3847504,43,10,2
6293402,29,10,2
6437134,12,10,2
6944525,30,10,2
9619226,12,10,2
9884445,18,10,2
39195736,17,10,2
41547678,12,10,2
41627638,22,10,2
43105609,15,10,2
44308560,71,10,2
45997449,28,10,2
46396068,12,10,2
46450575,14,10,2
48046454,39,10,2
49384652,13,10,2
60578004,25,10,2
61565876,13,10,2
64487983,13,10,2
66303306,14,10,2
74999474,12,10,2
77481567,51,10,2
78444970,13,10,2
81384608,17,10,2
85795396,17,10,2
95247959,30,10,2
97822421,12,10,2
98410891,12,10,2
