repo_id,repo_url,commit_sha,declared_java_versions,effective_java_runtime,qualified_build_scopes,unique_eligible_buildable_count,order_index,repo_order_hash,repository_storage_path,promotion_status,promotion_detail
41547678,https://github.com/ftomassetti/turin-programming-language,ae4aa23f92727a28479c99c3fd79b6c6d73fdd20,8,8,maven:turin-compiler;maven:turin-standard-library,12,2,002a1e2e76b973fccc5869809e63ca9002180db7eaaa31635bb28cc03fa03970,repos/successful/41547678,promoted_before_storage_audit,
45997449,https://github.com/eBay/WebRex,e1b925b6ebf9aa47a698d5bd869c77e33a654894,7,8,maven:WebRex,28,3,0065a939e7b14992b4588f91e2fe20db305c1d4eab0326fe1058de8c9f4bf5dc,repos/successful/45997449,promoted_before_storage_audit,
44308560,https://github.com/nokia/RED,ea24ca129c9983f89ace3072fa06dec9292fd945,8,8,maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions,71,4,0096dce4232be7425d8ed2aedbb3cb33e9f5d4d5097edf536662045d3e0c3c5a,repos/successful/44308560,promoted_before_storage_audit,
81384608,https://github.com/Teradata/kylo,0ca8cf21e6020ea1fbca51d5da7eead5b2c4827c,8,8,maven:integrations/spark/spark-catalog/spark-catalog-core,17,11,02457121742e837c95a39241f461d44a14854380753541029a8c82a4460c6992,repos/successful/81384608,promoted_before_storage_audit,
85795396,https://github.com/apache/calcite-avatica,b8bc167268d0900087a24eecd150e8911a6225c0,8,8,gradle:core;gradle:metrics-dropwizardmetrics,17,12,025d0181ca64ee396f2d82cf50bba4f1554a0d8631451d58d2cdb7275e8507fc,repos/successful/85795396,promoted_before_storage_audit,
41627638,https://github.com/cuipengfei/Spikes,3b98b697479020d277bcf69f5651102982d7ba12,8,8,gradle:leetcode/battleships-in-a-board,22,13,0260b30807adb2124af5c87f006c717b3ceaf3754f1944c771912e47b27ff1d9,repos/successful/41627638,promoted_before_storage_audit,
39195736,https://github.com/racodond/sonar-jproperties-plugin,7a6e8c332e5db8d2a89212fe8defe8b8fdb6c3f6,8,8,maven:jproperties-checks;maven:sonar-jproperties-plugin,17,17,0338957808f0c46e84a2ef54ef6bd6f2d7f6178f8c61dc3e55ccce1f9eaaeccc,repos/successful/39195736,promoted_before_storage_audit,
77481567,https://github.com/rbi/trading4j,996e651004193e4facaec393d00d86f93850f8f5,8,8,maven:core,51,21,03eef097265552ce659bc0732771f4d992968216fff99d9c6af197bb1e8e259c,repos/successful/77481567,promoted_before_storage_audit,
60578004,https://github.com/artoderk/elastic-jobx,1431671595cee4222e4445fc80b5b14e6262d7b8,6,8,maven:elastic-jobx-core,25,31,05e8d8283df0e87f4e14c2cc64f4e4a3e6431fc7b06cba0a4b96993ba097ca5a,repos/successful/60578004,promoted_before_storage_audit,
74999474,https://github.com/yahoo/parsec-libraries,142bc4c95a8ca7b8c82f7f95d8144cb6d4bc2096,unknown,8,gradle:parsec-clients,12,35,06d8cdd572c17d35f463c15921d2656de021f5ca3d32a14d6d9527e8de3cbe73,repos/successful/74999474,promoted_before_storage_audit,
9884445,https://github.com/minnal/minnal,50989185555e0d8969319bb20ae8e596db4ff545,7,8,maven:minnal-jaxrs/minnal-instrumentation-jaxrs,18,36,071fd6a54cccf3011795775bf5ed3e5e2a2adcabf3f90ddba71a366ff5f84c48,repos/successful/9884445,promoted_before_storage_audit,
558963,https://github.com/httpcache4j/httpcache4j,9c07ebd63cd104a99eb9e771f760f14efa4fe0f6,8,8,maven:httpcache4j-api,14,44,085892286c0b6504278c983b09615866657ecbe69d768d23ea9bf2fa14fa4435,repos/successful/558963,promoted_before_storage_audit,
46450575,https://github.com/spotify/flo,91d2e546bc8fa8e6fee9bc8c6dd484d87db3b0af,unknown,8,maven:flo-workflow;maven:contrib/flo-bigquery;maven:contrib/flo-styx,14,45,0875bf5310490f95ae9d3c5c04e3ea1d90b45e58a66a669f6edb7eb8feb38249,repos/successful/46450575,promoted_before_storage_audit,
64487983,https://github.com/ErnestMing/JavaDesignPartternImpl,34431d71b4a00ef79895db9aaca30020baace209,8,8,maven:hexagonal;maven:bridge;maven:dependency-injection,13,54,0b0a0007d96401982c0ff628caeb0d37a871df251e2628ab474c6e58c7bb9cfa,repos/successful/64487983,promoted_before_storage_audit,
3713233,https://github.com/seratch/junithelper,8c307eb05f762cf8030a3bd6d903228e0d5b98b2,6,8,maven:core,48,55,0b3490095deb0626ee5d9ebb26e94b391509f1b28ae3d1398c439febfa505d37,repos/successful/3713233,promoted_before_storage_audit,
98410891,https://github.com/Nexmo/comms-router,4e5656db54be4b22481fe3774c2caeba51bac190,8,8,maven:core;maven:core-interface;maven:applications/demo,12,57,0bd4ee4eb308d500e8ba7b00b7c6bdb4e3eee026f6d22b8444f1fb7840394bca,repos/successful/98410891,promoted_before_storage_audit,
3847504,https://github.com/digitalroastery/weblounge,653c25ff728c18c31bdf12b21d45106dacc080dc,7,8,maven:modules/weblounge-common,43,65,0d6460a323768a072381b77369c00395dc3f439e7ba854fd4c9f3bd6d9a881e0,repos/successful/3847504,promoted_before_storage_audit,
97822421,https://github.com/pchudzik/springmock,f08a0a13c1dea1ceb35f462ccaaf51e738f64ef8,8,8,maven:infrastructure,12,66,0dd43e351d0f638d7dc063329f18ace928b69c318bccdacea976b138594a7b3f,repos/successful/97822421,promoted_before_storage_audit,
95247959,https://github.com/aws/aws-sdk-java-v2,999ce2f6564ba6615a4b428c26fc1116cf85fbdf,8,8,maven:http-clients/netty-nio-client,30,69,0f65fb2c3dbc7ad39d477c4a326a27b45f1d6839e9821bf356b097000f77bc51,repos/successful/95247959,promoted_before_storage_audit,
9619226,https://github.com/3pillarlabs/spring-data-simpledb,f1e0eb4e48ec4674d3966e8f5bc04c95031f93ae,6,8,maven:spring-data-simpledb-impl,12,70,0f7f08c366f8eea0da06b2eb859ec4375fd040c86f091889de36b87a6a0c4abd,repos/successful/9619226,promoted_before_storage_audit,
78444970,https://github.com/voho/web,837c9c673caac60d2d8de1647e9d3e08acd70d9a,8,8,maven:examples/graph;maven:examples/structures;maven:examples/random,13,77,107fd696855b24fe82eb4a5e76a549836099068dab381fd4f87200d8a0a6e1a1,repos/successful/78444970,promoted_before_storage_audit,
61565876,https://github.com/ljacqu/DependencyInjector,eecb0f51c3f2ae9936c9ff64f486953eb3e48b3d,8,8,maven:injector,13,84,13713c8619e91f63435ad5f8363ec26f5f6bf2dd3152fbd983f715ad1abb48a4,repos/successful/61565876,promoted_before_storage_audit,
