repo_id,repo_url,commit_sha,focal_class,focal_path,test_class,test_path,nloc,max_method_cc,avg_method_cc,sum_method_cc,method_count,public_method_count,complexity_bucket,eligible_for_sampling,selected_type,selection_rank,repo_order_index,class_seed,replacement_of,notes
75368166,https://github.com/powermock/powermock-examples-maven,7b57a10b27e174ff99ee3892ea402da8275a8610,Greeter,simple/src/main/java/demo/org/powermock/examples/simple/Greeter.java,GreeterTest,simple/src/test/java/demo/org/powermock/examples/simple/GreeterTest.java,15,2,1.33,4,3,1,low,True,main,1,0,3695790033416074122,,"Main sampled class (Rank 1, CC 2)"
75368166,https://github.com/powermock/powermock-examples-maven,7b57a10b27e174ff99ee3892ea402da8275a8610,AbstractXMLRequestCreatorBase,dom4j/src/main/java/org/powermock/examples/dom4j/AbstractXMLRequestCreatorBase.java,AbstractXMLRequestCreatorBaseTest,dom4j/src/test/java/org/powermock/examples/dom4j/AbstractXMLRequestCreatorBaseTest.java,45,2,1.33,4,3,2,low,True,backup,1,0,3695790033416074122,,"Backup sampled class (Rank 1, CC 2)"
75368166,https://github.com/powermock/powermock-examples-maven,7b57a10b27e174ff99ee3892ea402da8275a8610,Logger,simple/src/main/java/demo/org/powermock/examples/simple/Logger.java,LoggerTest,simple/src/test/java/demo/org/powermock/examples/simple/LoggerTest.java,17,2,1.5,3,2,2,low,True,backup,2,0,3695790033416074122,,"Backup sampled class (Rank 2, CC 2)"
7723306,https://github.com/criccomini/ezdb,d42c1e9c27a84c2d98eaa6be5575ea78e9a703d6,EzObjectTreeMapDb,ezdb-treemap/src/main/java/ezdb/treemap/object/EzObjectTreeMapDb.java,TestEzObjectTreeMapDb,ezdb-treemap/src/test/java/ezdb/treemap/object/TestEzObjectTreeMapDb.java,76,3,1.5,12,8,6,low,True,main,1,1,13610479135842564343,,"Main sampled class (Rank 1, CC 3)"
7723306,https://github.com/criccomini/ezdb,d42c1e9c27a84c2d98eaa6be5575ea78e9a703d6,EzLmDb,ezdb-lmdb-jnr/src/main/java/ezdb/lmdb/EzLmDb.java,TestEzLmDb,ezdb-lmdb-jnr/src/test/java/ezdb/lmdb/TestEzLmDb.java,88,3,1.62,13,8,7,low,True,backup,1,1,13610479135842564343,,"Backup sampled class (Rank 1, CC 3)"
7723306,https://github.com/criccomini/ezdb,d42c1e9c27a84c2d98eaa6be5575ea78e9a703d6,EzRocksDb,ezdb-rocksdb-jni/src/main/java/ezdb/rocksdb/EzRocksDb.java,TestEzRocksDb,ezdb-rocksdb-jni/src/test/java/ezdb/rocksdb/TestEzRocksDb.java,89,3,1.62,13,8,7,low,True,backup,2,1,13610479135842564343,,"Backup sampled class (Rank 2, CC 3)"
88231534,https://github.com/opentracing-contrib/java-mongo-driver,0a9c51bbac105437c13c2b2b609ef6b3610ddeb2,NoopSpanNameProvider,opentracing-mongo-common/src/main/java/io/opentracing/contrib/mongo/common/providers/NoopSpanNameProvider.java,NoopSpanNameProviderTest,opentracing-mongo-common/src/test/java/io/opentracing/contrib/mongo/common/providers/NoopSpanNameProviderTest.java,9,3,3.0,3,1,1,low,True,main,1,7,13083155311569527279,,"Main sampled class (Rank 1, CC 3)"
88231534,https://github.com/opentracing-contrib/java-mongo-driver,0a9c51bbac105437c13c2b2b609ef6b3610ddeb2,TracingCommandListener,opentracing-mongo-common/src/main/java/io/opentracing/contrib/mongo/common/TracingCommandListener.java,TracingCommandListenerTest,opentracing-mongo-common/src/test/java/io/opentracing/contrib/mongo/common/TracingCommandListenerTest.java,135,8,2.23,29,13,12,medium,True,main,2,7,13083155311569527279,,"Main sampled class (Rank 2, CC 8)"
88231534,https://github.com/opentracing-contrib/java-mongo-driver,0a9c51bbac105437c13c2b2b609ef6b3610ddeb2,TracingCommandListener,opentracing-mongo-common/src/main/java/io/opentracing/contrib/mongo/common/TracingCommandListener.java,TracingCommandListenerTest,opentracing-mongo-common/src/test/java/io/opentracing/contrib/mongo/common/TracingCommandListenerTest.java,135,8,2.23,29,13,12,medium,True,main,3,7,13083155311569527279,,"Main sampled class (Rank 3, CC 8)"
88231534,https://github.com/opentracing-contrib/java-mongo-driver,0a9c51bbac105437c13c2b2b609ef6b3610ddeb2,TracingCommandListener,opentracing-mongo-common/src/main/java/io/opentracing/contrib/mongo/common/TracingCommandListener.java,TracingCommandListenerTest,opentracing-mongo-common/src/test/java/io/opentracing/contrib/mongo/common/TracingCommandListenerTest.java,135,8,2.23,29,13,12,medium,True,main,4,7,13083155311569527279,,"Main sampled class (Rank 4, CC 8)"
