repo_id,repo_url,commit_sha,class_key,focal_class,focal_path,mapping_count,nloc,token_count,method_count,public_method_count,max_method_cc,sum_method_cc,avg_method_cc,build_tool,build_root,module_dir,module_selector,scope_key,declared_java_version,effective_java_runtime,selected_type,selection_rank_in_repo,selection_hash,selection_seed,selection_algorithm,complexity_half,replacement_of,replacement_reason,repository_storage_path,promotion_status,complexity_rank,original_manifest_index,split_name,split_source_manifest,split_created_utc,split_algorithm
3713233,https://github.com/seratch/junithelper,8c307eb05f762cf8030a3bd6d903228e0d5b98b2,3713233:core/src/main/java/org/junithelper/core/util/stderr.java,Stderr,core/src/main/java/org/junithelper/core/util/Stderr.java,6,12,78,3,2,1,3,1.0,maven,core,core,.,maven:core,6,8,main,8,25e0120d3594e1b1076cabbb5f7080eb640e4afba68c58be8645bbcad1816695,42,sha256_repo_balanced_v3_1,lower_complexity_half,,,repos/successful/3713233,promoted_before_storage_audit,18,17,remaining240,class_sampling_manifest_final_seed42.csv,2026-07-23T11:07:03+00:00,per_repo_2class_pilot_complexity_half_then_selection_rank_seed42
3713233,https://github.com/seratch/junithelper,8c307eb05f762cf8030a3bd6d903228e0d5b98b2,3713233:core/src/main/java/org/junithelper/core/util/threadutil.java,ThreadUtil,core/src/main/java/org/junithelper/core/util/ThreadUtil.java,7,12,58,2,1,2,3,1.5,maven,core,core,.,maven:core,6,8,main,10,374dc48fef6a4ff0808be6664b07025f55dc37ddd7909df70a21fef5e44efb45,42,sha256_repo_balanced_v3_1,lower_complexity_half,,,repos/successful/3713233,promoted_before_storage_audit,46,45,remaining240,class_sampling_manifest_final_seed42.csv,2026-07-23T11:07:03+00:00,per_repo_2class_pilot_complexity_half_then_selection_rank_seed42
3713233,https://github.com/seratch/junithelper,8c307eb05f762cf8030a3bd6d903228e0d5b98b2,3713233:core/src/main/java/org/junithelper/core/meta/returntypemeta.java,ReturnTypeMeta,core/src/main/java/org/junithelper/core/meta/ReturnTypeMeta.java,1,23,162,1,1,4,4,4.0,maven,core,core,.,maven:core,6,8,main,5,1c5855d8dea619b082eb416190f67b82b13b622089a77061a9d2ecf0fe29b537,42,sha256_repo_balanced_v3_1,lower_complexity_half,,,repos/successful/3713233,promoted_before_storage_audit,120,119,remaining240,class_sampling_manifest_final_seed42.csv,2026-07-23T11:07:03+00:00,per_repo_2class_pilot_complexity_half_then_selection_rank_seed42
3713233,https://github.com/seratch/junithelper,8c307eb05f762cf8030a3bd6d903228e0d5b98b2,3713233:core/src/main/java/org/junithelper/core/meta/argtypemeta.java,ArgTypeMeta,core/src/main/java/org/junithelper/core/meta/ArgTypeMeta.java,2,27,178,2,2,4,5,2.5,maven,core,core,.,maven:core,6,8,main,7,2100fa76b5908a54fb43be13a7118d912014b4f776f9805bd1a9cf06a45f44b6,42,sha256_repo_balanced_v3_1,lower_complexity_half,,,repos/successful/3713233,promoted_before_storage_audit,123,122,remaining240,class_sampling_manifest_final_seed42.csv,2026-07-23T11:07:03+00:00,per_repo_2class_pilot_complexity_half_then_selection_rank_seed42
3713233,https://github.com/seratch/junithelper,8c307eb05f762cf8030a3bd6d903228e0d5b98b2,3713233:core/src/main/java/org/junithelper/core/generator/linebreakprovider.java,LineBreakProvider,core/src/main/java/org/junithelper/core/generator/LineBreakProvider.java,6,40,264,3,1,7,10,3.3333333333333335,maven,core,core,.,maven:core,6,8,main,6,1cc9b5dea84576678891bbb06e5e58cf5608a7499801d8ad4599b7c2626744f4,42,sha256_repo_balanced_v3_1,higher_complexity_half,,,repos/successful/3713233,promoted_before_storage_audit,216,215,remaining240,class_sampling_manifest_final_seed42.csv,2026-07-23T11:07:03+00:00,per_repo_2class_pilot_complexity_half_then_selection_rank_seed42
3713233,https://github.com/seratch/junithelper,8c307eb05f762cf8030a3bd6d903228e0d5b98b2,3713233:core/src/main/java/org/junithelper/command/forcejunitversion3command.java,ForceJUnitVersion3Command,core/src/main/java/org/junithelper/command/ForceJUnitVersion3Command.java,2,60,494,2,1,9,10,5.0,maven,core,core,.,maven:core,6,8,main,9,2b1dedd780f36b789dd79f5895d4a0dd6cdac49a3aa73317fceef6582b33e937,42,sha256_repo_balanced_v3_1,higher_complexity_half,,,repos/successful/3713233,promoted_before_storage_audit,249,248,remaining240,class_sampling_manifest_final_seed42.csv,2026-07-23T11:07:03+00:00,per_repo_2class_pilot_complexity_half_then_selection_rank_seed42
3713233,https://github.com/seratch/junithelper,8c307eb05f762cf8030a3bd6d903228e0d5b98b2,3713233:core/src/main/java/org/junithelper/core/util/primitivetypeutil.java,PrimitiveTypeUtil,core/src/main/java/org/junithelper/core/util/PrimitiveTypeUtil.java,7,73,462,4,3,11,32,8.0,maven,core,core,.,maven:core,6,8,main,2,06cb384d011fff3ee7647d6837888234b2034b434df9b2f41bf0a74ec61a5511,42,sha256_repo_balanced_v3_1,higher_complexity_half,,,repos/successful/3713233,promoted_before_storage_audit,265,264,remaining240,class_sampling_manifest_final_seed42.csv,2026-07-23T11:07:03+00:00,per_repo_2class_pilot_complexity_half_then_selection_rank_seed42
3713233,https://github.com/seratch/junithelper,8c307eb05f762cf8030a3bd6d903228e0d5b98b2,3713233:core/src/main/java/org/junithelper/core/filter/impl/triminsideofbracefilter.java,TrimInsideOfBraceFilter,core/src/main/java/org/junithelper/core/filter/impl/TrimInsideOfBraceFilter.java,14,99,725,2,1,37,40,20.0,maven,core,core,.,maven:core,6,8,main,3,09576681ffca47814c6c4dbf7fc8844d1bda641ba5a0db72fa540a51725741f8,42,sha256_repo_balanced_v3_1,higher_complexity_half,,,repos/successful/3713233,promoted_before_storage_audit,300,299,remaining240,class_sampling_manifest_final_seed42.csv,2026-07-23T11:07:03+00:00,per_repo_2class_pilot_complexity_half_then_selection_rank_seed42
3847504,https://github.com/digitalroastery/weblounge,653c25ff728c18c31bdf12b21d45106dacc080dc,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/language/localizablecontent.java,LocalizableContent,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/language/LocalizableContent.java,12,113,750,15,12,6,33,2.2,maven,.,modules/weblounge-common,modules/weblounge-common,maven:modules/weblounge-common,7,8,main,5,13dd7332301906aefa540a9cb80d67b8b81cfbf87b95f70607d387f0be8f2feb,42,sha256_repo_balanced_v3_1,higher_complexity_half,,,repos/successful/3847504,promoted_before_storage_audit,209,208,remaining240,class_sampling_manifest_final_seed42.csv,2026-07-23T11:07:03+00:00,per_repo_2class_pilot_complexity_half_then_selection_rank_seed42
3847504,https://github.com/digitalroastery/weblounge,653c25ff728c18c31bdf12b21d45106dacc080dc,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/url/urlimpl.java,UrlImpl,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/url/UrlImpl.java,8,116,829,17,10,7,40,2.3529411764705883,maven,.,modules/weblounge-common,modules/weblounge-common,maven:modules/weblounge-common,7,8,main,7,1dd464f7d7cf344e4d3fda0bab7c61d4c71211ac070fca71d524691f0023afe6,42,sha256_repo_balanced_v3_1,higher_complexity_half,,,repos/successful/3847504,promoted_before_storage_audit,233,232,remaining240,class_sampling_manifest_final_seed42.csv,2026-07-23T11:07:03+00:00,per_repo_2class_pilot_complexity_half_then_selection_rank_seed42
