repo_id,repo_url,commit_sha,focal_class,focal_path,test_class,test_path,nloc,max_method_cc,avg_method_cc,sum_method_cc,method_count,public_method_count,complexity_bucket,eligible_for_sampling,selected_type,selection_rank,repo_order_index,class_seed,replacement_of,notes,java_version,java_version_source,build_tool,dependency_command,compile_command,test_compile_command,working_directory,skip_flags,disabled_components,build_recipe_id,validation_log,success_origin
75368166,https://github.com/powermock/powermock-examples-maven,7b57a10b27e174ff99ee3892ea402da8275a8610,AbstractXMLRequestCreatorBase,dom4j/src/main/java/org/powermock/examples/dom4j/AbstractXMLRequestCreatorBase.java,AbstractXMLRequestCreatorBaseTest,dom4j/src/test/java/org/powermock/examples/dom4j/AbstractXMLRequestCreatorBaseTest.java,45,2,1.33,4,3,2,low,True,backup,1,0,3695790033416074122,,"Backup sampled class (Rank 1, CC 2)",6,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/75368166,[],[],recipe_75368166,logs/build/75368166_20260712_230641_attempt_1.log,
75368166,https://github.com/powermock/powermock-examples-maven,7b57a10b27e174ff99ee3892ea402da8275a8610,Logger,simple/src/main/java/demo/org/powermock/examples/simple/Logger.java,LoggerTest,simple/src/test/java/demo/org/powermock/examples/simple/LoggerTest.java,17,2,1.5,3,2,2,low,True,backup,2,0,3695790033416074122,,"Backup sampled class (Rank 2, CC 2)",6,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/75368166,[],[],recipe_75368166,logs/build/75368166_20260712_230641_attempt_1.log,
7723306,https://github.com/criccomini/ezdb,d42c1e9c27a84c2d98eaa6be5575ea78e9a703d6,EzLmDb,ezdb-lmdb-jnr/src/main/java/ezdb/lmdb/EzLmDb.java,TestEzLmDb,ezdb-lmdb-jnr/src/test/java/ezdb/lmdb/TestEzLmDb.java,88,3,1.62,13,8,7,low,True,backup,1,1,13610479135842564343,,"Backup sampled class (Rank 1, CC 3)",8,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/7723306,[],[],recipe_7723306,logs/build/7723306_20260712_230641_attempt_1.log,
7723306,https://github.com/criccomini/ezdb,d42c1e9c27a84c2d98eaa6be5575ea78e9a703d6,EzRocksDb,ezdb-rocksdb-jni/src/main/java/ezdb/rocksdb/EzRocksDb.java,TestEzRocksDb,ezdb-rocksdb-jni/src/test/java/ezdb/rocksdb/TestEzRocksDb.java,89,3,1.62,13,8,7,low,True,backup,2,1,13610479135842564343,,"Backup sampled class (Rank 2, CC 3)",8,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/7723306,[],[],recipe_7723306,logs/build/7723306_20260712_230641_attempt_1.log,
88231534,https://github.com/opentracing-contrib/java-mongo-driver,0a9c51bbac105437c13c2b2b609ef6b3610ddeb2,PrefixSpanNameProvider,opentracing-mongo-common/src/main/java/io/opentracing/contrib/mongo/common/providers/PrefixSpanNameProvider.java,PrefixSpanNameProviderTest,opentracing-mongo-common/src/test/java/io/opentracing/contrib/mongo/common/providers/PrefixSpanNameProviderTest.java,14,4,2.5,5,2,2,low,True,backup,1,7,13083155311569527279,,"Backup sampled class (Rank 1, CC 4)",7,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/88231534,[],[],recipe_88231534,logs/build/88231534_20260712_230641_attempt_1.log,
50552134,https://github.com/mercyblitz/confucius-commons,ffbe5331df105c4a95ee2f0b95a4eeb6df6a9caa,ClassUtils,confucius-commons-lang/src/main/java/org/confucius/commons/lang/ClassUtils.java,ClassUtilsTest,confucius-commons-lang/src/test/java/org/confucius/commons/lang/ClassUtilsTest.java,184,6,2.16,41,19,12,medium,True,backup,1,12,5909760784764211938,,"Backup sampled class (Rank 1, CC 6)",6,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/50552134,[],[],recipe_50552134,logs/build/50552134_20260712_230641_attempt_1.log,
58086354,https://github.com/BitTigerInst/miniCassandra,a996a3bc1f21a9bf0a6589d4ba96dfea99a5ff4f,GrpcUtil,demo/gRPC/core/src/main/java/io/grpc/internal/GrpcUtil.java,GrpcUtilTest,demo/gRPC/core/src/test/java/io/grpc/internal/GrpcUtilTest.java,261,6,2.33,42,18,15,medium,True,backup,1,41,8968609173039186934,,"Backup sampled class (Rank 1, CC 6)",8,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/58086354,[],[],recipe_58086354,logs/build/58086354_20260712_230641_attempt_1.log,
58086354,https://github.com/BitTigerInst/miniCassandra,a996a3bc1f21a9bf0a6589d4ba96dfea99a5ff4f,ClientCallImpl,demo/gRPC/core/src/main/java/io/grpc/internal/ClientCallImpl.java,ClientCallImplTest,demo/gRPC/core/src/test/java/io/grpc/internal/ClientCallImplTest.java,362,10,2.41,65,27,19,high,True,backup,2,41,8968609173039186934,,"Backup sampled class (Rank 2, CC 10)",8,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/58086354,[],[],recipe_58086354,logs/build/58086354_20260712_230641_attempt_1.log,
6489406,https://github.com/dma-ais/AisLib,7b3429115a3c1a8d52b30298e17e2a4f757dfd72,GeoMaskFilter,ais-lib-communication/src/main/java/dk/dma/ais/filter/GeoMaskFilter.java,GeoMaskFilterTest,ais-lib-communication/src/test/java/dk/dma/ais/filter/GeoMaskFilterTest.java,29,3,1.67,5,3,3,low,True,backup,1,48,11408680270351069727,,"Backup sampled class (Rank 1, CC 3)",unknown_but_builds_with_jdk8,unknown,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/6489406,[],[],recipe_6489406,logs/build/6489406_20260712_230641_attempt_1.log,
6489406,https://github.com/dma-ais/AisLib,7b3429115a3c1a8d52b30298e17e2a4f757dfd72,ScenarioTracker,ais-lib-communication/src/main/java/dk/dma/ais/tracker/scenarioTracker/ScenarioTracker.java,ScenarioTrackerTest,ais-lib-communication/src/test/java/dk/dma/ais/tracker/scenarioTracker/ScenarioTrackerTest.java,304,5,1.64,72,44,37,medium,True,backup,2,48,11408680270351069727,,"Backup sampled class (Rank 2, CC 5)",unknown_but_builds_with_jdk8,unknown,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/6489406,[],[],recipe_6489406,logs/build/6489406_20260712_230641_attempt_1.log,
56342003,https://github.com/kangaroo-server/kangaroo,8b71eb416b7db8acd10467cefd57dc0a6b2c84c5,PasswordAuthenticator,kangaroo-server-authz/src/main/java/net/krotscheck/kangaroo/authz/common/authenticator/password/PasswordAuthenticator.java,PasswordAuthenticatorTest,kangaroo-server-authz/src/test/java/net/krotscheck/kangaroo/authz/common/authenticator/password/PasswordAuthenticatorTest.java,71,5,2.0,8,4,3,medium,True,backup,1,51,4442270828601798807,,"Backup sampled class (Rank 1, CC 5)",unknown_but_builds_with_jdk8,unknown,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/56342003,[],[],recipe_56342003,logs/build/56342003_20260712_230641_attempt_1.log,
56342003,https://github.com/kangaroo-server/kangaroo,8b71eb416b7db8acd10467cefd57dc0a6b2c84c5,SearchExceptionMapper,kangaroo-common/src/main/java/net/krotscheck/kangaroo/common/hibernate/mapper/SearchExceptionMapper.java,SearchExceptionMapperTest,kangaroo-common/src/test/java/net/krotscheck/kangaroo/common/hibernate/mapper/SearchExceptionMapperTest.java,30,2,1.5,3,2,1,low,True,backup,2,51,4442270828601798807,,"Backup sampled class (Rank 2, CC 2)",unknown_but_builds_with_jdk8,unknown,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/56342003,[],[],recipe_56342003,logs/build/56342003_20260712_230641_attempt_1.log,
