repo_id,repo_url,commit_sha,focal_class,focal_path,test_class,test_path,nloc,max_method_cc,avg_method_cc,sum_method_cc,method_count,public_method_count,complexity_bucket,eligible_for_sampling,selected_type,selection_rank,repo_order_index,class_seed,replacement_of,notes,java_version,java_version_source,build_tool,dependency_command,compile_command,test_compile_command,working_directory,skip_flags,disabled_components,build_recipe_id,validation_log,success_origin,pilot_seed,pilot_60_rank,pilot_selection_policy
75368166,https://github.com/powermock/powermock-examples-maven,7b57a10b27e174ff99ee3892ea402da8275a8610,Greeter,simple/src/main/java/demo/org/powermock/examples/simple/Greeter.java,GreeterTest,simple/src/test/java/demo/org/powermock/examples/simple/GreeterTest.java,15,2,1.33,4,3,1,low,True,main,1,0,3695790033416074122,,"Main sampled class (Rank 1, CC 2)",6,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/75368166,[],[],recipe_75368166,logs/build/75368166_20260712_230641_attempt_1.log,,42,1,unique_focal_per_repo_hamilton_repo_weighted_seed42
7723306,https://github.com/criccomini/ezdb,d42c1e9c27a84c2d98eaa6be5575ea78e9a703d6,EzObjectTreeMapDb,ezdb-treemap/src/main/java/ezdb/treemap/object/EzObjectTreeMapDb.java,TestEzObjectTreeMapDb,ezdb-treemap/src/test/java/ezdb/treemap/object/TestEzObjectTreeMapDb.java,76,3,1.5,12,8,6,low,True,main,1,1,13610479135842564343,,"Main sampled class (Rank 1, CC 3)",8,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/7723306,[],[],recipe_7723306,logs/build/7723306_20260712_230641_attempt_1.log,,42,2,unique_focal_per_repo_hamilton_repo_weighted_seed42
88231534,https://github.com/opentracing-contrib/java-mongo-driver,0a9c51bbac105437c13c2b2b609ef6b3610ddeb2,NoopSpanNameProvider,opentracing-mongo-common/src/main/java/io/opentracing/contrib/mongo/common/providers/NoopSpanNameProvider.java,NoopSpanNameProviderTest,opentracing-mongo-common/src/test/java/io/opentracing/contrib/mongo/common/providers/NoopSpanNameProviderTest.java,9,3,3.0,3,1,1,low,True,main,1,7,13083155311569527279,,"Main sampled class (Rank 1, CC 3)",7,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/88231534,[],[],recipe_88231534,logs/build/88231534_20260712_230641_attempt_1.log,,42,3,unique_focal_per_repo_hamilton_repo_weighted_seed42
88231534,https://github.com/opentracing-contrib/java-mongo-driver,0a9c51bbac105437c13c2b2b609ef6b3610ddeb2,TracingCommandListener,opentracing-mongo-common/src/main/java/io/opentracing/contrib/mongo/common/TracingCommandListener.java,TracingCommandListenerTest,opentracing-mongo-common/src/test/java/io/opentracing/contrib/mongo/common/TracingCommandListenerTest.java,135,8,2.23,29,13,12,medium,True,main,2,7,13083155311569527279,,"Main sampled class (Rank 2, CC 8)",7,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/88231534,[],[],recipe_88231534,logs/build/88231534_20260712_230641_attempt_1.log,,42,4,unique_focal_per_repo_hamilton_repo_weighted_seed42
50552134,https://github.com/mercyblitz/confucius-commons,ffbe5331df105c4a95ee2f0b95a4eeb6df6a9caa,SimpleFileScanner,confucius-commons-lang/src/main/java/org/confucius/commons/lang/io/scanner/SimpleFileScanner.java,SimpleFileScannerTest,confucius-commons-lang/src/test/java/org/confucius/commons/lang/io/scanner/SimpleFileScannerTest.java,36,7,3.0,9,3,3,medium,True,main,1,12,5909760784764211938,,"Main sampled class (Rank 1, CC 7)",6,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/50552134,[],[],recipe_50552134,logs/build/50552134_20260712_230641_attempt_1.log,,42,5,unique_focal_per_repo_hamilton_repo_weighted_seed42
50552134,https://github.com/mercyblitz/confucius-commons,ffbe5331df105c4a95ee2f0b95a4eeb6df6a9caa,SimpleJarEntryScanner,confucius-commons-lang/src/main/java/org/confucius/commons/lang/io/scanner/SimpleJarEntryScanner.java,SimpleJarEntryScannerTest,confucius-commons-lang/src/test/java/org/confucius/commons/lang/io/scanner/SimpleJarEntryScannerTest.java,59,6,1.83,11,6,5,medium,True,main,2,12,5909760784764211938,,"Main sampled class (Rank 2, CC 6)",6,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/50552134,[],[],recipe_50552134,logs/build/50552134_20260712_230641_attempt_1.log,,42,6,unique_focal_per_repo_hamilton_repo_weighted_seed42
58086354,https://github.com/BitTigerInst/miniCassandra,a996a3bc1f21a9bf0a6589d4ba96dfea99a5ff4f,ClientInterceptors,demo/gRPC/core/src/main/java/io/grpc/ClientInterceptors.java,ClientInterceptorsTest,demo/gRPC/core/src/test/java/io/grpc/ClientInterceptorsTest.java,84,2,1.17,14,12,7,low,True,main,1,41,8968609173039186934,,"Main sampled class (Rank 1, CC 2)",8,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/58086354,[],[],recipe_58086354,logs/build/58086354_20260712_230641_attempt_1.log,,42,7,unique_focal_per_repo_hamilton_repo_weighted_seed42
58086354,https://github.com/BitTigerInst/miniCassandra,a996a3bc1f21a9bf0a6589d4ba96dfea99a5ff4f,MessageDeframer,demo/gRPC/core/src/main/java/io/grpc/internal/MessageDeframer.java,MessageDeframerTest,demo/gRPC/core/src/test/java/io/grpc/internal/MessageDeframerTest.java,251,12,2.43,51,21,12,high,True,main,2,41,8968609173039186934,,"Main sampled class (Rank 2, CC 12)",8,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/58086354,[],[],recipe_58086354,logs/build/58086354_20260712_230641_attempt_1.log,,42,8,unique_focal_per_repo_hamilton_repo_weighted_seed42
58086354,https://github.com/BitTigerInst/miniCassandra,a996a3bc1f21a9bf0a6589d4ba96dfea99a5ff4f,Status,demo/gRPC/core/src/main/java/io/grpc/Status.java,StatusTest,demo/gRPC/core/src/test/java/io/grpc/StatusTest.java,224,10,1.84,46,25,17,high,True,main,13,41,8968609173039186934,,"Main sampled class (Rank 13, CC 10)",8,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/58086354,[],[],recipe_58086354,logs/build/58086354_20260712_230641_attempt_1.log,,42,9,unique_focal_per_repo_hamilton_repo_weighted_seed42
6489406,https://github.com/dma-ais/AisLib,7b3429115a3c1a8d52b30298e17e2a4f757dfd72,TargetTracker,ais-lib-communication/src/main/java/dk/dma/ais/tracker/targetTracker/TargetTracker.java,TargetTrackerTest,ais-lib-communication/src/test/java/dk/dma/ais/tracker/targetTracker/TargetTrackerTest.java,162,12,2.42,46,19,15,high,True,main,1,48,11408680270351069727,,"Main sampled class (Rank 1, CC 12)",unknown_but_builds_with_jdk8,unknown,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/6489406,[],[],recipe_6489406,logs/build/6489406_20260712_230641_attempt_1.log,,42,10,unique_focal_per_repo_hamilton_repo_weighted_seed42
