timestamp_utc,phase,project,module,arm,focal_class,test_class,status,duration_sec,detail
2026-07-17T00:31:54+00:00,baseline_build,37728390,__project_prepare__,,AttributeValue,,START,,Preparing Maven/Gradle reactor before module builds (Maven)
2026-07-17T00:32:04+00:00,baseline_build,37728390,__local_maven_repair__,,,,START,,Installing local Maven repair artifacts/modules
2026-07-17T00:32:12+00:00,baseline_build,37728390,__local_maven_repair__,,,,PASS,8.441,Local Maven repair completed
2026-07-17T00:32:12+00:00,baseline_build,37728390,__project_prepare__,,,,PASS,17.906,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172; Local Maven repair completed
2026-07-17T00:32:12+00:00,baseline_build,38080174,__project_prepare__,,CachedFsClient;ContentType;HttpCookie;HttpMessage;JmxRegistry;ReadSettings;Utils,,START,,Preparing Maven/Gradle reactor before module builds (Maven)
2026-07-17T00:33:04+00:00,baseline_build,38080174,__project_prepare__,,,,PASS,51.94,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:33:04+00:00,baseline_build,49126308,__project_prepare__,,ElasticScroll,,START,,Preparing Maven/Gradle reactor before module builds (Maven)
2026-07-17T00:33:22+00:00,baseline_build,49126308,__project_prepare__,,,,PASS,17.727,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:33:22+00:00,baseline_build,56342003,__project_prepare__,,AbstractService;RequestUtil;ValidationUtil,,START,,Preparing Maven/Gradle reactor before module builds (Maven)
2026-07-17T00:35:55+00:00,baseline_build,56342003,__project_prepare__,,,,PASS,153.486,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:35:55+00:00,baseline_build,37728390,contrib/geomason,,AttributeValue,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:36:08+00:00,baseline_build,37728390,contrib/geomason,,AttributeValue,,PASS,12.471,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:36:08+00:00,baseline_build,38080174,boot-jmx,,JmxRegistry,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:36:14+00:00,baseline_build,38080174,boot-jmx,,JmxRegistry,,PASS,6.467,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:36:14+00:00,baseline_build,38080174,cloud-fs,,CachedFsClient,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:36:20+00:00,baseline_build,38080174,cloud-fs,,CachedFsClient,,PASS,5.995,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:36:20+00:00,baseline_build,38080174,core-http,,HttpMessage;ContentType;HttpCookie,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:36:26+00:00,baseline_build,38080174,core-http,,HttpMessage;ContentType;HttpCookie,,PASS,6.349,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:36:26+00:00,baseline_build,38080174,uikernel,,ReadSettings,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:36:33+00:00,baseline_build,38080174,uikernel,,ReadSettings,,PASS,6.181,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:36:33+00:00,baseline_build,38080174,util-common,,Utils,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:36:39+00:00,baseline_build,38080174,util-common,,Utils,,PASS,6.259,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:36:39+00:00,baseline_build,49126308,db-scroll-elastic,,ElasticScroll,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:36:47+00:00,baseline_build,49126308,db-scroll-elastic,,ElasticScroll,,PASS,8.551,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:36:47+00:00,baseline_build,56342003,kangaroo-common,,RequestUtil,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:36:58+00:00,baseline_build,56342003,kangaroo-common,,RequestUtil,,PASS,10.528,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:36:58+00:00,baseline_build,56342003,kangaroo-server-authz,,AbstractService;ValidationUtil,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:37:09+00:00,baseline_build,56342003,kangaroo-server-authz,,AbstractService;ValidationUtil,,PASS,11.162,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
