timestamp_utc,phase,project,module,arm,focal_class,test_class,status,duration_sec,detail
2026-07-17T00:55:28+00:00,baseline_build,49126308,db-scroll-elastic,,ElasticScroll,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:55:30+00:00,baseline_build,37728390,__project_prepare__,,AttributeValue,,START,,Preparing Maven/Gradle reactor before module builds (Maven)
2026-07-17T00:55:31+00:00,baseline_build,37728390,__local_maven_repair__,,,,START,,Installing local Maven repair artifacts/modules
2026-07-17T00:55:38+00:00,baseline_build,49126308,db-scroll-elastic,,ElasticScroll,,PASS,10.594,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk-1.8
2026-07-17T00:55:38+00:00,baseline_build,56342003,kangaroo-common,,RequestUtil,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:55:41+00:00,baseline_build,37728390,__local_maven_repair__,,,,PASS,9.501,Local Maven repair completed
2026-07-17T00:55:42+00:00,baseline_build,37728390,__project_prepare__,,,,PASS,11.955,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk-1.8; Local Maven repair completed
2026-07-17T00:55:42+00:00,baseline_build,37728390,contrib/geomason,,AttributeValue,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:55:51+00:00,baseline_build,56342003,kangaroo-common,,RequestUtil,,PASS,12.383,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk-1.8
2026-07-17T00:55:51+00:00,baseline_build,56342003,kangaroo-server-authz,,AbstractService;ValidationUtil,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:55:58+00:00,baseline_build,37728390,contrib/geomason,,AttributeValue,,PASS,15.352,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk-1.8
2026-07-17T00:55:58+00:00,baseline_build,58767125,ch.obermuhlner.math.big,,DefaultBigDecimalMath,,START,,Checking clean project/module build before generation (Gradle)
2026-07-17T00:55:59+00:00,baseline_build,58767125,__local_gradle_repair__,,,,START,,Applying local Gradle repair patches
2026-07-17T00:55:59+00:00,baseline_build,58767125,__local_gradle_repair__,,,,PASS,0.0,Local Gradle repair applied
2026-07-17T00:56:03+00:00,baseline_build,58767125,ch.obermuhlner.math.big,,DefaultBigDecimalMath,,PASS,5.828,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk-1.8
2026-07-17T00:56:03+00:00,baseline_build,56342003,kangaroo-server-authz,,AbstractService;ValidationUtil,,PASS,12.642,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk-1.8
