timestamp_utc,phase,project,module,arm,focal_class,test_class,status,duration_sec,detail
2026-07-17T00:16:25+00:00,baseline_build,37728390,__project_prepare__,,AttributeValue,,START,,Preparing Maven/Gradle reactor before module builds (Maven)
2026-07-17T00:16:47+00:00,baseline_build,37728390,__project_prepare__,,,,PASS,21.569,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:16:47+00:00,baseline_build,38080174,__project_prepare__,,CachedFsClient;ContentType;HttpCookie;HttpMessage;JmxRegistry;ReadSettings;Utils,,START,,Preparing Maven/Gradle reactor before module builds (Maven)
2026-07-17T00:18:17+00:00,baseline_build,38080174,__project_prepare__,,,,PASS,90.622,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:18:17+00:00,baseline_build,49126308,__project_prepare__,,ElasticScroll,,START,,Preparing Maven/Gradle reactor before module builds (Maven)
2026-07-17T00:18:53+00:00,baseline_build,49126308,__project_prepare__,,,,PASS,35.348,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:18:53+00:00,baseline_build,56342003,__project_prepare__,,AbstractService;RequestUtil;ValidationUtil,,START,,Preparing Maven/Gradle reactor before module builds (Maven)
2026-07-17T00:21:27+00:00,baseline_build,56342003,__project_prepare__,,,,PASS,154.052,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:21:27+00:00,baseline_build,37728390,contrib/geomason,,AttributeValue,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:23:56+00:00,baseline_build,37728390,contrib/geomason,,AttributeValue,,FAIL,149.522,"j-0.4.0-4.0.pom
Downloading from central: https://repo.maven.apache.org/maven2/edu/gmu/eclab/csv4j-0.4.0/4.0/csv4j-0.4.0-4.0.pom
Downloading from repository: file:///D:\balanced_delivery\balanced_bundle_300\compiledrepos\37728390\contrib\geomason/repository/edu/gmu/eclab/swiselib/4.0/swiselib-4.0.pom
Downloading from osgeo: https://repo.osgeo.org/repository/release/edu/gmu/eclab/swiselib/4.0/swiselib-4.0.pom
Downloading from repository3: http://maven.geotoolkit.org/edu/gmu/eclab/swiselib/4.0/swiselib-4.0.pom
Downloading from central: https://repo.maven.apache.org/maven2/edu/gmu/eclab/swiselib/4.0/swiselib-4.0.pom
[INFO] ------------------------------------------------------------------------
[INFO] BUILD FAILURE
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  02:26 min
[INFO] Finished at: 2026-07-17T07:23:56+07:00
[INFO] ------------------------------------------------------------------------
[ERROR] Failed to execute goal on project "
2026-07-17T00:23:56+00:00,baseline_build,38080174,boot-jmx,,JmxRegistry,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:24:04+00:00,baseline_build,38080174,boot-jmx,,JmxRegistry,,PASS,7.851,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:24:04+00:00,baseline_build,38080174,cloud-fs,,CachedFsClient,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:24:12+00:00,baseline_build,38080174,cloud-fs,,CachedFsClient,,PASS,7.524,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:24:12+00:00,baseline_build,38080174,core-http,,HttpMessage;ContentType;HttpCookie,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:24:20+00:00,baseline_build,38080174,core-http,,HttpMessage;ContentType;HttpCookie,,PASS,8.259,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:24:20+00:00,baseline_build,38080174,uikernel,,ReadSettings,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:24:27+00:00,baseline_build,38080174,uikernel,,ReadSettings,,PASS,6.936,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:24:27+00:00,baseline_build,38080174,util-common,,Utils,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:24:34+00:00,baseline_build,38080174,util-common,,Utils,,PASS,6.585,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:24:34+00:00,baseline_build,49126308,db-scroll-elastic,,ElasticScroll,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:24:43+00:00,baseline_build,49126308,db-scroll-elastic,,ElasticScroll,,PASS,9.005,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:24:43+00:00,baseline_build,56342003,kangaroo-common,,RequestUtil,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:24:54+00:00,baseline_build,56342003,kangaroo-common,,RequestUtil,,PASS,11.737,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:24:54+00:00,baseline_build,56342003,kangaroo-server-authz,,AbstractService;ValidationUtil,,START,,Checking clean project/module build before generation (Maven)
