timestamp_utc,phase,project,module,arm,focal_class,test_class,status,duration_sec,detail
2026-07-17T00:41:25+00:00,baseline_build,37728390,__project_prepare__,,AttributeValue,,START,,Preparing Maven/Gradle reactor before module builds (Maven)
2026-07-17T00:41:26+00:00,baseline_build,37728390,__local_maven_repair__,,,,START,,Installing local Maven repair artifacts/modules
2026-07-17T00:41:35+00:00,baseline_build,37728390,__local_maven_repair__,,,,PASS,8.493,Local Maven repair completed
2026-07-17T00:41:36+00:00,baseline_build,37728390,__project_prepare__,,,,PASS,11.36,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172; Local Maven repair completed
2026-07-17T00:41:36+00:00,baseline_build,35132359,hapi-fhir-base,,UrlUtil,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:41:42+00:00,baseline_build,35132359,hapi-fhir-base,,UrlUtil,,PASS,5.794,requested=1.6 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:41:42+00:00,baseline_build,3526892,core,,ProjectCommandExecutor,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:41:47+00:00,baseline_build,3526892,core,,ProjectCommandExecutor,,PASS,5.281,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:41:47+00:00,baseline_build,37489990,tomcat-gcp-lib,,DatastoreManager,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:41:54+00:00,baseline_build,37489990,tomcat-gcp-lib,,DatastoreManager,,PASS,6.49,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:41:54+00:00,baseline_build,37728390,contrib/geomason,,AttributeValue,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:42:02+00:00,baseline_build,37728390,contrib/geomason,,AttributeValue,,PASS,8.299,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:42:02+00:00,baseline_build,38080174,boot-jmx,,JmxRegistry,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:42:08+00:00,baseline_build,38080174,boot-jmx,,JmxRegistry,,PASS,6.06,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:42:08+00:00,baseline_build,38080174,cloud-fs,,CachedFsClient,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:42:15+00:00,baseline_build,38080174,cloud-fs,,CachedFsClient,,PASS,6.313,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:42:15+00:00,baseline_build,38080174,core-http,,HttpMessage;ContentType;HttpCookie,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:42:21+00:00,baseline_build,38080174,core-http,,HttpMessage;ContentType;HttpCookie,,PASS,6.208,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:42:21+00:00,baseline_build,38080174,uikernel,,ReadSettings,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:42:27+00:00,baseline_build,38080174,uikernel,,ReadSettings,,PASS,6.424,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T00:42:27+00:00,baseline_build,38080174,util-common,,Utils,,START,,Checking clean project/module build before generation (Maven)
