timestamp_utc,model_requested,model_returned,duration_sec,prompt_chars,completion_chars,prompt_tokens,completion_tokens,total_tokens,top_p,max_tokens,status,error_type,error_message
2026-07-13T18:26:34+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,12.653,5402,1497,1534,495,2029,1,2048,OK,,
2026-07-13T18:29:36+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,14.073,6140,3951,1311,814,2125,1,2048,OK,,
2026-07-13T18:30:12+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,8.092,3785,2858,831,611,1442,1,2048,OK,,
2026-07-13T18:30:39+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,13.282,19073,5076,4935,1102,6037,1,2048,OK,,
2026-07-13T18:31:14+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,8.514,3714,2285,770,487,1257,1,2048,OK,,
2026-07-13T18:31:49+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,11.125,3419,4256,727,840,1567,1,2048,OK,,
2026-07-13T18:33:44+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,8.901,6252,2678,1350,576,1926,1,2048,OK,,
2026-07-13T18:35:35+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,11.25,12360,3742,2823,746,3569,1,2048,OK,,
2026-07-13T18:37:20+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,7.609,7146,2834,1462,699,2161,1,2048,OK,,
2026-07-13T18:39:01+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,10.243,4767,3568,1160,767,1927,1,2048,OK,,
2026-07-13T18:46:46+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,9.002,8865,3326,2132,738,2870,1,2048,OK,,
2026-07-13T18:47:21+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,24.413,14304,6374,3050,1298,4348,1,2048,OK,,
2026-07-13T18:48:00+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,13.94,4368,3939,947,820,1767,1,2048,OK,,
2026-07-13T18:52:20+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,8.231,19070,2781,3865,694,4559,1,2048,OK,,
2026-07-13T18:52:49+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,10.668,4538,3381,928,702,1630,1,2048,OK,,
2026-07-13T18:53:15+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,11.108,1651,2103,385,575,960,1,2048,OK,,
2026-07-13T18:54:01+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,6.392,3828,2510,838,512,1350,1,2048,OK,,
2026-07-13T18:54:23+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,9.501,5014,3670,1140,716,1856,1,2048,OK,,
2026-07-13T18:56:37+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,18.546,2611,3911,505,777,1282,1,2048,OK,,
2026-07-13T19:13:30+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,9.457,2810,3050,628,633,1261,1,2048,OK,,
