timestamp_utc,source,project,module,arm,focal_class,phase,status,category,severity,explanation_vi,suggested_action_vi,detail
2026-07-13T18:26:34+00:00,phase_log,3526892.0,,evosuite,Pricing,evosuite_generate,FAIL,unclassified_runtime_issue,warning,Tool ghi nhận lỗi nhưng chưa phân loại được tự động.,Xem detail trong phase_log.csv/runtime_errors.csv để phân tích thủ công.,"ing from spy: http://files.couchbase.com/maven2/org/apache/tomcat/tomcat-jdbc/7.0.35/tomcat-jdbc-7.0.35.pom
Downloading from central: https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-jdbc/7.0.35/tomcat-jdbc-7.0.35.pom
Progress (1): 852 B
Progress (1): 1.5 kB
                    
Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-jdbc/7.0.35/tomcat-jdbc-7.0.35.pom (1.5 kB at 10 kB/s)
Downloading from spy: http://files.couchbase.com/maven2/org/apache/tomcat/tomcat-juli/7.0.35/tomcat-juli-7.0.35.pom
Downloading from central: https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-juli/7.0.35/tomcat-juli-7.0.35.pom
Progress (1): 858 B
Progress (1): 1.3 kB
                    
Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-juli/7.0.35/tomcat-juli-7.0.35.pom (1.3 kB at 11 kB/s)
Downloading from spy: http://files.couchbase.com/maven2/mysql/mysql-connector-java/5.1.18/mysql-connector-java-5.1.18.pom
"
2026-07-13T18:26:50+00:00,phase_log,3526892.0,core,,,maven_verify_jacoco_pit,FAIL,project_dependency_resolution_error,error,"Maven/Gradle không resolve được dependency của project, thường gặp ở multi-module SNAPSHOT khi module phụ chưa được install hoặc thiếu repository nội bộ.","Build/install project từ root trước khi đo, ví dụ mvn install -DskipTests ở root, hoặc loại instance này khỏi sample nếu dependency không thể khôi phục.","The following general errors were encountered during the Maven build:

- Failed to execute goal on project core: Could not collect dependencies for project com.ipeirotis:core:jar:1.1
- Failed to read artifact descriptor for spy:spymemcached:jar:2.8.1
- Caused by: The following artifacts could not be resolved: spy:spymemcached:pom:2.8.1 (absent): Could not transfer artifact spy:spymemcached:pom:2.8.1 from/to spy (http://files.couchbase.com/maven2/): files.couchbase.com
- 
- -> [Help 1]
- 
- To see the full stack trace of the errors, re-run Maven with the -e switch.
- Re-run Maven using the -X switch to enable full debug logging.
- 
- For more information about the errors and possible solutions, please read the following articles:
- [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/DependencyResolutionException"
2026-07-13T18:29:57+00:00,phase_log,37489990.0,tomcat-gcp-lib,,,maven_verify_jacoco_pit,FAIL,project_compilation_error,error,"Project hoặc module Java không compile được khi đo JaCoCo/PIT; đây là lỗi source/dependency/build của repo, không nhất thiết là lỗi GPT.",Xem phase_log.csv để biết file Java và symbol lỗi; cần sửa dependency/source hoặc loại instance khỏi sample nếu precheck không tái lập buildability.,"The following compilation errors were encountered during the Maven build:

- 
- D:\pilot_delivery\pilot_delivery\pilot_bundle_24\compiledrepos\37489990\tomcat-gcp-lib\src\test\java\com\google\cloud\runtimes\tomcat\trace\TraceValveTest.java:[50,22] cannot find symbol
- symbol:   class LifecycleException
- location: class com.google.cloud.runtimes.tomcat.trace.TraceValveTest
- D:\pilot_delivery\pilot_delivery\pilot_bundle_24\compiledrepos\37489990\tomcat-gcp-lib\src\test\java\com\google\cloud\runtimes\tomcat\trace\TraceValveTest.java:[56,22] cannot find symbol
- symbol:   class LifecycleException
- location: class com.google.cloud.runtimes.tomcat.trace.TraceValveTest"
2026-07-13T18:30:12+00:00,phase_log,37728390.0,,evosuite,AttributeValue,evosuite_generate,FAIL,unclassified_runtime_issue,warning,Tool ghi nhận lỗi nhưng chưa phân loại được tự động.,Xem detail trong phase_log.csv/runtime_errors.csv để phân tích thủ công.,"cts...
Downloading from repository: file:///${project.basedir}/repository/cs/gmu/edu/eclab/mason-build/20/mason-build-20.pom
Downloading from osgeo: https://repo.osgeo.org/repository/release/cs/gmu/edu/eclab/mason-build/20/mason-build-20.pom
Downloading from repository3: http://maven.geotoolkit.org/cs/gmu/edu/eclab/mason-build/20/mason-build-20.pom
Downloading from central: https://repo.maven.apache.org/maven2/cs/gmu/edu/eclab/mason-build/20/mason-build-20.pom
[ERROR] [ERROR] Some problems were encountered while processing the POMs:
[WARNING] 'dependencies.dependency.systemPath' for org.evosuite:evosuite-standalone-runtime:jar should use a variable instead of a hard-coded path D:/pilot_delivery/pilot_delivery/pilot_bundle_24/evosuite-standalone-runtime-1.2.0.jar @ line 163, column 154
[WARNING] 'dependencies.dependency.systemPath' for com.sun:tools:jar should use a variable instead of a hard-coded path C:/Program Files/Java/jdk1.8.0_172/lib/tools.jar @ line 163, column 391
[FATAL] Non-"
2026-07-13T18:30:24+00:00,phase_log,37728390.0,contrib/geomason,,,maven_verify_jacoco_pit,FAIL,unclassified_runtime_issue,warning,Tool ghi nhận lỗi nhưng chưa phân loại được tự động.,Xem detail trong phase_log.csv/runtime_errors.csv để phân tích thủ công.,"The following general errors were encountered during the Maven build:

- Some problems were encountered while processing the POMs:
- [FATAL] Non-resolvable parent POM for cs.gmu.edu.eclab.contrib:geomason:1.6: The following artifacts could not be resolved: cs.gmu.edu.eclab:mason-build:pom:20 (absent): Could not transfer artifact cs.gmu.edu.eclab:mason-build:pom:20 from/to repository3 (http://maven.geotoolkit.org/): maven.geotoolkit.org and 'parent.relativePath' points at wrong local POM @ line 4, column 10
- @
- The build could not read 1 project -> [Help 1]
- 
- The project cs.gmu.edu.eclab.contrib:geomason:1.6 (D:\pilot_delivery\pilot_delivery\pilot_bundle_24\compiledrepos\37728390\contrib\geomason\pom.xml) has 1 error
- Non-resolvable parent POM for cs.gmu.edu.eclab.contrib:geomason:1.6: The following artifacts could not be resolved: cs.gmu.edu.eclab:mason-build:pom:20 (absent): Could not transfer artifact cs.gmu.edu.eclab:mason-build:pom:20 from/to repository3 (http://maven.geotool"
2026-07-13T18:30:39+00:00,phase_log,38080174.0,,evosuite,OTAlgorithms,evosuite_generate,FAIL,unclassified_runtime_issue,warning,Tool ghi nhận lỗi nhưng chưa phân loại được tự động.,Xem detail trong phase_log.csv/runtime_errors.csv để phân tích thủ công.,"ogress (2): 94/115 kB | 99 kB
Progress (2): 99/115 kB | 99 kB
Progress (2): 103/115 kB | 99 kB
Progress (2): 107/115 kB | 99 kB
Progress (2): 111/115 kB | 99 kB
Progress (2): 115 kB | 99 kB    
                            
Downloaded from central: https://repo.maven.apache.org/maven2/org/jmock/jmock/2.8.1/jmock-2.8.1.jar (99 kB at 983 kB/s)
Downloaded from central: https://repo.maven.apache.org/maven2/org/ow2/asm/asm/7.2/asm-7.2.jar (115 kB at 1.1 MB/s)
Progress (1): 3.1 kB
                    
Downloaded from central: https://repo.maven.apache.org/maven2/org/jmock/jmock-testjar/2.8.1/jmock-testjar-2.8.1.jar (3.1 kB at 15 kB/s)
Progress (1): 7.5 kB
                    
Downloaded from central: https://repo.maven.apache.org/maven2/org/jmock/jmock-junit4/2.8.1/jmock-junit4-2.8.1.jar (7.5 kB at 34 kB/s)
[INFO] ------------------------------------------------------------------------
[INFO] BUILD FAILURE
[INFO] ------------------------------------------------------------------------
[INFO] "
2026-07-13T18:30:55+00:00,phase_log,38080174.0,cloud-ot,,,maven_verify_jacoco_pit,FAIL,project_dependency_resolution_error,error,"Maven/Gradle không resolve được dependency của project, thường gặp ở multi-module SNAPSHOT khi module phụ chưa được install hoặc thiếu repository nội bộ.","Build/install project từ root trước khi đo, ví dụ mvn install -DskipTests ở root, hoặc loại instance này khỏi sample nếu dependency không thể khôi phục.","The following general errors were encountered during the Maven build:

- Failed to execute goal on project datakernel-ot: Could not resolve dependencies for project io.datakernel:datakernel-ot:jar:3.2-SNAPSHOT
- dependency: io.datakernel:datakernel-eventloop:jar:3.2-SNAPSHOT (compile)
- Could not find artifact io.datakernel:datakernel-eventloop:jar:3.2-SNAPSHOT
- dependency: io.datakernel:datakernel-promise:jar:3.2-SNAPSHOT (compile)
- Could not find artifact io.datakernel:datakernel-promise:jar:3.2-SNAPSHOT
- dependency: io.datakernel:datakernel-codec:jar:3.2-SNAPSHOT (compile)
- Could not find artifact io.datakernel:datakernel-codec:jar:3.2-SNAPSHOT
- dependency: io.datakernel:datakernel-jmxapi:jar:3.2-SNAPSHOT (compile?)
- Could not find artifact io.datakernel:datakernel-jmxapi:jar:3.2-SNAPSHOT
- dependency: io.datakernel:datakernel-test:jar:3.2-SNAPSHOT (test)
- Could not find artifact io.datakernel:datakernel-test:jar:3.2-SNAPSHOT
- 
- -> [Help 1]
- 
- To see the full stack trace "
2026-07-13T18:31:14+00:00,phase_log,39770930.0,,evosuite,WaitAvailableBrowsersChecker,evosuite_generate,FAIL,unclassified_runtime_issue,warning,Tool ghi nhận lỗi nhưng chưa phân loại được tự động.,Xem detail trong phase_log.csv/runtime_errors.csv để phân tích thủ công.,"e.org/maven2/org/seleniumhq/selenium/selenium-support/2.53.0/selenium-support-2.53.0.jar (169 kB at 159 kB/s)
Downloaded from central: https://repo.maven.apache.org/maven2/org/seleniumhq/selenium/selenium-firefox-driver/2.53.0/selenium-firefox-driver-2.53.0.jar (822 kB at 771 kB/s)
Progress (1): 7.7/400 kB
Progress (1): 15/400 kB 
Progress (1): 32/400 kB
Progress (1): 48/400 kB
Progress (1): 65/400 kB
Progress (1): 81/400 kB
Progress (1): 97/400 kB
Progress (1): 114/400 kB
Progress (1): 130/400 kB
Progress (1): 147/400 kB
Progress (1): 163/400 kB
Progress (1): 179/400 kB
Progress (1): 196/400 kB
Progress (1): 212/400 kB
Progress (1): 228/400 kB
Progress (1): 245/400 kB
Progress (1): 261/400 kB
Progress (1): 278/400 kB
Progress (1): 294/400 kB
Progress (1): 310/400 kB
Progress (1): 327/400 kB
Progress (1): 343/400 kB
Progress (1): 359/400 kB
Progress (1): 376/400 kB
Progress (1): 392/400 kB
Progress (1): 400 kB    
                    
Downloaded from central: https://repo.maven.apache."
2026-07-13T18:31:26+00:00,phase_log,39770930.0,proxy,,,maven_verify_jacoco_pit,FAIL,project_dependency_resolution_error,error,"Maven/Gradle không resolve được dependency của project, thường gặp ở multi-module SNAPSHOT khi module phụ chưa được install hoặc thiếu repository nội bộ.","Build/install project từ root trước khi đo, ví dụ mvn install -DskipTests ở root, hoặc loại instance này khỏi sample nếu dependency không thể khôi phục.","The following general errors were encountered during the Maven build:

- Failed to execute goal on project gridrouter-proxy: Could not resolve dependencies for project ru.qatools.seleniumkit:gridrouter-proxy:war:1.32-SNAPSHOT
- dependency: ru.qatools.seleniumkit:gridrouter-config:jar:1.32-SNAPSHOT (compile)
- ru.qatools.seleniumkit:gridrouter-config:jar:1.32-SNAPSHOT was not found in https://oss.sonatype.org/content/repositories/snapshots during a previous attempt. This failure was cached in the local repository and resolution is not reattempted until the update interval of sonatype-nexus-snapshots has elapsed or updates are forced
- 
- -> [Help 1]
- 
- To see the full stack trace of the errors, re-run Maven with the -e switch.
- Re-run Maven using the -X switch to enable full debug logging.
- 
- For more information about the errors and possible solutions, please read the following articles:
- [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/DependencyResolutionException"
2026-07-13T18:31:49+00:00,phase_log,49126308.0,,evosuite,ElasticScroll,evosuite_generate,FAIL,unclassified_runtime_issue,warning,Tool ghi nhận lỗi nhưng chưa phân loại được tự động.,Xem detail trong phase_log.csv/runtime_errors.csv để phân tích thủ công.," | 838 kB
Progress (2): 0.9/1.4 MB | 838 kB
Progress (2): 0.9/1.4 MB | 838 kB
                                 
Downloaded from central: https://repo.maven.apache.org/maven2/com/google/guava/guava-testlib/23.2-jre/guava-testlib-23.2-jre.jar (838 kB at 2.4 MB/s)
Progress (1): 0.9/1.4 MB
Progress (1): 0.9/1.4 MB
Progress (1): 0.9/1.4 MB
Progress (1): 1.0/1.4 MB
Progress (1): 1.0/1.4 MB
Progress (1): 1.0/1.4 MB
Progress (1): 1.0/1.4 MB
Progress (1): 1.0/1.4 MB
Progress (1): 1.0/1.4 MB
Progress (1): 1.1/1.4 MB
Progress (1): 1.1/1.4 MB
Progress (1): 1.1/1.4 MB
Progress (1): 1.1/1.4 MB
Progress (1): 1.1/1.4 MB
Progress (1): 1.1/1.4 MB
Progress (1): 1.2/1.4 MB
Progress (1): 1.2/1.4 MB
Progress (1): 1.2/1.4 MB
Progress (1): 1.2/1.4 MB
Progress (1): 1.2/1.4 MB
Progress (1): 1.2/1.4 MB
Progress (1): 1.3/1.4 MB
Progress (1): 1.3/1.4 MB
Progress (1): 1.3/1.4 MB
Progress (1): 1.3/1.4 MB
Progress (1): 1.3/1.4 MB
Progress (1): 1.3/1.4 MB
Progress (1): 1.4/1.4 MB
Progress (1): 1.4/1.4 MB
Progress (1):"
