timestamp_utc,phase,project,module,arm,focal_class,test_class,status,duration_sec,detail
2026-07-13T18:26:15+00:00,run,,,,,,START,,Experiment runner started
2026-07-13T18:26:15+00:00,precheck,,,,,,START,,Loading pilot_24_classes.csv
2026-07-13T18:26:15+00:00,precheck,,,,,,PASS,,Buildable rows: 24; skipped rows: 0
2026-07-13T18:26:15+00:00,stage,,,,,,START,,Writing AgoneTest staging files
2026-07-13T18:26:15+00:00,stage,,,,,,PASS,,Staging files ready
2026-07-13T18:26:18+00:00,generation,,,,,,START,,Running EvoSuite and GPT arms
2026-07-13T18:26:21+00:00,project_run,3526892,,,,,START,,
2026-07-13T18:26:27+00:00,toolchain,,,,,,PASS,,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-13T18:26:34+00:00,evosuite_generate,3526892,,evosuite,Pricing,,FAIL,6.585,"ing from spy: http://files.couchbase.com/maven2/org/apache/tomcat/tomcat-jdbc/7.0.35/tomcat-jdbc-7.0.35.pom
Downloading from central: https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-jdbc/7.0.35/tomcat-jdbc-7.0.35.pom
Progress (1): 852 B
Progress (1): 1.5 kB
                    
Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-jdbc/7.0.35/tomcat-jdbc-7.0.35.pom (1.5 kB at 10 kB/s)
Downloading from spy: http://files.couchbase.com/maven2/org/apache/tomcat/tomcat-juli/7.0.35/tomcat-juli-7.0.35.pom
Downloading from central: https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-juli/7.0.35/tomcat-juli-7.0.35.pom
Progress (1): 858 B
Progress (1): 1.3 kB
                    
Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-juli/7.0.35/tomcat-juli-7.0.35.pom (1.3 kB at 11 kB/s)
Downloading from spy: http://files.couchbase.com/maven2/mysql/mysql-connector-java/5.1.18/mysql-connector-java-5.1.18.pom
"
2026-07-13T18:26:50+00:00,maven_verify_jacoco_pit,3526892,core,,,,FAIL,3.331,"The following general errors were encountered during the Maven build:

- Failed to execute goal on project core: Could not collect dependencies for project com.ipeirotis:core:jar:1.1
- Failed to read artifact descriptor for spy:spymemcached:jar:2.8.1
- Caused by: The following artifacts could not be resolved: spy:spymemcached:pom:2.8.1 (absent): Could not transfer artifact spy:spymemcached:pom:2.8.1 from/to spy (http://files.couchbase.com/maven2/): files.couchbase.com
- 
- -> [Help 1]
- 
- To see the full stack trace of the errors, re-run Maven with the -e switch.
- Re-run Maven using the -X switch to enable full debug logging.
- 
- For more information about the errors and possible solutions, please read the following articles:
- [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/DependencyResolutionException"
2026-07-13T18:26:50+00:00,project_run,3526892,,,,,PASS,29.356,
2026-07-13T18:26:50+00:00,project_run,37489990,,,,,START,,
2026-07-13T18:26:56+00:00,toolchain,,,,,,PASS,,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-13T18:28:43+00:00,evosuite_generate,37489990,,evosuite,TraceValve,,PASS,106.688,com.google.cloud.runtimes.tomcat.trace.TraceValve
2026-07-13T18:29:35+00:00,maven_verify_jacoco_pit,37489990,tomcat-gcp-lib,,,,PASS,52.184,-Dtest=com.google.cloud.runtimes.tomcat.trace.TraceValveTest
2026-07-13T18:29:57+00:00,maven_verify_jacoco_pit,37489990,tomcat-gcp-lib,,,,FAIL,7.05,"The following compilation errors were encountered during the Maven build:

- 
- D:\pilot_delivery\pilot_delivery\pilot_bundle_24\compiledrepos\37489990\tomcat-gcp-lib\src\test\java\com\google\cloud\runtimes\tomcat\trace\TraceValveTest.java:[50,22] cannot find symbol
- symbol:   class LifecycleException
- location: class com.google.cloud.runtimes.tomcat.trace.TraceValveTest
- D:\pilot_delivery\pilot_delivery\pilot_bundle_24\compiledrepos\37489990\tomcat-gcp-lib\src\test\java\com\google\cloud\runtimes\tomcat\trace\TraceValveTest.java:[56,22] cannot find symbol
- symbol:   class LifecycleException
- location: class com.google.cloud.runtimes.tomcat.trace.TraceValveTest"
2026-07-13T18:29:57+00:00,project_run,37489990,,,,,PASS,187.41,
2026-07-13T18:29:57+00:00,project_run,37728390,,,,,START,,
2026-07-13T18:30:05+00:00,toolchain,,,,,,PASS,,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-13T18:30:12+00:00,evosuite_generate,37728390,,evosuite,AttributeValue,,FAIL,7.306,"cts...
Downloading from repository: file:///${project.basedir}/repository/cs/gmu/edu/eclab/mason-build/20/mason-build-20.pom
Downloading from osgeo: https://repo.osgeo.org/repository/release/cs/gmu/edu/eclab/mason-build/20/mason-build-20.pom
Downloading from repository3: http://maven.geotoolkit.org/cs/gmu/edu/eclab/mason-build/20/mason-build-20.pom
Downloading from central: https://repo.maven.apache.org/maven2/cs/gmu/edu/eclab/mason-build/20/mason-build-20.pom
[ERROR] [ERROR] Some problems were encountered while processing the POMs:
[WARNING] 'dependencies.dependency.systemPath' for org.evosuite:evosuite-standalone-runtime:jar should use a variable instead of a hard-coded path D:/pilot_delivery/pilot_delivery/pilot_bundle_24/evosuite-standalone-runtime-1.2.0.jar @ line 163, column 154
[WARNING] 'dependencies.dependency.systemPath' for com.sun:tools:jar should use a variable instead of a hard-coded path C:/Program Files/Java/jdk1.8.0_172/lib/tools.jar @ line 163, column 391
[FATAL] Non-"
