timestamp_utc,model_requested,model_returned,duration_sec,prompt_chars,completion_chars,prompt_tokens,completion_tokens,total_tokens,top_p,max_tokens,status,error_type,error_message
2026-07-14T02:44:55+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,8.16,5402,1514,1534,494,2028,1,2048,OK,,
2026-07-14T02:47:03+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,13.665,6140,4199,1311,876,2187,1,2048,OK,,
2026-07-14T02:47:32+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,10.542,3785,3020,831,655,1486,1,2048,OK,,
2026-07-14T02:47:57+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,13.814,19073,5114,4935,1110,6045,1,2048,OK,,
2026-07-14T02:48:22+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,7.756,3714,2509,770,546,1316,1,2048,OK,,
2026-07-14T02:48:41+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,7.753,3419,3575,727,718,1445,1,2048,OK,,
2026-07-14T02:50:27+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,6.745,6252,1999,1350,425,1775,1,2048,OK,,
2026-07-14T03:16:19+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,12.914,12360,3776,2823,753,3576,1,2048,OK,,
2026-07-14T03:18:02+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,11.716,7146,2454,1462,602,2064,1,2048,OK,,
2026-07-14T03:19:50+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,12.267,4767,3851,1160,817,1977,1,2048,OK,,
2026-07-14T03:21:50+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,9.704,8865,3515,2132,776,2908,1,2048,OK,,
2026-07-14T03:22:17+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,19.504,14304,5650,3050,1150,4200,1,2048,OK,,
2026-07-14T03:22:49+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,10.106,4368,3610,947,732,1679,1,2048,OK,,
2026-07-14T03:25:01+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,23.078,19070,2788,3865,705,4570,1,2048,OK,,
2026-07-14T03:25:42+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,8.164,4538,3210,928,639,1567,1,2048,OK,,
2026-07-14T03:26:09+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,7.592,1651,2103,385,575,960,1,2048,OK,,
2026-07-14T03:26:35+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,6.965,3828,2171,838,459,1297,1,2048,OK,,
2026-07-14T03:26:55+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,10.886,5014,3943,1140,762,1902,1,2048,OK,,
2026-07-14T03:28:44+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,9.541,2611,3819,505,760,1265,1,2048,OK,,
2026-07-14T03:29:06+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,9.426,2810,3122,628,671,1299,1,2048,OK,,
2026-07-14T03:31:01+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,23.504,18820,4723,3841,1013,4854,1,2048,OK,,
