Project,Focal_Class,Test_Class,Focal_Path,Test_Path,Module
58086354,OkHttpClientStream,OkHttpClientStreamTest,repos/58086354/demo/gRPC/okhttp/src/main/java/io/grpc/okhttp/OkHttpClientStream.java,repos/58086354/demo/gRPC/okhttp/src/test/java/io/grpc/okhttp/OkHttpClientStreamTest.java,demo/gRPC/okhttp
6489406,ScenarioTracker,ScenarioTrackerTest,repos/6489406/ais-lib-communication/src/main/java/dk/dma/ais/tracker/scenarioTracker/ScenarioTracker.java,repos/6489406/ais-lib-communication/src/test/java/dk/dma/ais/tracker/scenarioTracker/ScenarioTrackerTest.java,ais-lib-communication
49126308,ElasticScroll,ElasticScrollTest,repos/49126308/db-scroll-elastic/src/main/java/com/jeromeloisel/database/scroll/elastic/ElasticScroll.java,repos/49126308/db-scroll-elastic/src/test/java/com/jeromeloisel/database/scroll/elastic/ElasticScrollTest.java,db-scroll-elastic
39770930,WaitAvailableBrowsersChecker,WaitAvailableBrowsersCheckerTest,repos/39770930/proxy/src/main/java/ru/qatools/gridrouter/sessions/WaitAvailableBrowsersChecker.java,repos/39770930/proxy/src/test/java/ru/qatools/gridrouter/sessions/WaitAvailableBrowsersCheckerTest.java,proxy
37489990,TraceValve,TraceValveTest,repos/37489990/tomcat-gcp-lib/src/main/java/com/google/cloud/runtimes/tomcat/trace/TraceValve.java,repos/37489990/tomcat-gcp-lib/src/test/java/com/google/cloud/runtimes/tomcat/trace/TraceValveTest.java,tomcat-gcp-lib
5093728,FeatureContext,FeatureContextTest,repos/5093728/core/src/main/java/com/googlecode/fitchy/FeatureContext.java,repos/5093728/core/src/test/java/com/googlecode/fitchy/FeatureContextTest.java,core
7283919,TeradataDatePeriod,TeradataDatePeriodTest,repos/7283919/dbfit-java/teradata/src/main/java/dbfit/environment/TeradataDatePeriod.java,repos/7283919/dbfit-java/teradata/src/test/java/dbfit/environment/TeradataDatePeriodTest.java,dbfit-java
58767125,BigComplex,BigComplexTest,repos/58767125/ch.obermuhlner.math.big/src/main/java/ch/obermuhlner/math/big/BigComplex.java,repos/58767125/ch.obermuhlner.math.big/src/test/java/ch/obermuhlner/math/big/BigComplexTest.java,ch.obermuhlner.math.big
56342003,AbstractService,AbstractServiceTest,repos/56342003/kangaroo-server-authz/src/main/java/net/krotscheck/kangaroo/authz/admin/v1/resource/AbstractService.java,repos/56342003/kangaroo-server-authz/src/test/java/net/krotscheck/kangaroo/authz/admin/v1/resource/AbstractServiceTest.java,kangaroo-server-authz
74217,FieldLocator,FieldLocatorTest,repos/74217/flapjack-annotation/src/main/java/flapjack/annotation/FieldLocator.java,repos/74217/flapjack-annotation/src/test/java/flapjack/annotation/FieldLocatorTest.java,flapjack-annotation
74458764,CookieSessionTracking,TestCookieSessionTracking,repos/74458764/session-replacement/src/main/java/com/amadeus/session/servlet/CookieSessionTracking.java,repos/74458764/session-replacement/src/test/java/com/amadeus/session/servlet/TestCookieSessionTracking.java,session-replacement
54231507,EventFiringWebDriver,EventFiringWebDriverTest,repos/54231507/core/src/main/java/ru/stqa/selenium/decorated/events/EventFiringWebDriver.java,repos/54231507/core/src/test/java/ru/stqa/selenium/decorated/events/EventFiringWebDriverTest.java,core
37728390,AttributeValue,AttributeValueTest,repos/37728390/contrib/geomason/src/main/java/sim/util/geo/AttributeValue.java,repos/37728390/contrib/geomason/src/test/java/sim/util/geo/AttributeValueTest.java,contrib/geomason
88231534,TracingCommandListener,TracingCommandListenerTest,repos/88231534/opentracing-mongo-common/src/main/java/io/opentracing/contrib/mongo/common/TracingCommandListener.java,repos/88231534/opentracing-mongo-common/src/test/java/io/opentracing/contrib/mongo/common/TracingCommandListenerTest.java,opentracing-mongo-common
