source_sample,run_mode,source_row_index,project,module,focal_class,test_class,id_focal_class,arm,generator,prompt_technique,fairness_policy,generated_test_file,generated_test_file_exists,failure_markers,compilation,branch_coverage_compiled_only,line_coverage_compiled_only,method_coverage_compiled_only,mutation_score_compiled_only,branch_coverage_strict_zero_fill,line_coverage_strict_zero_fill,method_coverage_strict_zero_fill,mutation_score_strict_zero_fill,fail_stage
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,0,58086354,demo/gRPC/okhttp,OkHttpClientStream,OkHttpClientStreamTest,58086354_OkHttpClientStream,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/58086354/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_OkHttpClientStreamTest.java,0,,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,0,58086354,demo/gRPC/okhttp,OkHttpClientStream,OkHttpClientStreamTest,58086354_OkHttpClientStream,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/58086354/response_evosuite_OkHttpClientStreamTest.java,0,,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,1,6489406,ais-lib-communication,ScenarioTracker,ScenarioTrackerTest,6489406_ScenarioTracker,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/6489406/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_ScenarioTrackerTest.java,1,output/6489406/TestClasses_6489406_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,1,6489406,ais-lib-communication,ScenarioTracker,ScenarioTrackerTest,6489406_ScenarioTracker,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/6489406/response_evosuite_ScenarioTrackerTest.java,1,,1,9.09,32.08,66.67,10.67,9.09,32.08,66.67,10.67,ok
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,2,49126308,db-scroll-elastic,ElasticScroll,ElasticScrollTest,49126308_ElasticScroll,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/49126308/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_ElasticScrollTest.java,1,output/49126308/TestClasses_49126308_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,2,49126308,db-scroll-elastic,ElasticScroll,ElasticScrollTest,49126308_ElasticScroll,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/49126308/response_evosuite_ElasticScrollTest.java,0,output/49126308/TestClasses_49126308_evosuite.failed,0,,,,,0.0,0.0,0.0,0.0,generation_or_build_failed_marker
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,3,39770930,proxy,WaitAvailableBrowsersChecker,WaitAvailableBrowsersCheckerTest,39770930_WaitAvailableBrowsersChecker,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/39770930/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_WaitAvailableBrowsersCheckerTest.java,1,output/39770930/TestClasses_39770930_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,3,39770930,proxy,WaitAvailableBrowsersChecker,WaitAvailableBrowsersCheckerTest,39770930_WaitAvailableBrowsersChecker,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/39770930/response_evosuite_WaitAvailableBrowsersCheckerTest.java,0,output/39770930/TestClasses_39770930_evosuite.failed,0,,,,,0.0,0.0,0.0,0.0,generation_or_build_failed_marker
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,4,37489990,tomcat-gcp-lib,TraceValve,TraceValveTest,37489990_TraceValve,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/37489990/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_TraceValveTest.java,1,output/37489990/TestClasses_37489990_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,4,37489990,tomcat-gcp-lib,TraceValve,TraceValveTest,37489990_TraceValve,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/37489990/response_evosuite_TraceValveTest.java,1,,1,28.57,21.05,60.0,0.0,28.57,21.05,60.0,0.0,ok
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,5,5093728,core,FeatureContext,FeatureContextTest,5093728_FeatureContext,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/5093728/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_FeatureContextTest.java,1,output/5093728/TestClasses_5093728_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,5,5093728,core,FeatureContext,FeatureContextTest,5093728_FeatureContext,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/5093728/response_evosuite_FeatureContextTest.java,1,output/5093728/TestClasses_5093728_evosuite.mavenfailed,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,6,7283919,dbfit-java,TeradataDatePeriod,TeradataDatePeriodTest,7283919_TeradataDatePeriod,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/7283919/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_TeradataDatePeriodTest.java,1,output/7283919/TestClasses_7283919_gpt-4o-mini-2024-07-18_rbl4-zero-shot.gradlefailed,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
