Project,Focal_Class,Test_Class,Focal_Path,Test_Path,Module,Repo_URL,Commit_SHA,NLOC,Max_Method_CC,Public_Method_Count,Method_Count,Avg_Method_CC,Sum_Method_CC,Java_Version,Build_Tool,Selected_Type,Pilot_Seed,Dependency_Command,Compile_Command,Test_Compile_Command,Working_Directory,Build_Recipe_ID,Validation_Log,source_row_index,compiled_focal_path,compiled_test_path
75368166,Greeter,GreeterTest,repos/75368166/simple/src/main/java/demo/org/powermock/examples/simple/Greeter.java,repos/75368166/simple/src/test/java/demo/org/powermock/examples/simple/GreeterTest.java,simple,https://github.com/powermock/powermock-examples-maven,7b57a10b27e174ff99ee3892ea402da8275a8610,15,2,1,3,1.33,4,6,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/75368166,recipe_75368166,logs/build/75368166_20260712_230641_attempt_1.log,0,compiledrepos/75368166/simple/src/main/java/demo/org/powermock/examples/simple/Greeter.java,compiledrepos/75368166/simple/src/test/java/demo/org/powermock/examples/simple/GreeterTest.java
7723306,EzObjectTreeMapDb,TestEzObjectTreeMapDb,repos/7723306/ezdb-treemap/src/main/java/ezdb/treemap/object/EzObjectTreeMapDb.java,repos/7723306/ezdb-treemap/src/test/java/ezdb/treemap/object/TestEzObjectTreeMapDb.java,ezdb-treemap,https://github.com/criccomini/ezdb,d42c1e9c27a84c2d98eaa6be5575ea78e9a703d6,76,3,6,8,1.5,12,8,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/7723306,recipe_7723306,logs/build/7723306_20260712_230641_attempt_1.log,1,compiledrepos/7723306/ezdb-treemap/src/main/java/ezdb/treemap/object/EzObjectTreeMapDb.java,compiledrepos/7723306/ezdb-treemap/src/test/java/ezdb/treemap/object/TestEzObjectTreeMapDb.java
88231534,NoopSpanNameProvider,NoopSpanNameProviderTest,repos/88231534/opentracing-mongo-common/src/main/java/io/opentracing/contrib/mongo/common/providers/NoopSpanNameProvider.java,repos/88231534/opentracing-mongo-common/src/test/java/io/opentracing/contrib/mongo/common/providers/NoopSpanNameProviderTest.java,opentracing-mongo-common,https://github.com/opentracing-contrib/java-mongo-driver,0a9c51bbac105437c13c2b2b609ef6b3610ddeb2,9,3,1,1,3.0,3,7,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/88231534,recipe_88231534,logs/build/88231534_20260712_230641_attempt_1.log,2,compiledrepos/88231534/opentracing-mongo-common/src/main/java/io/opentracing/contrib/mongo/common/providers/NoopSpanNameProvider.java,compiledrepos/88231534/opentracing-mongo-common/src/test/java/io/opentracing/contrib/mongo/common/providers/NoopSpanNameProviderTest.java
88231534,TracingCommandListener,TracingCommandListenerTest,repos/88231534/opentracing-mongo-common/src/main/java/io/opentracing/contrib/mongo/common/TracingCommandListener.java,repos/88231534/opentracing-mongo-common/src/test/java/io/opentracing/contrib/mongo/common/TracingCommandListenerTest.java,opentracing-mongo-common,https://github.com/opentracing-contrib/java-mongo-driver,0a9c51bbac105437c13c2b2b609ef6b3610ddeb2,135,8,12,13,2.23,29,7,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/88231534,recipe_88231534,logs/build/88231534_20260712_230641_attempt_1.log,3,compiledrepos/88231534/opentracing-mongo-common/src/main/java/io/opentracing/contrib/mongo/common/TracingCommandListener.java,compiledrepos/88231534/opentracing-mongo-common/src/test/java/io/opentracing/contrib/mongo/common/TracingCommandListenerTest.java
50552134,SimpleFileScanner,SimpleFileScannerTest,repos/50552134/confucius-commons-lang/src/main/java/org/confucius/commons/lang/io/scanner/SimpleFileScanner.java,repos/50552134/confucius-commons-lang/src/test/java/org/confucius/commons/lang/io/scanner/SimpleFileScannerTest.java,confucius-commons-lang,https://github.com/mercyblitz/confucius-commons,ffbe5331df105c4a95ee2f0b95a4eeb6df6a9caa,36,7,3,3,3.0,9,6,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/50552134,recipe_50552134,logs/build/50552134_20260712_230641_attempt_1.log,4,compiledrepos/50552134/confucius-commons-lang/src/main/java/org/confucius/commons/lang/io/scanner/SimpleFileScanner.java,compiledrepos/50552134/confucius-commons-lang/src/test/java/org/confucius/commons/lang/io/scanner/SimpleFileScannerTest.java
50552134,SimpleJarEntryScanner,SimpleJarEntryScannerTest,repos/50552134/confucius-commons-lang/src/main/java/org/confucius/commons/lang/io/scanner/SimpleJarEntryScanner.java,repos/50552134/confucius-commons-lang/src/test/java/org/confucius/commons/lang/io/scanner/SimpleJarEntryScannerTest.java,confucius-commons-lang,https://github.com/mercyblitz/confucius-commons,ffbe5331df105c4a95ee2f0b95a4eeb6df6a9caa,59,6,5,6,1.83,11,6,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/50552134,recipe_50552134,logs/build/50552134_20260712_230641_attempt_1.log,5,compiledrepos/50552134/confucius-commons-lang/src/main/java/org/confucius/commons/lang/io/scanner/SimpleJarEntryScanner.java,compiledrepos/50552134/confucius-commons-lang/src/test/java/org/confucius/commons/lang/io/scanner/SimpleJarEntryScannerTest.java
58086354,ClientInterceptors,ClientInterceptorsTest,repos/58086354/demo/gRPC/core/src/main/java/io/grpc/ClientInterceptors.java,repos/58086354/demo/gRPC/core/src/test/java/io/grpc/ClientInterceptorsTest.java,demo/gRPC/core,https://github.com/BitTigerInst/miniCassandra,a996a3bc1f21a9bf0a6589d4ba96dfea99a5ff4f,84,2,7,12,1.17,14,8,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/58086354,recipe_58086354,logs/build/58086354_20260712_230641_attempt_1.log,6,compiledrepos/58086354/demo/gRPC/core/src/main/java/io/grpc/ClientInterceptors.java,compiledrepos/58086354/demo/gRPC/core/src/test/java/io/grpc/ClientInterceptorsTest.java
58086354,MessageDeframer,MessageDeframerTest,repos/58086354/demo/gRPC/core/src/main/java/io/grpc/internal/MessageDeframer.java,repos/58086354/demo/gRPC/core/src/test/java/io/grpc/internal/MessageDeframerTest.java,demo/gRPC/core,https://github.com/BitTigerInst/miniCassandra,a996a3bc1f21a9bf0a6589d4ba96dfea99a5ff4f,251,12,12,21,2.43,51,8,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/58086354,recipe_58086354,logs/build/58086354_20260712_230641_attempt_1.log,7,compiledrepos/58086354/demo/gRPC/core/src/main/java/io/grpc/internal/MessageDeframer.java,compiledrepos/58086354/demo/gRPC/core/src/test/java/io/grpc/internal/MessageDeframerTest.java
58086354,Status,StatusTest,repos/58086354/demo/gRPC/core/src/main/java/io/grpc/Status.java,repos/58086354/demo/gRPC/core/src/test/java/io/grpc/StatusTest.java,demo/gRPC/core,https://github.com/BitTigerInst/miniCassandra,a996a3bc1f21a9bf0a6589d4ba96dfea99a5ff4f,224,10,17,25,1.84,46,8,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/58086354,recipe_58086354,logs/build/58086354_20260712_230641_attempt_1.log,8,compiledrepos/58086354/demo/gRPC/core/src/main/java/io/grpc/Status.java,compiledrepos/58086354/demo/gRPC/core/src/test/java/io/grpc/StatusTest.java
6489406,TargetTracker,TargetTrackerTest,repos/6489406/ais-lib-communication/src/main/java/dk/dma/ais/tracker/targetTracker/TargetTracker.java,repos/6489406/ais-lib-communication/src/test/java/dk/dma/ais/tracker/targetTracker/TargetTrackerTest.java,ais-lib-communication,https://github.com/dma-ais/AisLib,7b3429115a3c1a8d52b30298e17e2a4f757dfd72,162,12,15,19,2.42,46,unknown_but_builds_with_jdk8,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/6489406,recipe_6489406,logs/build/6489406_20260712_230641_attempt_1.log,9,compiledrepos/6489406/ais-lib-communication/src/main/java/dk/dma/ais/tracker/targetTracker/TargetTracker.java,compiledrepos/6489406/ais-lib-communication/src/test/java/dk/dma/ais/tracker/targetTracker/TargetTrackerTest.java
