timestamp_utc,model_requested,model_returned,duration_sec,prompt_chars,completion_chars,prompt_tokens,completion_tokens,total_tokens,top_p,max_tokens,status,error_type,error_message
2026-07-17T01:12:30+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,14.019,3939,3046,1077,704,1781,1,2048,OK,,
2026-07-17T01:14:47+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,8.108,4000,2417,928,483,1411,1,2048,OK,,
2026-07-17T01:16:45+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,11.013,6746,3154,1575,632,2207,1,2048,OK,,
2026-07-17T01:17:16+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,13.998,3785,2883,831,616,1447,1,2048,OK,,
2026-07-17T01:19:16+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,16.298,15801,3694,3909,788,4697,1,2048,OK,,
2026-07-17T01:20:05+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,18.129,14314,4012,3386,946,4332,1,2048,OK,,
2026-07-17T01:23:11+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,12.818,13215,3751,3483,800,4283,1,2048,OK,,
2026-07-17T01:23:31+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,12.165,4481,3314,1162,729,1891,1,2048,OK,,
2026-07-17T01:23:50+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,13.371,12590,4361,3369,979,4348,1,2048,OK,,
2026-07-17T01:25:43+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,13.45,5430,3767,1321,818,2139,1,2048,OK,,
2026-07-17T01:27:27+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,16.09,6771,4203,1739,1058,2797,1,2048,OK,,
2026-07-17T01:28:25+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,7.765,2615,2359,576,570,1146,1,2048,OK,,
2026-07-17T01:29:25+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,13.082,3419,4512,727,887,1614,1,2048,OK,,
2026-07-17T01:31:43+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,10.801,2715,3507,638,757,1395,1,2048,OK,,
2026-07-17T01:31:59+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,12.722,4795,3433,1117,773,1890,1,2048,OK,,
2026-07-17T01:35:03+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,17.202,12360,3690,2823,736,3559,1,2048,OK,,
2026-07-17T01:35:24+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,7.573,3047,2473,654,497,1151,1,2048,OK,,
2026-07-17T01:35:56+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,14.763,4900,4029,943,808,1751,1,2048,OK,,
2026-07-17T01:37:46+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,14.147,8131,4200,1783,1040,2823,1,2048,OK,,
2026-07-17T01:38:47+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,11.838,2385,3551,533,684,1217,1,2048,OK,,
2026-07-17T01:40:38+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,14.162,6938,3773,1587,812,2399,1,2048,OK,,
2026-07-17T01:42:45+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,19.077,8653,4819,1844,1013,2857,1,2048,OK,,
2026-07-17T01:47:22+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,20.877,14304,6466,3050,1338,4388,1,2048,OK,,
