timestamp_utc,source,project,module,arm,focal_class,phase,status,category,severity,explanation_vi,suggested_action_vi,detail
2026-07-17T01:15:01+00:00,phase_log,3526892.0,core,,,maven_verify_jacoco_pit,FAIL,project_compilation_error,error,"Project hoặc module Java không compile được khi đo JaCoCo/PIT; đây là lỗi source/dependency/build của repo, không nhất thiết là lỗi GPT.",Xem phase_log.csv để biết file Java và symbol lỗi; cần sửa dependency/source hoặc loại instance khỏi sample nếu precheck không tái lập buildability.,"The following compilation errors were encountered during the Maven build:

- 
- \balanced_delivery\balanced_bundle_300\compiledrepos\3526892\core\src\test\java\com\datascience\executor\ProjectCommandExecutorTest.java:[7,25] error: package org.mockito does not exist
- \balanced_delivery\balanced_bundle_300\compiledrepos\3526892\core\src\test\java\com\datascience\executor\ProjectCommandExecutorTest.java:[19,18] error: cannot find symbol
- \balanced_delivery\balanced_bundle_300\compiledrepos\3526892\core\src\test\java\com\datascience\executor\ProjectCommandExecutorTest.java:[35,8] error: cannot find symbol
- \balanced_delivery\balanced_bundle_300\compiledrepos\3526892\core\src\test\java\com\datascience\executor\ProjectCommandExecutorTest.java:[37,24] error: cannot find symbol
- \balanced_delivery\balanced_bundle_300\compiledrepos\3526892\core\src\test\java\com\datascience\executor\ProjectCommandExecutorTest.java:[42,8] error: cannot find symbol
- \balanced_delivery\balanced_bundle_300\com"
2026-07-17T01:17:03+00:00,phase_log,37489990.0,tomcat-gcp-lib,,,maven_verify_jacoco_pit,FAIL,project_compilation_error,error,"Project hoặc module Java không compile được khi đo JaCoCo/PIT; đây là lỗi source/dependency/build của repo, không nhất thiết là lỗi GPT.",Xem phase_log.csv để biết file Java và symbol lỗi; cần sửa dependency/source hoặc loại instance khỏi sample nếu precheck không tái lập buildability.,"The following compilation errors were encountered during the Maven build:

- 
- D:\balanced_delivery\balanced_bundle_300\compiledrepos\37489990\tomcat-gcp-lib\src\test\java\com\google\cloud\runtimes\tomcat\session\DatastoreManagerTest.java:[38,26] cannot find symbol
- symbol:   method start()
- location: interface org.apache.catalina.Store
- D:\balanced_delivery\balanced_bundle_300\compiledrepos\37489990\tomcat-gcp-lib\src\test\java\com\google\cloud\runtimes\tomcat\session\DatastoreManagerTest.java:[85,46] cannot find symbol
- symbol:   variable Arrays
- location: class com.google.cloud.runtimes.tomcat.session.DatastoreManagerTest
- D:\balanced_delivery\balanced_bundle_300\compiledrepos\37489990\tomcat-gcp-lib\src\test\java\com\google\cloud\runtimes\tomcat\session\DatastoreManagerTest.java:[92,26] cannot find symbol
- symbol:   method stop()
- location: interface org.apache.catalina.Store
- D:\balanced_delivery\balanced_bundle_300\compiledrepos\37489990\tomcat-gcp-lib\src\test\java\com"
2026-07-17T01:17:16+00:00,phase_log,37728390.0,,evosuite,AttributeValue,evosuite_generate,FAIL,unclassified_runtime_issue,warning,Tool ghi nhận lỗi nhưng chưa phân loại được tự động.,Xem detail trong phase_log.csv/runtime_errors.csv để phân tích thủ công.,"* EvoSuite 1.2.0
* Going to generate test cases for class: sim.util.geo.AttributeValue

[MASTER] 08:17:15.553 [main] ERROR ResourceList - Error while reading jar file C:\Users\admin\.m2\repository\javax\media\jai_core\1.1.3\jai_core-1.1.3.jar: error in opening zip file
java.util.zip.ZipException: error in opening zip file
	at java.util.zip.ZipFile.open(Native Method)
	at java.util.zip.ZipFile.<init>(ZipFile.java:225)
	at java.util.zip.ZipFile.<init>(ZipFile.java:155)
	at java.util.jar.JarFile.<init>(JarFile.java:166)
	at java.util.jar.JarFile.<init>(JarFile.java:103)
	at org.evosuite.classpath.ResourceList$Cache.getJar(ResourceList.java:100)
	at org.evosuite.classpath.ResourceList.scanJar(ResourceList.java:564)
	at org.evosuite.classpath.ResourceList.addEntry(ResourceList.java:501)
	at org.evosuite.classpath.ResourceList.initCache(ResourceList.java:477)
	at org.evosuite.classpath.ResourceList.getCache(ResourceList.java:464)
	at org.evosuite.classpath.ResourceList.hasClass(ResourceList."
2026-07-17T01:17:45+00:00,phase_log,37728390.0,contrib/geomason,,,maven_verify_jacoco_pit,FAIL,unclassified_runtime_issue,warning,Tool ghi nhận lỗi nhưng chưa phân loại được tự động.,Xem detail trong phase_log.csv/runtime_errors.csv để phân tích thủ công.,"The following general errors were encountered during the Maven build:

- error reading C:\Users\admin\.m2\repository\javax\media\jai_core\1.1.3\jai_core-1.1.3.jar; error in opening zip file
- error reading C:\Users\admin\.m2\repository\javax\media\jai_core\1.1.3\jai_core-1.1.3.jar; error in opening zip file
- error reading C:\Users\admin\.m2\repository\javax\media\jai_core\1.1.3\jai_core-1.1.3.jar; error in opening zip file
- error reading C:\Users\admin\.m2\repository\javax\media\jai_core\1.1.3\jai_core-1.1.3.jar; error in opening zip file
- Failed to execute goal org.pitest:pitest-maven:1.16.0:mutationCoverage (default-cli) on project geomason: Execution default-cli of goal org.pitest:pitest-maven:1.16.0:mutationCoverage failed: Please check you have correctly installed the pitest plugin for your project's test library (JUnit 5, TestNG, JUnit 4 etc).
- 
- Please copy and paste the information and the complete stacktrace below when reporting an issue
- VM : Java HotSpot(TM) 64-Bit Ser"
2026-07-17T01:19:38+00:00,phase_log,38080174.0,boot-jmx,,,maven_verify_jacoco_pit,FAIL,project_compilation_error,error,"Project hoặc module Java không compile được khi đo JaCoCo/PIT; đây là lỗi source/dependency/build của repo, không nhất thiết là lỗi GPT.",Xem phase_log.csv để biết file Java và symbol lỗi; cần sửa dependency/source hoặc loại instance khỏi sample nếu precheck không tái lập buildability.,"The following compilation errors were encountered during the Maven build:

- 
- /D:/balanced_delivery/balanced_bundle_300/compiledrepos/38080174/boot-jmx/src/test/java/io/datakernel/jmx/JmxRegistryTest.java:[19,26] package org.mockito does not exist
- /D:/balanced_delivery/balanced_bundle_300/compiledrepos/38080174/boot-jmx/src/test/java/io/datakernel/jmx/JmxRegistryTest.java:[32,15] cannot find symbol
- symbol:   method mock(java.lang.Class<javax.management.MBeanServer>)
- location: class io.datakernel.jmx.JmxRegistryTest
- /D:/balanced_delivery/balanced_bundle_300/compiledrepos/38080174/boot-jmx/src/test/java/io/datakernel/jmx/JmxRegistryTest.java:[33,24] cannot find symbol
- symbol:   method mock(java.lang.Class<io.datakernel.jmx.DynamicMBeanFactory>)
- location: class io.datakernel.jmx.JmxRegistryTest
- /D:/balanced_delivery/balanced_bundle_300/compiledrepos/38080174/boot-jmx/src/test/java/io/datakernel/jmx/JmxRegistryTest.java:[37,60] incompatible types: no instance(s) of type var"
2026-07-17T01:20:30+00:00,phase_log,38080174.0,cloud-fs,,,maven_verify_jacoco_pit,FAIL,project_compilation_error,error,"Project hoặc module Java không compile được khi đo JaCoCo/PIT; đây là lỗi source/dependency/build của repo, không nhất thiết là lỗi GPT.",Xem phase_log.csv để biết file Java và symbol lỗi; cần sửa dependency/source hoặc loại instance khỏi sample nếu precheck không tái lập buildability.,"The following compilation errors were encountered during the Maven build:

- 
- /D:/balanced_delivery/balanced_bundle_300/compiledrepos/38080174/cloud-fs/src/test/java/io/datakernel/remotefs/TestCachedFsClient.java:[12,19] package org.mockito does not exist
- /D:/balanced_delivery/balanced_bundle_300/compiledrepos/38080174/cloud-fs/src/test/java/io/datakernel/remotefs/TestCachedFsClient.java:[18,26] package org.mockito does not exist
- /D:/balanced_delivery/balanced_bundle_300/compiledrepos/38080174/cloud-fs/src/test/java/io/datakernel/remotefs/TestCachedFsClient.java:[28,22] cannot find symbol
- symbol:   method mock(java.lang.Class<io.datakernel.remotefs.FsClient>)
- location: class io.datakernel.remotefs.TestCachedFsClient
- /D:/balanced_delivery/balanced_bundle_300/compiledrepos/38080174/cloud-fs/src/test/java/io/datakernel/remotefs/TestCachedFsClient.java:[29,23] cannot find symbol
- symbol:   method mock(java.lang.Class<io.datakernel.remotefs.FsClient>)
- location: class io.datak"
2026-07-17T01:23:31+00:00,phase_log,38080174.0,core-http,,,maven_verify_jacoco_pit,FAIL,project_compilation_error,error,"Project hoặc module Java không compile được khi đo JaCoCo/PIT; đây là lỗi source/dependency/build của repo, không nhất thiết là lỗi GPT.",Xem phase_log.csv để biết file Java và symbol lỗi; cần sửa dependency/source hoặc loại instance khỏi sample nếu precheck không tái lập buildability.,"The following compilation errors were encountered during the Maven build:

- 
- /D:/balanced_delivery/balanced_bundle_300/compiledrepos/38080174/core-http/src/test/java/io/datakernel/http/HttpMessageTest.java:[57,29] constructor HttpHeader in class io.datakernel.http.HttpHeader cannot be applied to given types;
- required: byte[],int,int,byte[],int
- found: java.lang.String
- reason: actual and formal argument lists differ in length
- /D:/balanced_delivery/balanced_bundle_300/compiledrepos/38080174/core-http/src/test/java/io/datakernel/http/HttpMessageTest.java:[65,30] constructor HttpHeader in class io.datakernel.http.HttpHeader cannot be applied to given types;
- required: byte[],int,int,byte[],int
- found: java.lang.String
- reason: actual and formal argument lists differ in length
- /D:/balanced_delivery/balanced_bundle_300/compiledrepos/38080174/core-http/src/test/java/io/datakernel/http/HttpMessageTest.java:[66,30] constructor HttpHeader in class io.datakernel.http.HttpHeader can"
2026-07-17T01:23:50+00:00,phase_log,38080174.0,core-http,,,maven_verify_jacoco_pit,FAIL,project_compilation_error,error,"Project hoặc module Java không compile được khi đo JaCoCo/PIT; đây là lỗi source/dependency/build của repo, không nhất thiết là lỗi GPT.",Xem phase_log.csv để biết file Java và symbol lỗi; cần sửa dependency/source hoặc loại instance khỏi sample nếu precheck không tái lập buildability.,"The following compilation errors were encountered during the Maven build:

- 
- /D:/balanced_delivery/balanced_bundle_300/compiledrepos/38080174/core-http/src/test/java/io/datakernel/http/ContentTypeTest.java:[51,30] cannot find symbol
- symbol:   method allocate(int)
- location: class io.datakernel.bytebuf.ByteBuf
- /D:/balanced_delivery/balanced_bundle_300/compiledrepos/38080174/core-http/src/test/java/io/datakernel/http/ContentTypeTest.java:[61,30] cannot find symbol
- symbol:   method allocate(int)
- location: class io.datakernel.bytebuf.ByteBuf"
2026-07-17T01:24:10+00:00,phase_log,38080174.0,core-http,,,maven_verify_jacoco_pit,FAIL,project_compilation_error,error,"Project hoặc module Java không compile được khi đo JaCoCo/PIT; đây là lỗi source/dependency/build của repo, không nhất thiết là lỗi GPT.",Xem phase_log.csv để biết file Java và symbol lỗi; cần sửa dependency/source hoặc loại instance khỏi sample nếu precheck không tái lập buildability.,"The following compilation errors were encountered during the Maven build:

- 
- /D:/balanced_delivery/balanced_bundle_300/compiledrepos/38080174/core-http/src/test/java/io/datakernel/http/HttpCookieTest.java:[136,30] cannot find symbol
- symbol:   method allocate(int)
- location: class io.datakernel.bytebuf.ByteBuf"
2026-07-17T01:26:01+00:00,phase_log,38080174.0,uikernel,,,maven_verify_jacoco_pit,FAIL,project_compilation_error,error,"Project hoặc module Java không compile được khi đo JaCoCo/PIT; đây là lỗi source/dependency/build của repo, không nhất thiết là lỗi GPT.",Xem phase_log.csv để biết file Java và symbol lỗi; cần sửa dependency/source hoặc loại instance khỏi sample nếu precheck không tái lập buildability.,"The following compilation errors were encountered during the Maven build:

- 
- /D:/balanced_delivery/balanced_bundle_300/compiledrepos/38080174/uikernel/src/test/java/io/datakernel/uikernel/ReadSettingsTest.java:[23,19] constructor HttpRequest in class io.datakernel.http.HttpRequest cannot be applied to given types;
- required: io.datakernel.http.HttpMethod,io.datakernel.http.UrlParser
- found: no arguments
- reason: actual and formal argument lists differ in length
- /D:/balanced_delivery/balanced_bundle_300/compiledrepos/38080174/uikernel/src/test/java/io/datakernel/uikernel/ReadSettingsTest.java:[28,16] cannot find symbol
- symbol:   method setQueryParameter(java.lang.String,java.lang.String)
- location: variable request of type io.datakernel.http.HttpRequest
- /D:/balanced_delivery/balanced_bundle_300/compiledrepos/38080174/uikernel/src/test/java/io/datakernel/uikernel/ReadSettingsTest.java:[29,16] cannot find symbol
- symbol:   method setQueryParameter(java.lang.String,java.lang."
