source_sample,run_mode,source_row_index,project,module,focal_class,test_class,id_focal_class,arm,generator,prompt_technique,fairness_policy,generated_test_file,generated_test_file_exists,failure_markers,baseline_build_status,baseline_build_detail,compilation,branch_coverage_compiled_only,line_coverage_compiled_only,method_coverage_compiled_only,mutation_score_compiled_only,branch_coverage_strict_zero_fill,line_coverage_strict_zero_fill,method_coverage_strict_zero_fill,mutation_score_strict_zero_fill,fail_stage
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,0,75368166,simple,Greeter,GreeterTest,75368166_Greeter,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/75368166/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_GreeterTest.java,0,,PASS,requested=1.6 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,0,75368166,simple,Greeter,GreeterTest,75368166_Greeter,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/75368166/response_evosuite_GreeterTest.java,0,,PASS,requested=1.6 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,1,7723306,ezdb-treemap,EzObjectTreeMapDb,TestEzObjectTreeMapDb,7723306_EzObjectTreeMapDb,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/7723306/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_TestEzObjectTreeMapDb.java,0,,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,1,7723306,ezdb-treemap,EzObjectTreeMapDb,TestEzObjectTreeMapDb,7723306_EzObjectTreeMapDb,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/7723306/response_evosuite_TestEzObjectTreeMapDb.java,0,,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,2,88231534,opentracing-mongo-common,NoopSpanNameProvider,NoopSpanNameProviderTest,88231534_NoopSpanNameProvider,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/88231534/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_NoopSpanNameProviderTest.java,0,,PASS,requested=1.7 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,2,88231534,opentracing-mongo-common,NoopSpanNameProvider,NoopSpanNameProviderTest,88231534_NoopSpanNameProvider,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/88231534/response_evosuite_NoopSpanNameProviderTest.java,0,,PASS,requested=1.7 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,3,88231534,opentracing-mongo-common,TracingCommandListener,TracingCommandListenerTest,88231534_TracingCommandListener,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/88231534/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_TracingCommandListenerTest.java,0,,PASS,requested=1.7 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,3,88231534,opentracing-mongo-common,TracingCommandListener,TracingCommandListenerTest,88231534_TracingCommandListener,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/88231534/response_evosuite_TracingCommandListenerTest.java,0,,PASS,requested=1.7 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,4,50552134,confucius-commons-lang,SimpleFileScanner,SimpleFileScannerTest,50552134_SimpleFileScanner,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/50552134/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_SimpleFileScannerTest.java,1,output/50552134/TestClasses_50552134_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,PASS,requested=1.6 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,compilation_or_metric_failure
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,4,50552134,confucius-commons-lang,SimpleFileScanner,SimpleFileScannerTest,50552134_SimpleFileScanner,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/50552134/response_evosuite_SimpleFileScannerTest.java,1,,PASS,requested=1.6 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,1,16.67,66.67,100.0,14.29,16.67,66.67,100.0,14.29,ok
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,5,50552134,confucius-commons-lang,SimpleJarEntryScanner,SimpleJarEntryScannerTest,50552134_SimpleJarEntryScanner,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/50552134/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_SimpleJarEntryScannerTest.java,1,output/50552134/TestClasses_50552134_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,PASS,requested=1.6 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,compilation_or_metric_failure
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,5,50552134,confucius-commons-lang,SimpleJarEntryScanner,SimpleJarEntryScannerTest,50552134_SimpleJarEntryScanner,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/50552134/response_evosuite_SimpleJarEntryScannerTest.java,1,,PASS,requested=1.6 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,1,8.33,36.0,71.43,0.0,8.33,36.0,71.43,0.0,ok
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,6,58086354,demo/gRPC/core,ClientInterceptors,ClientInterceptorsTest,58086354_ClientInterceptors,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/58086354/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_ClientInterceptorsTest.java,0,,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,6,58086354,demo/gRPC/core,ClientInterceptors,ClientInterceptorsTest,58086354_ClientInterceptors,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/58086354/response_evosuite_ClientInterceptorsTest.java,0,,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,7,58086354,demo/gRPC/core,MessageDeframer,MessageDeframerTest,58086354_MessageDeframer,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/58086354/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_MessageDeframerTest.java,0,,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,7,58086354,demo/gRPC/core,MessageDeframer,MessageDeframerTest,58086354_MessageDeframer,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/58086354/response_evosuite_MessageDeframerTest.java,0,,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,8,58086354,demo/gRPC/core,Status,StatusTest,58086354_Status,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/58086354/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_StatusTest.java,0,,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,8,58086354,demo/gRPC/core,Status,StatusTest,58086354_Status,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/58086354/response_evosuite_StatusTest.java,0,,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,9,6489406,ais-lib-communication,TargetTracker,TargetTrackerTest,6489406_TargetTracker,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/6489406/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_TargetTrackerTest.java,0,output/6489406/TestClasses_6489406_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,generation_or_build_failed_marker
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,9,6489406,ais-lib-communication,TargetTracker,TargetTrackerTest,6489406_TargetTracker,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/6489406/response_evosuite_TargetTrackerTest.java,0,,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,10,6489406,ais-lib-communication,Track,TrackTest,6489406_Track,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/6489406/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_TrackTest.java,0,output/6489406/TestClasses_6489406_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,generation_or_build_failed_marker
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,10,6489406,ais-lib-communication,Track,TrackTest,6489406_Track,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/6489406/response_evosuite_TrackTest.java,0,,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,11,6489406,ais-lib-communication,EventEmittingTrackerImpl,EventEmittingTrackerImplTest,6489406_EventEmittingTrackerImpl,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/6489406/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_EventEmittingTrackerImplTest.java,0,output/6489406/TestClasses_6489406_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,generation_or_build_failed_marker
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,11,6489406,ais-lib-communication,EventEmittingTrackerImpl,EventEmittingTrackerImplTest,6489406_EventEmittingTrackerImpl,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/6489406/response_evosuite_EventEmittingTrackerImplTest.java,0,,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,missing_output
