timestamp_utc,phase,project,module,arm,focal_class,test_class,status,duration_sec,detail
2026-07-17T01:08:03+00:00,run,,,,,,START,,Experiment runner started
2026-07-17T01:08:03+00:00,precheck,,,,,,START,,Loading pilot_60_classes.csv
2026-07-17T01:08:03+00:00,precheck,,,,,,PASS,,Buildable rows: 60; skipped rows: 0
2026-07-17T01:08:06+00:00,baseline_build,,,,,,START,,Checking clean build before GPT/EvoSuite generation
2026-07-17T01:08:06+00:00,baseline_build,35132359,hapi-fhir-base,,UrlUtil,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:08:06+00:00,baseline_build,3526892,core,,ProjectCommandExecutor,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:08:15+00:00,baseline_build,3526892,core,,ProjectCommandExecutor,,PASS,8.18,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:08:15+00:00,baseline_build,37489990,tomcat-gcp-lib,,DatastoreManager,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:08:16+00:00,baseline_build,35132359,hapi-fhir-base,,UrlUtil,,PASS,9.067,requested=1.6 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:08:16+00:00,baseline_build,37728390,__project_prepare__,,AttributeValue,,START,,Preparing Maven/Gradle reactor before module builds (Maven)
2026-07-17T01:08:17+00:00,baseline_build,37728390,__local_maven_repair__,,,,START,,Installing local Maven repair artifacts/modules
2026-07-17T01:08:23+00:00,baseline_build,37489990,tomcat-gcp-lib,,DatastoreManager,,PASS,7.93,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:08:23+00:00,baseline_build,38080174,boot-jmx,,JmxRegistry,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:08:27+00:00,baseline_build,37728390,__local_maven_repair__,,,,PASS,10.252,Local Maven repair completed
2026-07-17T01:08:29+00:00,baseline_build,37728390,__project_prepare__,,,,PASS,13.218,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172; Local Maven repair completed
2026-07-17T01:08:29+00:00,baseline_build,37728390,contrib/geomason,,AttributeValue,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:08:30+00:00,baseline_build,38080174,boot-jmx,,JmxRegistry,,PASS,7.8,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:08:30+00:00,baseline_build,38080174,cloud-fs,,CachedFsClient,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:08:37+00:00,baseline_build,38080174,cloud-fs,,CachedFsClient,,PASS,6.61,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:08:37+00:00,baseline_build,38080174,core-http,,HttpMessage;ContentType;HttpCookie,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:08:40+00:00,baseline_build,37728390,contrib/geomason,,AttributeValue,,PASS,10.856,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:08:40+00:00,baseline_build,39770930,proxy,,JsonWireUtils,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:08:44+00:00,baseline_build,38080174,core-http,,HttpMessage;ContentType;HttpCookie,,PASS,7.251,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:08:44+00:00,baseline_build,38080174,uikernel,,ReadSettings,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:08:47+00:00,baseline_build,39770930,proxy,,JsonWireUtils,,PASS,7.551,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:08:47+00:00,baseline_build,49126308,db-scroll-elastic,,ElasticScroll,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:08:51+00:00,baseline_build,38080174,uikernel,,ReadSettings,,PASS,6.414,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:08:51+00:00,baseline_build,38080174,util-common,,Utils,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:08:57+00:00,baseline_build,49126308,db-scroll-elastic,,ElasticScroll,,PASS,9.975,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:08:57+00:00,baseline_build,50552134,confucius-commons-lang,,SimpleFileScanner;SimpleJarEntryScanner,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:08:58+00:00,baseline_build,38080174,util-common,,Utils,,PASS,7.154,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:08:58+00:00,baseline_build,5093728,core,,FeatureContext;AnnotationRetriever,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:09:03+00:00,baseline_build,50552134,confucius-commons-lang,,SimpleFileScanner;SimpleJarEntryScanner,,PASS,5.753,requested=1.6 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:09:03+00:00,baseline_build,5175291,airship-coordinator,,AdminResource,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:09:03+00:00,baseline_build,5093728,core,,FeatureContext;AnnotationRetriever,,PASS,5.154,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:09:03+00:00,baseline_build,54231507,core,,UnhandledAlertHandlingWebDriver,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:09:09+00:00,baseline_build,54231507,core,,UnhandledAlertHandlingWebDriver,,PASS,6.456,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:09:09+00:00,baseline_build,54620819,mvn-golang-wrapper,,PackageList,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:09:15+00:00,baseline_build,5175291,airship-coordinator,,AdminResource,,PASS,12.499,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:09:15+00:00,baseline_build,5175291,airship-shared,,MavenCoordinates,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:09:18+00:00,baseline_build,54620819,mvn-golang-wrapper,,PackageList,,PASS,8.901,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:09:18+00:00,baseline_build,56342003,kangaroo-common,,RequestUtil,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:09:24+00:00,baseline_build,5175291,airship-shared,,MavenCoordinates,,PASS,8.246,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:09:24+00:00,baseline_build,57251243,wingtips-servlet-api,,WingtipsRequestSpanCompletionAsyncListener,,START,,Checking clean project/module build before generation (Gradle)
2026-07-17T01:09:30+00:00,baseline_build,56342003,kangaroo-common,,RequestUtil,,PASS,11.815,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:09:30+00:00,baseline_build,56342003,kangaroo-server-authz,,AbstractService;ValidationUtil,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:09:31+00:00,baseline_build,57251243,wingtips-servlet-api,,WingtipsRequestSpanCompletionAsyncListener,,PASS,7.287,requested=1.7 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:09:31+00:00,baseline_build,57251243,wingtips-zipkin2,,WingtipsToZipkinSpanConverterDefaultImpl,,START,,Checking clean project/module build before generation (Gradle)
2026-07-17T01:09:38+00:00,baseline_build,57251243,wingtips-zipkin2,,WingtipsToZipkinSpanConverterDefaultImpl,,PASS,6.567,requested=1.7 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:09:38+00:00,baseline_build,5745625,tape,,ObjectQueue,,START,,Checking clean project/module build before generation (Gradle)
2026-07-17T01:09:43+00:00,baseline_build,56342003,kangaroo-server-authz,,AbstractService;ValidationUtil,,PASS,12.468,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:09:43+00:00,baseline_build,58086354,demo/gRPC/core,,ClientInterceptors;MessageDeframer;Status,,START,,Checking clean project/module build before generation (Gradle)
2026-07-17T01:09:48+00:00,baseline_build,5745625,tape,,ObjectQueue,,PASS,10.425,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:09:48+00:00,baseline_build,58767125,ch.obermuhlner.math.big,,DefaultBigDecimalMath,,START,,Checking clean project/module build before generation (Gradle)
2026-07-17T01:09:50+00:00,baseline_build,58767125,__local_gradle_repair__,,,,START,,Applying local Gradle repair patches
2026-07-17T01:09:50+00:00,baseline_build,58767125,__local_gradle_repair__,,,,PASS,0.001,Local Gradle repair applied
2026-07-17T01:09:59+00:00,baseline_build,58767125,ch.obermuhlner.math.big,,DefaultBigDecimalMath,,PASS,11.276,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:09:59+00:00,baseline_build,6489406,ais-lib-communication,,TargetTracker;Track;EventEmittingTrackerImpl,,START,,Checking clean project/module build before generation (Maven)
