Project,Focal_Class,Test_Class,Focal_Path,Test_Path,Module
75368166,Greeter,GreeterTest,repos/75368166/simple/src/main/java/demo/org/powermock/examples/simple/Greeter.java,repos/75368166/simple/src/test/java/demo/org/powermock/examples/simple/GreeterTest.java,simple
7723306,EzObjectTreeMapDb,TestEzObjectTreeMapDb,repos/7723306/ezdb-treemap/src/main/java/ezdb/treemap/object/EzObjectTreeMapDb.java,repos/7723306/ezdb-treemap/src/test/java/ezdb/treemap/object/TestEzObjectTreeMapDb.java,ezdb-treemap
88231534,NoopSpanNameProvider,NoopSpanNameProviderTest,repos/88231534/opentracing-mongo-common/src/main/java/io/opentracing/contrib/mongo/common/providers/NoopSpanNameProvider.java,repos/88231534/opentracing-mongo-common/src/test/java/io/opentracing/contrib/mongo/common/providers/NoopSpanNameProviderTest.java,opentracing-mongo-common
88231534,TracingCommandListener,TracingCommandListenerTest,repos/88231534/opentracing-mongo-common/src/main/java/io/opentracing/contrib/mongo/common/TracingCommandListener.java,repos/88231534/opentracing-mongo-common/src/test/java/io/opentracing/contrib/mongo/common/TracingCommandListenerTest.java,opentracing-mongo-common
50552134,SimpleFileScanner,SimpleFileScannerTest,repos/50552134/confucius-commons-lang/src/main/java/org/confucius/commons/lang/io/scanner/SimpleFileScanner.java,repos/50552134/confucius-commons-lang/src/test/java/org/confucius/commons/lang/io/scanner/SimpleFileScannerTest.java,confucius-commons-lang
50552134,SimpleJarEntryScanner,SimpleJarEntryScannerTest,repos/50552134/confucius-commons-lang/src/main/java/org/confucius/commons/lang/io/scanner/SimpleJarEntryScanner.java,repos/50552134/confucius-commons-lang/src/test/java/org/confucius/commons/lang/io/scanner/SimpleJarEntryScannerTest.java,confucius-commons-lang
58086354,ClientInterceptors,ClientInterceptorsTest,repos/58086354/demo/gRPC/core/src/main/java/io/grpc/ClientInterceptors.java,repos/58086354/demo/gRPC/core/src/test/java/io/grpc/ClientInterceptorsTest.java,demo/gRPC/core
58086354,MessageDeframer,MessageDeframerTest,repos/58086354/demo/gRPC/core/src/main/java/io/grpc/internal/MessageDeframer.java,repos/58086354/demo/gRPC/core/src/test/java/io/grpc/internal/MessageDeframerTest.java,demo/gRPC/core
58086354,Status,StatusTest,repos/58086354/demo/gRPC/core/src/main/java/io/grpc/Status.java,repos/58086354/demo/gRPC/core/src/test/java/io/grpc/StatusTest.java,demo/gRPC/core
6489406,TargetTracker,TargetTrackerTest,repos/6489406/ais-lib-communication/src/main/java/dk/dma/ais/tracker/targetTracker/TargetTracker.java,repos/6489406/ais-lib-communication/src/test/java/dk/dma/ais/tracker/targetTracker/TargetTrackerTest.java,ais-lib-communication
