Project,Cyclomatic_Complexity,Lines_Of_Code,Generator(LLM/EVOSUITE),Prompt_Technique,Compilation%,Branch_Coverage%,Line_Coverage%,Method_Coverage%,Mutation_Coverage%,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
54620819,-,-,evosuite,-,100.0,88.75,88.81,95.24,27.67,20.5,0.0,0.0,0.0,0.0,0.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,0.0,0.0,0.0,0.0,20.5,0.0
50552134,-,-,evosuite,-,100.0,19.44,47.56,80.95,8.47,2.33,0.0,0.0,0.0,0.0,0.0,2.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.0,0.0,1.0,2.33,0.0
50552134,-,-,gpt-4o-mini-2024-07-18,rbl4-zero-shot,33.33,91.67,90.0,100.0,77.78,8.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0
3526892,-,-,evosuite,-,100.0,41.67,57.14,81.82,8.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
38080174,-,-,evosuite,-,100.0,9.23,13.03,29.49,4.46,5.67,0.0,0.0,0.0,0.0,0.17,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67,6.67,0.0,0.17,0.0,0.0,5.67,0.0
49126308,-,-,evosuite,-,100.0,0.0,2.44,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35132359,-,-,evosuite,-,100.0,98.0,91.53,100.0,8.11,27.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,27.0,0.0
35132359,-,-,gpt-4o-mini-2024-07-18,rbl4-zero-shot,100.0,68.0,64.41,85.71,21.62,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0
37489990,-,-,evosuite,-,100.0,58.03,33.67,73.34,1.93,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,5.5,0.0,0.0,0.0,0.0,9.0,0.0
39770930,-,-,evosuite,-,100.0,100.0,62.5,75.0,6.25,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0
39770930,-,-,gpt-4o-mini-2024-07-18,rbl4-zero-shot,100.0,75.0,81.25,100.0,62.5,7.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
