timestamp_utc,phase,project,module,arm,focal_class,test_class,status,duration_sec,detail
2026-07-17T01:49:21+00:00,run,,,,,,START,,Experiment runner started
2026-07-17T01:49:22+00:00,precheck,,,,,,START,,Loading pilot_60_classes.csv
2026-07-17T01:49:22+00:00,precheck,,,,,,PASS,,Buildable rows: 60; skipped rows: 0
2026-07-17T01:49:25+00:00,baseline_build,,,,,,START,,Checking clean build before GPT/EvoSuite generation
2026-07-17T01:49:25+00:00,baseline_build,35132359,hapi-fhir-base,,UrlUtil,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:49:25+00:00,baseline_build,3526892,core,,ProjectCommandExecutor,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:49:38+00:00,baseline_build,3526892,core,,ProjectCommandExecutor,,PASS,12.845,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:49:38+00:00,baseline_build,35132359,hapi-fhir-base,,UrlUtil,,PASS,12.85,requested=1.6 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:49:38+00:00,baseline_build,37489990,tomcat-gcp-lib,,DatastoreManager,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:49:38+00:00,baseline_build,37728390,__project_prepare__,,AttributeValue,,START,,Preparing Maven/Gradle reactor before module builds (Maven)
2026-07-17T01:49:40+00:00,baseline_build,37728390,__local_maven_repair__,,,,START,,Installing local Maven repair artifacts/modules
2026-07-17T01:49:51+00:00,baseline_build,37489990,tomcat-gcp-lib,,DatastoreManager,,PASS,12.2,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:49:51+00:00,baseline_build,38080174,boot-jmx,,JmxRegistry,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:49:56+00:00,baseline_build,37728390,__local_maven_repair__,,,,PASS,15.171,Local Maven repair completed
2026-07-17T01:49:58+00:00,baseline_build,37728390,__project_prepare__,,,,PASS,19.316,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172; Local Maven repair completed
2026-07-17T01:49:58+00:00,baseline_build,37728390,contrib/geomason,,AttributeValue,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:50:01+00:00,baseline_build,38080174,boot-jmx,,JmxRegistry,,PASS,10.591,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:50:01+00:00,baseline_build,38080174,cloud-fs,,CachedFsClient,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:50:13+00:00,baseline_build,38080174,cloud-fs,,CachedFsClient,,PASS,12.114,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:50:13+00:00,baseline_build,38080174,core-http,,HttpMessage;ContentType;HttpCookie,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:50:27+00:00,baseline_build,38080174,core-http,,HttpMessage;ContentType;HttpCookie,,PASS,13.281,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:50:27+00:00,baseline_build,38080174,uikernel,,ReadSettings,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:50:27+00:00,baseline_build,37728390,contrib/geomason,,AttributeValue,,PASS,29.134,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:50:27+00:00,baseline_build,39770930,proxy,,JsonWireUtils,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:50:37+00:00,baseline_build,38080174,uikernel,,ReadSettings,,PASS,10.293,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:50:37+00:00,baseline_build,38080174,util-common,,Utils,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:50:39+00:00,baseline_build,39770930,proxy,,JsonWireUtils,,PASS,12.508,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:50:39+00:00,baseline_build,49126308,db-scroll-elastic,,ElasticScroll,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T01:50:46+00:00,baseline_build,38080174,util-common,,Utils,,PASS,9.118,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172
2026-07-17T01:50:46+00:00,baseline_build,50552134,confucius-commons-lang,,SimpleFileScanner;SimpleJarEntryScanner,,START,,Checking clean project/module build before generation (Maven)
