sample_index,class_key,project,repo_id,focal_class,focal_path,module,scope_key,build_tool,java_version,complexity_half,nloc,token_count,method_count,public_method_count,max_method_cc,sum_method_cc,avg_method_cc,selection_rank_in_repo,original_manifest_index,split_name,arm,generator,prompt,compilation,fail_stage,branch_coverage,line_coverage,method_coverage,mutation_coverage,strict_branch_coverage,strict_line_coverage,strict_method_coverage,strict_mutation_coverage
0,3713233:core/src/main/java/org/junithelper/core/file/filesearcherfactory.java,3713233,3713233,FileSearcherFactory,core/src/main/java/org/junithelper/core/file/FileSearcherFactory.java,core,maven:core,Maven,1.6,lower_complexity_half,8,34,2,1,1,2,1.0,4,8,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,1,ok,,100.0,100.0,100.0,0.0,100.0,100.0,100.0
0,3713233:core/src/main/java/org/junithelper/core/file/filesearcherfactory.java,3713233,3713233,FileSearcherFactory,core/src/main/java/org/junithelper/core/file/FileSearcherFactory.java,core,maven:core,Maven,1.6,lower_complexity_half,8,34,2,1,1,2,1.0,4,8,pilot60,evosuite,evosuite,-,1,ok,,100.0,100.0,0.0,0.0,100.0,100.0,0.0
1,3713233:core/src/main/java/org/junithelper/core/extractor/constructormetaextractor.java,3713233,3713233,ConstructorMetaExtractor,core/src/main/java/org/junithelper/core/extractor/ConstructorMetaExtractor.java,core,maven:core,Maven,1.6,higher_complexity_half,131,1108,6,3,13,23,3.8333333333333335,1,279,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,1,ok,35.29,48.81,100.0,11.54,35.29,48.81,100.0,11.54
1,3713233:core/src/main/java/org/junithelper/core/extractor/constructormetaextractor.java,3713233,3713233,ConstructorMetaExtractor,core/src/main/java/org/junithelper/core/extractor/ConstructorMetaExtractor.java,core,maven:core,Maven,1.6,higher_complexity_half,131,1108,6,3,13,23,3.8333333333333335,1,279,pilot60,evosuite,evosuite,-,1,ok,32.35,47.62,100.0,11.54,32.35,47.62,100.0,11.54
2,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/scheduler/quartzjob.java,3847504,3847504,QuartzJob,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/scheduler/QuartzJob.java,modules/weblounge-common,maven:modules/weblounge-common,Maven,1.7,higher_complexity_half,224,1702,26,24,9,49,1.8846153846153846,1,257,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0
2,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/scheduler/quartzjob.java,3847504,3847504,QuartzJob,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/scheduler/QuartzJob.java,modules/weblounge-common,maven:modules/weblounge-common,Maven,1.7,higher_complexity_half,224,1702,26,24,9,49,1.8846153846153846,1,257,pilot60,evosuite,evosuite,-,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0
3,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/pageimpl.java,3847504,3847504,PageImpl,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/PageImpl.java,modules/weblounge-common,maven:modules/weblounge-common,Maven,1.7,higher_complexity_half,266,2106,23,19,17,68,2.9565217391304346,2,290,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0
3,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/pageimpl.java,3847504,3847504,PageImpl,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/PageImpl.java,modules/weblounge-common,maven:modules/weblounge-common,Maven,1.7,higher_complexity_half,266,2106,23,19,17,68,2.9565217391304346,2,290,pilot60,evosuite,evosuite,-,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0
4,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/missingtranslationscheck.java,39195736,39195736,MissingTranslationsCheck,jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/MissingTranslationsCheck.java,jproperties-checks,maven:jproperties-checks,Maven,1.8,lower_complexity_half,37,296,3,3,1,3,1.0,1,16,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0
4,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/missingtranslationscheck.java,39195736,39195736,MissingTranslationsCheck,jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/MissingTranslationsCheck.java,jproperties-checks,maven:jproperties-checks,Maven,1.8,lower_complexity_half,37,296,3,3,1,3,1.0,1,16,pilot60,evosuite,evosuite,-,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0
