sample_index,project,build_tool,scope_key,module,focal_class,evosuite,gpt,arm_status,evosuite_owner_from_metrics,gpt_owner_from_metrics,error_rows,failure_owners_from_error_summary,categories,primary_from_error_summary,primary_failure_owner
0,3713233,Maven,maven:core,core,FileSearcherFactory,ok,ok,both_ok,ok,ok,0,,,,ok
1,3713233,Maven,maven:core,core,ConstructorMetaExtractor,ok,ok,both_ok,ok,ok,0,,,,ok
2,3847504,Maven,maven:modules/weblounge-common,modules/weblounge-common,QuartzJob,maven_reactor_prewarm_failed,maven_reactor_prewarm_failed,both_fail,agonetest_harness,agonetest_harness,2,agonetest_harness,maven_reactor_prewarm_failed;unclassified_runtime_issue,agonetest_harness,agonetest_harness
3,3847504,Maven,maven:modules/weblounge-common,modules/weblounge-common,PageImpl,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,1,generator_output,generated_test_compile_failed,generator_output,generator_output
4,39195736,Maven,maven:jproperties-checks,jproperties-checks,MissingTranslationsCheck,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,1,generator_output,generated_test_compile_failed,generator_output,generator_output
5,39195736,Maven,maven:jproperties-checks,jproperties-checks,SeparatorConventionCheck,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,1,generator_output,generated_test_compile_failed,generator_output,generator_output
6,41547678,Maven,maven:turin-standard-library,turin-standard-library,Context,ok,ok,both_ok,ok,ok,0,,,,ok
7,41547678,Maven,maven:turin-compiler,turin-compiler,SrcSymbolResolver,ok,missing_or_failed_output,gpt_fail_only,ok,agonetest_harness,1,generator_output,generated_test_compile_failed,generator_output,generator_output
8,41627638,Gradle,gradle:leetcode/battleships-in-a-board,leetcode/battleships-in-a-board,Solution,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,1,agonetest_harness,gradle_build_failed,agonetest_harness,agonetest_harness
9,41627638,Gradle,gradle:leetcode/battleships-in-a-board,leetcode/battleships-in-a-board,Solution,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,1,agonetest_harness,gradle_build_failed,agonetest_harness,agonetest_harness
10,43105609,Maven,maven:weixin-mp,weixin-mp,CareMessages,ok,missing_or_failed_output,gpt_fail_only,ok,agonetest_harness,1,generator_output,generated_test_compile_failed,generator_output,generator_output
11,43105609,Maven,maven:weixin-mp,weixin-mp,Materials,ok,missing_or_failed_output,gpt_fail_only,ok,agonetest_harness,1,generator_output,generated_test_compile_failed,generator_output,generator_output
12,44308560,Maven,maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions,src/RobotFrameworkCore/org.robotframework.ide.core-functions,ArgumentsFile,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,2,generator_output,generated_test_compile_failed,generator_output,generator_output
13,44308560,Maven,maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions,src/RobotFrameworkCore/org.robotframework.ide.core-functions,StackFrameVariables,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,2,generator_output,generated_test_compile_failed,generator_output,generator_output
14,45997449,Maven,maven:WebRex,WebRex,ResourceWrapper,ok,missing_or_failed_output,gpt_fail_only,ok,agonetest_harness,1,generator_output,generated_test_compile_failed,generator_output,generator_output
15,45997449,Maven,maven:WebRex,WebRex,ResourceELEvaluator,ok,missing_or_failed_output,gpt_fail_only,ok,agonetest_harness,1,generator_output,generated_test_compile_failed,generator_output,generator_output
16,46396068,Maven,maven:hbase0.98/hbase-common-0.98,hbase0.98/hbase-common-0.98,AlertSender,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,0,,,,agonetest_harness
17,46396068,Maven,maven:hbase0.98/hbase-manager-0.98,hbase0.98/hbase-manager-0.98,MC,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,2,repository_or_environment,project_dependency_resolution_error,repository_or_environment,repository_or_environment
18,46450575,Maven,maven:flo-workflow,flo-workflow,AsyncContext,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,2,generator_output,unclassified_runtime_issue,generator_output,generator_output
19,46450575,Maven,maven:flo-workflow,flo-workflow,TaskIds,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,2,generator_output,unclassified_runtime_issue,generator_output,generator_output
20,48046454,Maven,maven:hazelcast-jet-core,hazelcast-jet-core,JetClientInstanceImpl,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,1,generator_output,generated_test_compile_failed,generator_output,generator_output
21,48046454,Maven,maven:hazelcast-jet-core,hazelcast-jet-core,SkewReductionPolicy,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,1,generator_output,generated_test_compile_failed,generator_output,generator_output
22,49384652,Maven,maven:niubi-job-framework/niubi-job-core,niubi-job-framework/niubi-job-core,ObjectHelper,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,1,generator_output,generated_test_compile_failed,generator_output,generator_output
23,49384652,Maven,maven:niubi-job-framework/niubi-job-service,niubi-job-framework/niubi-job-service,StandbyJobServiceImpl,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,1,generator_output,generated_test_compile_failed,generator_output,generator_output
24,558963,Maven,maven:httpcache4j-api,httpcache4j-api,Header,ok,missing_or_failed_output,gpt_fail_only,ok,agonetest_harness,1,generator_output,generated_test_compile_failed,generator_output,generator_output
25,558963,Maven,maven:httpcache4j-api,httpcache4j-api,Status,ok,ok,both_ok,ok,ok,0,,,,ok
26,60578004,Maven,maven:elastic-jobx-core,elastic-jobx-core,JobExecutionMultipleShardingContext,ok,ok,both_ok,ok,ok,0,,,,ok
27,60578004,Maven,maven:elastic-jobx-core,elastic-jobx-core,ServerService,ok,missing_or_failed_output,gpt_fail_only,ok,agonetest_harness,1,generator_output,generated_test_compile_failed,generator_output,generator_output
28,61565876,Maven,maven:injector,injector,TypeSafeAnnotationHandler,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,2,agonetest_harness;generator_output,unclassified_runtime_issue;generated_test_compile_failed,agonetest_harness,agonetest_harness
29,61565876,Maven,maven:injector,injector,InjectorUtils,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,2,agonetest_harness,unclassified_runtime_issue,agonetest_harness,agonetest_harness
