sample_index,project,build_tool,scope_key,module,focal_class,evosuite,gpt,evosuite_owner,gpt_owner,class_status,primary_failure_owner
0,3713233,Maven,maven:core,core,FileSearcherFactory,ok,ok,ok,ok,both_ok,ok
1,3713233,Maven,maven:core,core,ConstructorMetaExtractor,ok,ok,ok,ok,both_ok,ok
10,43105609,Maven,maven:weixin-mp,weixin-mp,CareMessages,ok,missing_or_failed_output,ok,agonetest_harness,gpt_fail_only,agonetest_harness
11,43105609,Maven,maven:weixin-mp,weixin-mp,Materials,ok,missing_or_failed_output,ok,agonetest_harness,gpt_fail_only,agonetest_harness
12,44308560,Maven,maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions,src/RobotFrameworkCore/org.robotframework.ide.core-functions,ArgumentsFile,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
13,44308560,Maven,maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions,src/RobotFrameworkCore/org.robotframework.ide.core-functions,StackFrameVariables,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
14,45997449,Maven,maven:WebRex,WebRex,ResourceWrapper,ok,missing_or_failed_output,ok,agonetest_harness,gpt_fail_only,agonetest_harness
15,45997449,Maven,maven:WebRex,WebRex,ResourceELEvaluator,ok,missing_or_failed_output,ok,agonetest_harness,gpt_fail_only,agonetest_harness
16,46396068,Maven,maven:hbase0.98/hbase-common-0.98,hbase0.98/hbase-common-0.98,AlertSender,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
17,46396068,Maven,maven:hbase0.98/hbase-manager-0.98,hbase0.98/hbase-manager-0.98,MC,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
18,46450575,Maven,maven:flo-workflow,flo-workflow,AsyncContext,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
19,46450575,Maven,maven:flo-workflow,flo-workflow,TaskIds,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
2,3847504,Maven,maven:modules/weblounge-common,modules/weblounge-common,QuartzJob,maven_reactor_prewarm_failed,maven_reactor_prewarm_failed,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
20,48046454,Maven,maven:hazelcast-jet-core,hazelcast-jet-core,JetClientInstanceImpl,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
21,48046454,Maven,maven:hazelcast-jet-core,hazelcast-jet-core,SkewReductionPolicy,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
22,49384652,Maven,maven:niubi-job-framework/niubi-job-core,niubi-job-framework/niubi-job-core,ObjectHelper,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
23,49384652,Maven,maven:niubi-job-framework/niubi-job-service,niubi-job-framework/niubi-job-service,StandbyJobServiceImpl,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
24,558963,Maven,maven:httpcache4j-api,httpcache4j-api,Header,ok,missing_or_failed_output,ok,agonetest_harness,gpt_fail_only,agonetest_harness
25,558963,Maven,maven:httpcache4j-api,httpcache4j-api,Status,ok,ok,ok,ok,both_ok,ok
26,60578004,Maven,maven:elastic-jobx-core,elastic-jobx-core,JobExecutionMultipleShardingContext,ok,ok,ok,ok,both_ok,ok
27,60578004,Maven,maven:elastic-jobx-core,elastic-jobx-core,ServerService,ok,missing_or_failed_output,ok,agonetest_harness,gpt_fail_only,agonetest_harness
28,61565876,Maven,maven:injector,injector,TypeSafeAnnotationHandler,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
29,61565876,Maven,maven:injector,injector,InjectorUtils,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
3,3847504,Maven,maven:modules/weblounge-common,modules/weblounge-common,PageImpl,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
30,6293402,Maven,maven:server,server,ListDataProvider,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
31,6293402,Maven,maven:server,server,CurrentInstance,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
32,6437134,Maven,maven:enav-model,enav-model,SafetyZones,ok,missing_or_failed_output,ok,agonetest_harness,gpt_fail_only,agonetest_harness
33,6437134,Maven,maven:enav-model,enav-model,PositionTime,ok,ok,ok,ok,both_ok,ok
34,64487983,Maven,maven:bridge,bridge,App,ok,ok,ok,ok,both_ok,ok
35,64487983,Maven,maven:hexagonal,hexagonal,LotteryTicket,ok,missing_or_failed_output,ok,agonetest_harness,gpt_fail_only,agonetest_harness
36,66303306,Maven,maven:event,event,DefaultSlabAllocator,ok,missing_or_failed_output,ok,agonetest_harness,gpt_fail_only,agonetest_harness
37,66303306,Maven,maven:web,web,SettingsManager,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
38,6944525,Gradle,gradle:d2,d2,ZKFSUtil,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
39,6944525,Gradle,gradle:d2,d2,LoadBalancerUtil,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
4,39195736,Maven,maven:jproperties-checks,jproperties-checks,MissingTranslationsCheck,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
40,74999474,Gradle,gradle:parsec-clients,parsec-clients,ParsecAsyncCompletionHandlerBase,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
41,74999474,Gradle,gradle:parsec-clients,parsec-clients,ParsecAsyncHttpClient,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
42,77481567,Maven,maven:core,core,RiskMoneyProvider,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
43,77481567,Maven,maven:core,core,Failed,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
44,78444970,Maven,maven:examples/graph,examples/graph,BoruvkaKruskal,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
45,78444970,Maven,maven:examples/random,examples/random,ReservoirSamplingMultipleItems,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
46,81384608,Maven,maven:integrations/spark/spark-catalog/spark-catalog-core,integrations/spark/spark-catalog/spark-catalog-core,FlaggingVisitor,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
47,81384608,Maven,maven:integrations/spark/spark-catalog/spark-catalog-core,integrations/spark/spark-catalog/spark-catalog-core,AbstractJdbcDataSetProvider,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
48,85795396,Gradle,gradle:metrics-dropwizardmetrics,metrics-dropwizardmetrics,DropwizardMetricsSystemFactory,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
49,85795396,Gradle,gradle:core,core,ConnectionConfigImpl,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
5,39195736,Maven,maven:jproperties-checks,jproperties-checks,SeparatorConventionCheck,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
50,95247959,Maven,maven:http-clients/netty-nio-client,http-clients/netty-nio-client,Http2GoAwayEventListener,maven_reactor_prewarm_failed,maven_reactor_prewarm_failed,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
51,95247959,Maven,maven:http-clients/netty-nio-client,http-clients/netty-nio-client,HttpOrHttp2ChannelPool,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
52,9619226,Maven,maven:spring-data-simpledb-impl,spring-data-simpledb-impl,SimpleDbQueryRunner,ok,missing_or_failed_output,ok,agonetest_harness,gpt_fail_only,agonetest_harness
53,9619226,Maven,maven:spring-data-simpledb-impl,spring-data-simpledb-impl,SimpleDbAttributeValueSplitter,ok,missing_or_failed_output,ok,agonetest_harness,gpt_fail_only,agonetest_harness
54,97822421,Maven,maven:infrastructure,infrastructure,DoubleDefinitionsRegistrationContext,ok,missing_or_failed_output,ok,agonetest_harness,gpt_fail_only,agonetest_harness
55,97822421,Maven,maven:infrastructure,infrastructure,ToSpyReplacingProcessor,ok,missing_or_failed_output,ok,agonetest_harness,gpt_fail_only,agonetest_harness
56,98410891,Maven,maven:core,core,JEvalEvaluator,ok,missing_or_failed_output,ok,agonetest_harness,gpt_fail_only,agonetest_harness
57,98410891,Maven,maven:core-interface,core-interface,NumberInterval,ok,ok,ok,ok,both_ok,ok
58,9884445,Maven,maven:minnal-jaxrs/minnal-instrumentation-jaxrs,minnal-jaxrs/minnal-instrumentation-jaxrs,SecureAnnotationHandler,missing_or_failed_output,ok,agonetest_harness,ok,evosuite_fail_only,agonetest_harness
59,9884445,Maven,maven:minnal-jaxrs/minnal-instrumentation-jaxrs,minnal-jaxrs/minnal-instrumentation-jaxrs,EntityNode,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
6,41547678,Maven,maven:turin-standard-library,turin-standard-library,Context,ok,ok,ok,ok,both_ok,ok
7,41547678,Maven,maven:turin-compiler,turin-compiler,SrcSymbolResolver,ok,missing_or_failed_output,ok,agonetest_harness,gpt_fail_only,agonetest_harness
8,41627638,Gradle,gradle:leetcode/battleships-in-a-board,leetcode/battleships-in-a-board,Solution,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
9,41627638,Gradle,gradle:leetcode/battleships-in-a-board,leetcode/battleships-in-a-board,Solution,missing_or_failed_output,missing_or_failed_output,agonetest_harness,agonetest_harness,both_fail,agonetest_harness
