sample_index,class_key,project,repo_id,focal_class,focal_path,module,scope_key,build_tool,java_version,complexity_half,nloc,token_count,method_count,public_method_count,max_method_cc,sum_method_cc,avg_method_cc,selection_rank_in_repo,original_manifest_index,split_name,arm,generator,prompt,compilation,fail_stage,branch_coverage,line_coverage,method_coverage,mutation_coverage,strict_branch_coverage,strict_line_coverage,strict_method_coverage,strict_mutation_coverage,failure_owner,failure_owner_note
2,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/scheduler/quartzjob.java,3847504,3847504,QuartzJob,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/scheduler/QuartzJob.java,modules/weblounge-common,maven:modules/weblounge-common,Maven,1.7,higher_complexity_half,224,1702,26,24,9,49,1.8846153846153846,1,257,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,maven_reactor_prewarm_failed,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
2,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/scheduler/quartzjob.java,3847504,3847504,QuartzJob,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/scheduler/QuartzJob.java,modules/weblounge-common,maven:modules/weblounge-common,Maven,1.7,higher_complexity_half,224,1702,26,24,9,49,1.8846153846153846,1,257,pilot60,evosuite,evosuite,-,0,maven_reactor_prewarm_failed,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
3,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/pageimpl.java,3847504,3847504,PageImpl,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/PageImpl.java,modules/weblounge-common,maven:modules/weblounge-common,Maven,1.7,higher_complexity_half,266,2106,23,19,17,68,2.9565217391304346,2,290,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
3,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/pageimpl.java,3847504,3847504,PageImpl,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/PageImpl.java,modules/weblounge-common,maven:modules/weblounge-common,Maven,1.7,higher_complexity_half,266,2106,23,19,17,68,2.9565217391304346,2,290,pilot60,evosuite,evosuite,-,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
4,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/missingtranslationscheck.java,39195736,39195736,MissingTranslationsCheck,jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/MissingTranslationsCheck.java,jproperties-checks,maven:jproperties-checks,Maven,1.8,lower_complexity_half,37,296,3,3,1,3,1.0,1,16,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
4,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/missingtranslationscheck.java,39195736,39195736,MissingTranslationsCheck,jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/MissingTranslationsCheck.java,jproperties-checks,maven:jproperties-checks,Maven,1.8,lower_complexity_half,37,296,3,3,1,3,1.0,1,16,pilot60,evosuite,evosuite,-,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
5,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/separatorconventioncheck.java,39195736,39195736,SeparatorConventionCheck,jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/SeparatorConventionCheck.java,jproperties-checks,maven:jproperties-checks,Maven,1.8,higher_complexity_half,74,554,5,3,9,15,3.0,2,249,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
5,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/separatorconventioncheck.java,39195736,39195736,SeparatorConventionCheck,jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/SeparatorConventionCheck.java,jproperties-checks,maven:jproperties-checks,Maven,1.8,higher_complexity_half,74,554,5,3,9,15,3.0,2,249,pilot60,evosuite,evosuite,-,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
7,41547678:turin-compiler/src/main/java/me/tomassetti/turin/resolvers/srcsymbolresolver.java,41547678,41547678,SrcSymbolResolver,turin-compiler/src/main/java/me/tomassetti/turin/resolvers/SrcSymbolResolver.java,turin-compiler,maven:turin-compiler,Maven,1.8,higher_complexity_half,116,938,10,9,7,24,2.4,1,222,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
8,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/battleship/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board/src/main/java/com/github/battleship/Solution.java,leetcode/battleships-in-a-board,gradle:leetcode/battleships-in-a-board,Gradle,1.8,lower_complexity_half,30,179,3,1,4,9,3.0,1,128,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
8,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/battleship/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board/src/main/java/com/github/battleship/Solution.java,leetcode/battleships-in-a-board,gradle:leetcode/battleships-in-a-board,Gradle,1.8,lower_complexity_half,30,179,3,1,4,9,3.0,1,128,pilot60,evosuite,evosuite,-,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
9,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/maxpointonline/plainloop/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board/src/main/java/com/github/maxpointonline/plainloop/Solution.java,leetcode/battleships-in-a-board,gradle:leetcode/battleships-in-a-board,Gradle,1.8,higher_complexity_half,73,433,6,1,6,16,2.6666666666666665,4,196,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
9,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/maxpointonline/plainloop/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board/src/main/java/com/github/maxpointonline/plainloop/Solution.java,leetcode/battleships-in-a-board,gradle:leetcode/battleships-in-a-board,Gradle,1.8,higher_complexity_half,73,433,6,1,6,16,2.6666666666666665,4,196,pilot60,evosuite,evosuite,-,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
10,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/care/caremessages.java,43105609,43105609,CareMessages,weixin-mp/src/main/java/com/riversoft/weixin/mp/care/CareMessages.java,weixin-mp,maven:weixin-mp,Maven,1.8,lower_complexity_half,126,1167,23,21,3,25,1.0869565217391304,1,117,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
