sample_index,class_key,project,repo_id,module,scope_key,build_tool,focal_class,test_class,status,fail_stage,duration_sec,sandbox_path,detail
0,3713233:core/src/main/java/org/junithelper/core/util/stderr.java,3713233,3713233,core,maven:core,Maven,Stderr,Stderr_RBL4_7234130bTest,PASS,ok,6.045,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\000_3713233_7234130b,sandbox readiness passed
1,3713233:core/src/main/java/org/junithelper/core/util/threadutil.java,3713233,3713233,core,maven:core,Maven,ThreadUtil,ThreadUtil_RBL4_f790382eTest,PASS,ok,6.042,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\001_3713233_f790382e,sandbox readiness passed
2,3713233:core/src/main/java/org/junithelper/core/meta/returntypemeta.java,3713233,3713233,core,maven:core,Maven,ReturnTypeMeta,ReturnTypeMeta_RBL4_d95af645Test,PASS,ok,6.054,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\002_3713233_d95af645,sandbox readiness passed
3,3713233:core/src/main/java/org/junithelper/core/meta/argtypemeta.java,3713233,3713233,core,maven:core,Maven,ArgTypeMeta,ArgTypeMeta_RBL4_5cccf4b4Test,PASS,ok,6.04,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\003_3713233_5cccf4b4,sandbox readiness passed
4,3713233:core/src/main/java/org/junithelper/core/generator/linebreakprovider.java,3713233,3713233,core,maven:core,Maven,LineBreakProvider,LineBreakProvider_RBL4_dcf587c0Test,PASS,ok,1.919,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\004_3713233_dcf587c0,sandbox readiness passed
5,3713233:core/src/main/java/org/junithelper/command/forcejunitversion3command.java,3713233,3713233,core,maven:core,Maven,ForceJUnitVersion3Command,ForceJUnitVersion3Command_RBL4_87a370f3Test,PASS,ok,1.657,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\005_3713233_87a370f3,sandbox readiness passed
6,3713233:core/src/main/java/org/junithelper/core/util/primitivetypeutil.java,3713233,3713233,core,maven:core,Maven,PrimitiveTypeUtil,PrimitiveTypeUtil_RBL4_0aa8a201Test,PASS,ok,1.854,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\006_3713233_0aa8a201,sandbox readiness passed
7,3713233:core/src/main/java/org/junithelper/core/filter/impl/triminsideofbracefilter.java,3713233,3713233,core,maven:core,Maven,TrimInsideOfBraceFilter,TrimInsideOfBraceFilter_RBL4_4b7d40a8Test,PASS,ok,1.915,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\007_3713233_4b7d40a8,sandbox readiness passed
8,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/language/localizablecontent.java,3847504,3847504,modules/weblounge-common,maven:modules/weblounge-common,Maven,LocalizableContent,LocalizableContent_RBL4_9f4346c7Test,PASS,ok,183.694,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\008_3847504_9f4346c7,sandbox readiness passed
9,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/url/urlimpl.java,3847504,3847504,modules/weblounge-common,maven:modules/weblounge-common,Maven,UrlImpl,UrlImpl_RBL4_8ce169b0Test,PASS,ok,196.019,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\009_3847504_8ce169b0,sandbox readiness passed
