timestamp_utc,source,project,module,arm,sample_index,class_key,focal_class,test_class,phase,status,category,failure_owner,owner_note_vi,severity,explanation_vi,suggested_action_vi,detail
2026-07-23T19:24:04+00:00,phase_log,3713233,core,,0,3713233:core/src/main/java/org/junithelper/core/util/stderr.java,,,maven_verify_jacoco_pit,FAIL,generated_test_compile_failed,generator_output,Test đã được sinh nhưng code test sai/không tương thích nên arm đó phải compilation=0 và strict metrics=0.,error,"Generated test đã được sinh ra nhưng không compile được trong module đo; đây là lỗi output test/harness đo, không phải bằng chứng repo gốc không build.",Giữ compilation=0 và strict metrics=0 cho arm tương ứng. Nếu lỗi do thiếu dependency harness như JUnit runtime thì sửa tool; nếu lỗi do symbol/API sai trong test thì ghi nhận là lỗi generator.,"The following compilation errors were encountered during the Maven build:

- 
- /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/000_3713233_7234130b/compiledrepos/3713233/core/src/test/java/org/junithelper/core/util/Stderr_RBL4_7234130bTest.java:[17,9] cannot find symbol
- symbol:   class ByteArrayOutputStream
- location: class org.junithelper.core.util.Stderr_RBL4_7234130bTest
- /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/000_3713233_7234130b/compiledrepos/3713233/core/src/test/java/org/junithelper/core/util/Stderr_RBL4_7234130bTest.java:[17,48] cannot find symbol
- symbol:   class ByteArrayOutputStream
- location: class org.junithelper.core.util.Stderr_RBL4_7234130bTest
- /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/000_3713233_7234130b/compiledrepos/3713233/core/src/test/java/org/junithelper/core/util/Stderr_RBL4_7234130bTest.java:[18,27] cannot find symbol
- symbol:   class PrintStream
- location: class org.junithelper.core.util.Stderr_RBL4_7234130bTest
- /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/000_3713233_7234130b/compiledrepos/3713233/core/src/test/java/org/junithelper/core/util/Stderr_RBL4_7234130bTest.java:[24,27] cannot find symbol
- symbol:   class PrintStream
- location: class org.junithelper.core.util.Stderr_RBL4_7234130bTest
- /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/000_3713233_7234130b/compiledrepos/3713233/core/src/test/java/org/junithelper/core/util/Stderr_RBL4_7234130bTest.java:[24,43] cannot find symbol
- symbol:   class FileOutputStream
- location: class org.junithelper.core.util.Stderr_RBL4_7234130bTest
- /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/000_3713233_7234130b/compiledrepos/3713233/core/src/test/java/org/junithelper/core/util/Stderr_RBL4_7234130bTest.java:[24,60] cannot find symbol
- symbol:   variable FileDescriptor
- location: class org.junithelper.core.util.Stderr_RBL4_7234130bTest
- /D:/A_ThucNghiem/scripts"
2026-07-23T19:24:05+00:00,phase_log,3713233,,gpt,0,3713233:core/src/main/java/org/junithelper/core/util/stderr.java,Stderr,,class_failure_diagnosis,FAIL,generated_test_compile_failed,generator_output,Test đã được sinh nhưng code test sai/không tương thích nên arm đó phải compilation=0 và strict metrics=0.,error,"Generated test đã được sinh ra nhưng không compile được trong module đo; đây là lỗi output test/harness đo, không phải bằng chứng repo gốc không build.",Giữ compilation=0 và strict metrics=0 cho arm tương ứng. Nếu lỗi do thiếu dependency harness như JUnit runtime thì sửa tool; nếu lỗi do symbol/API sai trong test thì ghi nhận là lỗi generator.,"generated_test_compile_failed; artifact=output\3713233\TestClasses_3713233_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed; The following compilation errors were encountered during the Maven build: - - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/000_3713233_7234130b/compiledrepos/3713233/core/src/test/java/org/junithelper/core/util/Stderr_RBL4_7234130bTest.java:[17,9] cannot find symbol - symbol: class ByteArrayOutputStream - location: class org.junithelper.core.util.Stderr_RBL4_7234130bTest - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/000_3713233_7234130b/compiledrepos/3713233/core/src/test/java/org/junithelper/core/util/Stderr_RBL4_7234130bTest.java:[17,48] cannot find symbol - symbol: class ByteArrayOutputStream - location: class org.junithelper.core.util.Stderr_RBL4_7234130bTest - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/000_3713233_7234130b/compiledrepos/3713233/core/src/test/java/org/junithelper/core/util/Stderr_RBL4_7234130bTest.java:[18,27] cannot find symbol - symbol: class PrintStream - location: class org.junithelper.core.util.Stderr_RBL4_7234130bTest - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/000_3713233_7234130b/compiledrepos/3713233/core/src/test/java/org/junithelper/core/util/Stderr_RBL4_7234130bTes"
2026-07-23T19:26:55+00:00,phase_log,3713233,core,,5,3713233:core/src/main/java/org/junithelper/command/forcejunitversion3command.java,,,maven_verify_jacoco_pit,FAIL,generated_test_compile_failed,generator_output,Test đã được sinh nhưng code test sai/không tương thích nên arm đó phải compilation=0 và strict metrics=0.,error,"Generated test đã được sinh ra nhưng không compile được trong module đo; đây là lỗi output test/harness đo, không phải bằng chứng repo gốc không build.",Giữ compilation=0 và strict metrics=0 cho arm tương ứng. Nếu lỗi do thiếu dependency harness như JUnit runtime thì sửa tool; nếu lỗi do symbol/API sai trong test thì ghi nhận là lỗi generator.,"The following compilation errors were encountered during the Maven build:

- 
- /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/005_3713233_87a370f3/compiledrepos/3713233/core/src/test/java/org/junithelper/command/ForceJUnitVersion3Command_RBL4_87a370f3Test.java:[22,22] cannot find symbol
- symbol:   variable JUnitVersion
- location: class org.junithelper.command.ForceJUnitVersion3Command_RBL4_87a370f3Test
- /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/005_3713233_87a370f3/compiledrepos/3713233/core/src/test/java/org/junithelper/command/ForceJUnitVersion3Command_RBL4_87a370f3Test.java:[29,22] cannot find symbol
- symbol:   variable JUnitVersion
- location: class org.junithelper.command.ForceJUnitVersion3Command_RBL4_87a370f3Test
- /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/005_3713233_87a370f3/compiledrepos/3713233/core/src/test/java/org/junithelper/command/ForceJUnitVersion3Command_RBL4_87a370f3Test.java:[34,45] ForceJUnitVersion3Command() has private access in org.junithelper.command.ForceJUnitVersion3Command
- /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/005_3713233_87a370f3/compiledrepos/3713233/core/src/test/java/org/junithelper/command/ForceJUnitVersion3Command_RBL4_87a370f3Test.java:[43,45] ForceJUnitVersion3Command() has private access in org.junithelper.command.ForceJUnitVersion3Command
- /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/005_3713233_87a370f3/compiledrepos/3713233/core/src/test/java/org/junithelper/command/ForceJUnitVersion3Command_RBL4_87a370f3Test.java:[53,9] cannot find symbol
- symbol:   class FileReader
- location: class org.junithelper.command.ForceJUnitVersion3Command_RBL4_87a370f3Test
- /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/005_3713233_87a370f3/compiledrepos/3713233/core/src/test/java/org/junithelper/command/ForceJUnitVersion3Command_RBL4_87a370f3Test.java:[53,42] cannot find symbol
- symbol:   class FileReader
- l"
2026-07-23T19:26:56+00:00,phase_log,3713233,,gpt,5,3713233:core/src/main/java/org/junithelper/command/forcejunitversion3command.java,ForceJUnitVersion3Command,,class_failure_diagnosis,FAIL,generated_test_compile_failed,generator_output,Test đã được sinh nhưng code test sai/không tương thích nên arm đó phải compilation=0 và strict metrics=0.,error,"Generated test đã được sinh ra nhưng không compile được trong module đo; đây là lỗi output test/harness đo, không phải bằng chứng repo gốc không build.",Giữ compilation=0 và strict metrics=0 cho arm tương ứng. Nếu lỗi do thiếu dependency harness như JUnit runtime thì sửa tool; nếu lỗi do symbol/API sai trong test thì ghi nhận là lỗi generator.,"generated_test_compile_failed; artifact=output\3713233\TestClasses_3713233_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed; The following compilation errors were encountered during the Maven build: - - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/005_3713233_87a370f3/compiledrepos/3713233/core/src/test/java/org/junithelper/command/ForceJUnitVersion3Command_RBL4_87a370f3Test.java:[22,22] cannot find symbol - symbol: variable JUnitVersion - location: class org.junithelper.command.ForceJUnitVersion3Command_RBL4_87a370f3Test - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/005_3713233_87a370f3/compiledrepos/3713233/core/src/test/java/org/junithelper/command/ForceJUnitVersion3Command_RBL4_87a370f3Test.java:[29,22] cannot find symbol - symbol: variable JUnitVersion - location: class org.junithelper.command.ForceJUnitVersion3Command_RBL4_87a370f3Test - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/005_3713233_87a370f3/compiledrepos/3713233/core/src/test/java/org/junithelper/command/ForceJUnitVersion3Command_RBL4_87a370f3Test.java:[34,45] ForceJUnitVersion3Command() has private access in org.junithelper.command.ForceJUnitVersion3Command - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/005_3713233_87a370f3/compiledrepos/3713233/core/src/t"
2026-07-23T19:30:03+00:00,phase_log,3847504,,evosuite,10,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/scriptimpl.java,ScriptImpl,,evosuite_generate,FAIL,unclassified_runtime_issue,unknown_needs_manual_review,"Chưa đủ dấu hiệu tự động để quy trách nhiệm, cần đọc log thô.",warning,Tool ghi nhận lỗi nhưng chưa phân loại được tự động.,Xem detail trong phase_log.csv/runtime_errors.csv để phân tích thủ công.,"sanitized retry; skipped test-framework jars: junit-4.8.jar
.readObject0(ObjectInputStream.java:1571)
	at java.io.ObjectInputStream.readObject(ObjectInputStream.java:431)
	at sun.rmi.server.UnicastRef.unmarshalValue(UnicastRef.java:322)
	at sun.rmi.server.UnicastServerRef.unmarshalParametersUnchecked(UnicastServerRef.java:628)
	at sun.rmi.server.UnicastServerRef.unmarshalParameters(UnicastServerRef.java:616)
	at sun.rmi.server.UnicastServerRef.dispatch(UnicastServerRef.java:338)
	... 12 common frames omitted
Caused by: java.lang.IllegalArgumentException: expect to get instruction without BasicBlock already set
	at org.evosuite.graphs.cfg.BasicBlock.appendInstruction(BasicBlock.java:225)
	at org.evosuite.graphs.cfg.BasicBlock.setInstructions(BasicBlock.java:206)
	at org.evosuite.graphs.cfg.BasicBlock.<init>(BasicBlock.java:106)
	at org.evosuite.graphs.cfg.RawControlFlowGraph.determineBasicBlockFor(RawControlFlowGraph.java:314)
	at org.evosuite.graphs.cfg.ActualControlFlowGraph.computeNodes(ActualControlFlowGraph.java:295)
	at org.evosuite.graphs.cfg.ActualControlFlowGraph.computeGraph(ActualControlFlowGraph.java:262)
	at org.evosuite.graphs.cfg.ActualControlFlowGraph.<init>(ActualControlFlowGraph.java:97)
	at org.evosuite.graphs.cfg.CFGGenerator.computeActualCFG(CFGGenerator.java:218)
	at org.evosuite.graphs.cfg.CFGGenerator.registerCFGs(CFGGenerator.java:102)
	at org.evosuite.graphs.cfg.CFGMethodAdapter.visitEnd(CFGMethodAdapter.java:219)
	at org.evosuite.shaded.org.objectweb.asm.MethodVisitor.visitEnd(MethodVisitor.java:783)
	at org.evosuite.shaded.org.objectweb.asm.MethodVisitor.visitEnd(MethodVisitor.java:783)
	at org.evosuite.shaded.org.objectweb.asm.MethodVisitor.visitEnd(MethodVisitor.java:783)
	at org.evosuite.shaded.org.objectweb.asm.tree.MethodNode.accept(MethodNode.java:772)
	at org.evosuite.shaded.org.objectweb.asm.tree.MethodNode.accept(MethodNode.java:649)
	at org.evosuite.shaded.org.objectweb.asm.tree.ClassNode.accept(ClassNode.java:452)
	at org.evosui"
2026-07-23T19:30:18+00:00,phase_log,3847504,modules/weblounge-common,,11,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/pageleturiimpl.java,,,maven_verify_jacoco_pit,FAIL,generated_test_compile_failed,generator_output,Test đã được sinh nhưng code test sai/không tương thích nên arm đó phải compilation=0 và strict metrics=0.,error,"Generated test đã được sinh ra nhưng không compile được trong module đo; đây là lỗi output test/harness đo, không phải bằng chứng repo gốc không build.",Giữ compilation=0 và strict metrics=0 cho arm tương ứng. Nếu lỗi do thiếu dependency harness như JUnit runtime thì sửa tool; nếu lỗi do symbol/API sai trong test thì ghi nhận là lỗi generator.,"The following compilation errors were encountered during the Maven build:

- 
- /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/011_3847504_a30ec522/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/content/page/PageletURIImpl_RBL4_a30ec522Test.java:[17,45] <anonymous ch.entwine.weblounge.common.impl.content.page.PageletURIImpl_RBL4_a30ec522Test$1> is not abstract and does not override abstract method getParentURI() in ch.entwine.weblounge.common.content.ResourceURI
- /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/011_3847504_a30ec522/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/content/page/PageletURIImpl_RBL4_a30ec522Test.java:[20,35] <anonymous ch.entwine.weblounge.common.impl.content.page.PageletURIImpl_RBL4_a30ec522Test$1$1> is not abstract and does not override abstract method getLocalRole(java.lang.String) in ch.entwine.weblounge.common.site.Site
- /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/011_3847504_a30ec522/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/content/page/PageletURIImpl_RBL4_a30ec522Test.java:[63,56] <anonymous ch.entwine.weblounge.common.impl.content.page.PageletURIImpl_RBL4_a30ec522Test$2> is not abstract and does not override abstract method getParentURI() in ch.entwine.weblounge.common.content.ResourceURI
- /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/011_3847504_a30ec522/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/content/page/PageletURIImpl_RBL4_a30ec522Test.java:[66,35] <anonymous ch.entwine.weblounge.common.impl.content.page.PageletURIImpl_RBL4_a30ec522Test$2$1> is not abstract and does not override abstract method getLocalRole(java.lang.String) in ch.entwine.weblounge.common.site.Site"
2026-07-23T19:30:19+00:00,phase_log,3847504,,gpt,11,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/pageleturiimpl.java,PageletURIImpl,,class_failure_diagnosis,FAIL,generated_test_compile_failed,generator_output,Test đã được sinh nhưng code test sai/không tương thích nên arm đó phải compilation=0 và strict metrics=0.,error,"Generated test đã được sinh ra nhưng không compile được trong module đo; đây là lỗi output test/harness đo, không phải bằng chứng repo gốc không build.",Giữ compilation=0 và strict metrics=0 cho arm tương ứng. Nếu lỗi do thiếu dependency harness như JUnit runtime thì sửa tool; nếu lỗi do symbol/API sai trong test thì ghi nhận là lỗi generator.,"generated_test_compile_failed; artifact=output\3847504\TestClasses_3847504_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed; The following compilation errors were encountered during the Maven build: - - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/011_3847504_a30ec522/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/content/page/PageletURIImpl_RBL4_a30ec522Test.java:[17,45] <anonymous ch.entwine.weblounge.common.impl.content.page.PageletURIImpl_RBL4_a30ec522Test$1> is not abstract and does not override abstract method getParentURI() in ch.entwine.weblounge.common.content.ResourceURI - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/011_3847504_a30ec522/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/content/page/PageletURIImpl_RBL4_a30ec522Test.java:[20,35] <anonymous ch.entwine.weblounge.common.impl.content.page.PageletURIImpl_RBL4_a30ec522Test$1$1> is not abstract and does not override abstract method getLocalRole(java.lang.String) in ch.entwine.weblounge.common.site.Site - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/011_3847504_a30ec522/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/content/page/PageletURIImp"
2026-07-23T19:30:24+00:00,phase_log,3847504,modules/weblounge-common,,10,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/scriptimpl.java,,,maven_verify_jacoco_pit,FAIL,generated_test_compile_failed,generator_output,Test đã được sinh nhưng code test sai/không tương thích nên arm đó phải compilation=0 và strict metrics=0.,error,"Generated test đã được sinh ra nhưng không compile được trong module đo; đây là lỗi output test/harness đo, không phải bằng chứng repo gốc không build.",Giữ compilation=0 và strict metrics=0 cho arm tương ứng. Nếu lỗi do thiếu dependency harness như JUnit runtime thì sửa tool; nếu lỗi do symbol/API sai trong test thì ghi nhận là lỗi generator.,"The following compilation errors were encountered during the Maven build:

- 
- /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/010_3847504_1794d49e/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/content/page/ScriptImpl_RBL4_1794d49eTest.java:[37,32] <anonymous ch.entwine.weblounge.common.impl.content.page.ScriptImpl_RBL4_1794d49eTest$1> is not abstract and does not override abstract method getLocalRole(java.lang.String) in ch.entwine.weblounge.common.site.Site
- /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/010_3847504_1794d49e/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/content/page/ScriptImpl_RBL4_1794d49eTest.java:[49,38] <anonymous ch.entwine.weblounge.common.impl.content.page.ScriptImpl_RBL4_1794d49eTest$2> is not abstract and does not override abstract method toXml() in ch.entwine.weblounge.common.site.Module
- /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/010_3847504_1794d49e/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/content/page/ScriptImpl_RBL4_1794d49eTest.java:[61,35] enum types may not be instantiated
- /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/010_3847504_1794d49e/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/content/page/ScriptImpl_RBL4_1794d49eTest.java:[61,39] cannot inherit from final ch.entwine.weblounge.common.site.Environment
- /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/010_3847504_1794d49e/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/content/page/ScriptImpl_RBL4_1794d49eTest.java:[61,53] enum types are not extensible
- /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/010_3847504_1794d49e/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/content/pa"
2026-07-23T19:30:25+00:00,phase_log,3847504,,gpt,10,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/scriptimpl.java,ScriptImpl,,class_failure_diagnosis,FAIL,generated_test_compile_failed,generator_output,Test đã được sinh nhưng code test sai/không tương thích nên arm đó phải compilation=0 và strict metrics=0.,error,"Generated test đã được sinh ra nhưng không compile được trong module đo; đây là lỗi output test/harness đo, không phải bằng chứng repo gốc không build.",Giữ compilation=0 và strict metrics=0 cho arm tương ứng. Nếu lỗi do thiếu dependency harness như JUnit runtime thì sửa tool; nếu lỗi do symbol/API sai trong test thì ghi nhận là lỗi generator.,"generated_test_compile_failed; artifact=output\3847504\TestClasses_3847504_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed; The following compilation errors were encountered during the Maven build: - - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/010_3847504_1794d49e/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/content/page/ScriptImpl_RBL4_1794d49eTest.java:[37,32] <anonymous ch.entwine.weblounge.common.impl.content.page.ScriptImpl_RBL4_1794d49eTest$1> is not abstract and does not override abstract method getLocalRole(java.lang.String) in ch.entwine.weblounge.common.site.Site - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/010_3847504_1794d49e/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/content/page/ScriptImpl_RBL4_1794d49eTest.java:[49,38] <anonymous ch.entwine.weblounge.common.impl.content.page.ScriptImpl_RBL4_1794d49eTest$2> is not abstract and does not override abstract method toXml() in ch.entwine.weblounge.common.site.Module - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/010_3847504_1794d49e/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/content/page/ScriptImpl_RBL4_1794d49eTest.java:[61,35] enum"
2026-07-23T19:30:25+00:00,phase_log,3847504,,evosuite,10,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/scriptimpl.java,ScriptImpl,,class_failure_diagnosis,FAIL,project_compilation_error,agonetest_harness,"Lỗi nằm ở cách AgoneTest/RBL4 runner chuẩn bị sandbox, chỉnh POM/Gradle, chạy JaCoCo/PIT hoặc trích xuất metric.",error,"Project hoặc module Java không compile được khi đo JaCoCo/PIT; đây là lỗi source/dependency/build của repo, không nhất thiết là lỗi GPT.",Xem phase_log.csv để biết file Java và symbol lỗi; cần sửa dependency/source hoặc loại instance khỏi sample nếu precheck không tái lập buildability.,"agone_runtime_failed; artifact=output\3847504\TestClasses_3847504_evosuite.failed; -------------- PROCESSING PROJECT: '3847504' ---- Processing project: 3847504, module: modules/weblounge-common [RBL4] requested=1.7 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172 3847504_modules/weblounge-common is a Maven project ---- STARTING evosuite test typ --//loading evosuite generation..// An error accored while trying to run the evosuite generation ---- STARTING gpt-4o-mini-2024-07-18 test typ Processing test_type: gpt-4o-mini-2024-07-18, technique: rbl4-zero-shot Making API call with llm: gpt-4o-mini-2024-07-18, technique: rbl4-zero-shot, focal class: ScriptImpl Fetching prompts dictionary... Fetching agents dictionary... Fetching agents dictionary... Fetching agents dictionary... API call completed with test_type: gpt-4o-mini-2024-07-18, technique: rbl4-zero-shot, focal class: ScriptImpl File generated at: output/3847504/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_ScriptImpl_RBL4_1794d49eTest.java --//loading maven execution..// Test classes: -Dtest=ch.entwine.weblounge.common.impl.content.page.ScriptImpl_RBL4_1794d49eTest -------------------- The following compilation errors were encountered during the Maven build: - - /D:/A_ThucNghiem/scripts_v2/worksp"
