sample_index,class_key,project,repo_id,focal_class,focal_path,module,scope_key,build_tool,java_version,complexity_half,nloc,token_count,method_count,public_method_count,max_method_cc,sum_method_cc,avg_method_cc,selection_rank_in_repo,original_manifest_index,split_name,arm,generator,prompt,compilation,fail_stage,failure_owner,failure_owner_note,failure_artifact,failure_detail,branch_coverage,line_coverage,method_coverage,mutation_coverage,strict_branch_coverage,strict_line_coverage,strict_method_coverage,strict_mutation_coverage
0,3713233:core/src/main/java/org/junithelper/core/util/stderr.java,3713233,3713233,Stderr,core/src/main/java/org/junithelper/core/util/Stderr.java,core,maven:core,Maven,1.6,lower_complexity_half,12,78,3,2,1,3,1.0,8,17,remaining240,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,generated_test_compile_failed,generator_output,Generated test của arm này sai/không tương thích nên compilation=0 và strict metrics=0.,output\3713233\TestClasses_3713233_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,"The following compilation errors were encountered during the Maven build: - - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/000_3713233_7234130b/compiledrepos/3713233/core/src/test/java/org/junithelper/core/util/Stderr_RBL4_7234130bTest.java:[17,9] cannot find symbol - symbol: class ByteArrayOutputStream - location: class org.junithelper.core.util.Stderr_RBL4_7234130bTest - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/000_3713233_7234130b/compiledrepos/3713233/core/src/test/java/org/junithelper/core/util/Stderr_RBL4_7234130bTest.java:[17,48] cannot find symbol - symbol: class ByteArrayOutputStream - location: class org.junithelper.core.util.Stderr_RBL4_7234130bTest - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/000_3713233_7234130b/compiledrepos/3713233/core/src/test/java/org/junithelper/core/util/Stderr_RBL4_7234130bTest.java:[18,27] cannot find symbol - symbol: class PrintStream - location: class org.junithelper.core.util.Stderr_RBL4_7234130bTest - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/000_3713233_7234130b/compiledrepos/3713233/core/src/test/java/org/junithelper/core/util/Stderr_RBL4_7234130bTes",,,,,0.0,0.0,0.0,0.0
5,3713233:core/src/main/java/org/junithelper/command/forcejunitversion3command.java,3713233,3713233,ForceJUnitVersion3Command,core/src/main/java/org/junithelper/command/ForceJUnitVersion3Command.java,core,maven:core,Maven,1.6,higher_complexity_half,60,494,2,1,9,10,5.0,9,248,remaining240,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,generated_test_compile_failed,generator_output,Generated test của arm này sai/không tương thích nên compilation=0 và strict metrics=0.,output\3713233\TestClasses_3713233_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,"The following compilation errors were encountered during the Maven build: - - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/005_3713233_87a370f3/compiledrepos/3713233/core/src/test/java/org/junithelper/command/ForceJUnitVersion3Command_RBL4_87a370f3Test.java:[22,22] cannot find symbol - symbol: variable JUnitVersion - location: class org.junithelper.command.ForceJUnitVersion3Command_RBL4_87a370f3Test - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/005_3713233_87a370f3/compiledrepos/3713233/core/src/test/java/org/junithelper/command/ForceJUnitVersion3Command_RBL4_87a370f3Test.java:[29,22] cannot find symbol - symbol: variable JUnitVersion - location: class org.junithelper.command.ForceJUnitVersion3Command_RBL4_87a370f3Test - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/005_3713233_87a370f3/compiledrepos/3713233/core/src/test/java/org/junithelper/command/ForceJUnitVersion3Command_RBL4_87a370f3Test.java:[34,45] ForceJUnitVersion3Command() has private access in org.junithelper.command.ForceJUnitVersion3Command - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/005_3713233_87a370f3/compiledrepos/3713233/core/src/t",,,,,0.0,0.0,0.0,0.0
8,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/language/localizablecontent.java,3847504,3847504,LocalizableContent,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/language/LocalizableContent.java,modules/weblounge-common,maven:modules/weblounge-common,Maven,1.7,higher_complexity_half,113,750,15,12,6,33,2.2,5,208,remaining240,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,generated_test_compile_failed,generator_output,Generated test của arm này sai/không tương thích nên compilation=0 và strict metrics=0.,output\3847504\TestClasses_3847504_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,"The following compilation errors were encountered during the Maven build: - - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/008_3847504_9f4346c7/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/language/LocalizableContent_RBL4_9f4346c7Test.java:[17,19] ch.entwine.weblounge.common.language.Language is abstract; cannot be instantiated - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/008_3847504_9f4346c7/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/language/LocalizableContent_RBL4_9f4346c7Test.java:[18,18] ch.entwine.weblounge.common.language.Language is abstract; cannot be instantiated",,,,,0.0,0.0,0.0,0.0
10,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/scriptimpl.java,3847504,3847504,ScriptImpl,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/ScriptImpl.java,modules/weblounge-common,maven:modules/weblounge-common,Maven,1.7,higher_complexity_half,188,1251,26,21,7,48,1.8461538461538463,4,233,remaining240,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,generated_test_compile_failed,generator_output,Generated test của arm này sai/không tương thích nên compilation=0 và strict metrics=0.,output\3847504\TestClasses_3847504_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,"The following compilation errors were encountered during the Maven build: - - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/010_3847504_1794d49e/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/content/page/ScriptImpl_RBL4_1794d49eTest.java:[37,32] <anonymous ch.entwine.weblounge.common.impl.content.page.ScriptImpl_RBL4_1794d49eTest$1> is not abstract and does not override abstract method getLocalRole(java.lang.String) in ch.entwine.weblounge.common.site.Site - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/010_3847504_1794d49e/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/content/page/ScriptImpl_RBL4_1794d49eTest.java:[49,38] <anonymous ch.entwine.weblounge.common.impl.content.page.ScriptImpl_RBL4_1794d49eTest$2> is not abstract and does not override abstract method toXml() in ch.entwine.weblounge.common.site.Module - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/010_3847504_1794d49e/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/content/page/ScriptImpl_RBL4_1794d49eTest.java:[61,35] enum",,,,,0.0,0.0,0.0,0.0
10,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/scriptimpl.java,3847504,3847504,ScriptImpl,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/ScriptImpl.java,modules/weblounge-common,maven:modules/weblounge-common,Maven,1.7,higher_complexity_half,188,1251,26,21,7,48,1.8461538461538463,4,233,remaining240,evosuite,evosuite,-,0,agone_runtime_failed,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.,output\3847504\TestClasses_3847504_evosuite.failed,"-------------- PROCESSING PROJECT: '3847504' ---- Processing project: 3847504, module: modules/weblounge-common [RBL4] requested=1.7 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172 3847504_modules/weblounge-common is a Maven project ---- STARTING evosuite test typ --//loading evosuite generation..// An error accored while trying to run the evosuite generation ---- STARTING gpt-4o-mini-2024-07-18 test typ Processing test_type: gpt-4o-mini-2024-07-18, technique: rbl4-zero-shot Making API call with llm: gpt-4o-mini-2024-07-18, technique: rbl4-zero-shot, focal class: ScriptImpl Fetching prompts dictionary... Fetching agents dictionary... Fetching agents dictionary... Fetching agents dictionary... API call completed with test_type: gpt-4o-mini-2024-07-18, technique: rbl4-zero-shot, focal class: ScriptImpl File generated at: output/3847504/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_ScriptImpl_RBL4_1794d49eTest.java --//loading maven execution..// Test classes: -Dtest=ch.entwine.weblounge.common.impl.content.page.ScriptImpl_RBL4_1794d49eTest -------------------- The following compilation errors were encountered during the Maven build: - - /D:/A_ThucNghiem/scripts_v2/worksp",,,,,0.0,0.0,0.0,0.0
11,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/pageleturiimpl.java,3847504,3847504,PageletURIImpl,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/PageletURIImpl.java,modules/weblounge-common,maven:modules/weblounge-common,Maven,1.7,higher_complexity_half,70,473,12,11,8,27,2.25,10,237,remaining240,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,generated_test_compile_failed,generator_output,Generated test của arm này sai/không tương thích nên compilation=0 và strict metrics=0.,output\3847504\TestClasses_3847504_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,"The following compilation errors were encountered during the Maven build: - - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/011_3847504_a30ec522/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/content/page/PageletURIImpl_RBL4_a30ec522Test.java:[17,45] <anonymous ch.entwine.weblounge.common.impl.content.page.PageletURIImpl_RBL4_a30ec522Test$1> is not abstract and does not override abstract method getParentURI() in ch.entwine.weblounge.common.content.ResourceURI - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/011_3847504_a30ec522/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/content/page/PageletURIImpl_RBL4_a30ec522Test.java:[20,35] <anonymous ch.entwine.weblounge.common.impl.content.page.PageletURIImpl_RBL4_a30ec522Test$1$1> is not abstract and does not override abstract method getLocalRole(java.lang.String) in ch.entwine.weblounge.common.site.Site - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/011_3847504_a30ec522/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/content/page/PageletURIImp",,,,,0.0,0.0,0.0,0.0
12,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/scheduler/periodicjobtrigger.java,3847504,3847504,PeriodicJobTrigger,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/scheduler/PeriodicJobTrigger.java,modules/weblounge-common,maven:modules/weblounge-common,Maven,1.7,higher_complexity_half,104,706,19,11,9,35,1.8421052631578947,9,255,remaining240,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,generated_test_compile_failed,generator_output,Generated test của arm này sai/không tương thích nên compilation=0 và strict metrics=0.,output\3847504\TestClasses_3847504_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,"The following compilation errors were encountered during the Maven build: - - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/012_3847504_4c73c73c/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/scheduler/PeriodicJobTrigger_RBL4_4c73c73cTest.java:[53,54] cannot find symbol - symbol: method getStartTime() - location: variable trigger of type ch.entwine.weblounge.common.impl.scheduler.PeriodicJobTrigger",,,,,0.0,0.0,0.0,0.0
13,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/security/siteadminimpl.java,3847504,3847504,SiteAdminImpl,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/security/SiteAdminImpl.java,modules/weblounge-common,maven:modules/weblounge-common,Maven,1.7,higher_complexity_half,157,1267,11,10,12,36,3.272727272727273,3,269,remaining240,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,generated_test_compile_failed,generator_output,Generated test của arm này sai/không tương thích nên compilation=0 và strict metrics=0.,output\3847504\TestClasses_3847504_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,"The following compilation errors were encountered during the Maven build: - - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/013_3847504_17e4fcfb/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/security/SiteAdminImpl_RBL4_17e4fcfbTest.java:[4,26] package org.mockito does not exist - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/013_3847504_17e4fcfb/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/security/SiteAdminImpl_RBL4_17e4fcfbTest.java:[18,13] cannot find symbol - symbol: class Site - location: class ch.entwine.weblounge.common.impl.security.SiteAdminImpl_RBL4_17e4fcfbTest - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/013_3847504_17e4fcfb/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/security/SiteAdminImpl_RBL4_17e4fcfbTest.java:[22,25] cannot find symbol - symbol: class Site - location: class ch.entwine.weblounge.common.impl.security.SiteAdminImpl_RBL4_17e4fcfbTest - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/013_3847504_17e4fcfb/compiledrepos/3847504/modules/",,,,,0.0,0.0,0.0,0.0
14,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/pageletrendererimpl.java,3847504,3847504,PageletRendererImpl,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/PageletRendererImpl.java,modules/weblounge-common,maven:modules/weblounge-common,Maven,1.7,higher_complexity_half,313,2459,23,19,22,81,3.5217391304347827,6,295,remaining240,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,generated_test_compile_failed,generator_output,Generated test của arm này sai/không tương thích nên compilation=0 và strict metrics=0.,output\3847504\TestClasses_3847504_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,"The following compilation errors were encountered during the Maven build: - - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/014_3847504_a6858dc4/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/content/page/PageletRendererImpl_RBL4_a6858dc4Test.java:[4,26] package org.mockito does not exist - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/014_3847504_a6858dc4/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/content/page/PageletRendererImpl_RBL4_a6858dc4Test.java:[32,18] cannot find symbol - symbol: method mock(java.lang.Class<ch.entwine.weblounge.common.site.Module>) - location: class ch.entwine.weblounge.common.impl.content.page.PageletRendererImpl_RBL4_a6858dc4Test - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/014_3847504_a6858dc4/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/content/page/PageletRendererImpl_RBL4_a6858dc4Test.java:[33,16] cannot find symbol - symbol: method mock(java.lang.Class<ch.entwine.weblounge.common.site.Site>) - location: class ch.entwine.weblounge.common.impl.con",,,,,0.0,0.0,0.0,0.0
15,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/url/weburlimpl.java,3847504,3847504,WebUrlImpl,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/url/WebUrlImpl.java,modules/weblounge-common,maven:modules/weblounge-common,Maven,1.7,higher_complexity_half,278,2123,23,15,23,89,3.869565217391304,8,296,remaining240,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,generated_test_compile_failed,generator_output,Generated test của arm này sai/không tương thích nên compilation=0 và strict metrics=0.,output\3847504\TestClasses_3847504_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,"The following compilation errors were encountered during the Maven build: - - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/015_3847504_0a423268/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/url/WebUrlImpl_RBL4_0a423268Test.java:[22,20] cannot find symbol - symbol: class MockSite - location: class ch.entwine.weblounge.common.impl.url.WebUrlImpl_RBL4_0a423268Test - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/015_3847504_0a423268/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/url/WebUrlImpl_RBL4_0a423268Test.java:[23,24] cannot find symbol - symbol: class MockLanguage - location: class ch.entwine.weblounge.common.impl.url.WebUrlImpl_RBL4_0a423268Test - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/015_3847504_0a423268/compiledrepos/3847504/modules/weblounge-common/src/test/java/ch/entwine/weblounge/common/impl/url/WebUrlImpl_RBL4_0a423268Test.java:[24,20] cannot find symbol - symbol: class MockPath - location: class ch.entwine.weblounge.common.impl.url.WebUrlImpl_RBL4_0a423268Test - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_02",,,,,0.0,0.0,0.0,0.0
