sample_index,class_key,project,repo_id,focal_class,focal_path,module,scope_key,build_tool,java_version,complexity_half,nloc,token_count,method_count,public_method_count,max_method_cc,sum_method_cc,avg_method_cc,selection_rank_in_repo,original_manifest_index,split_name,evosuite_branch_coverage,gpt_branch_coverage,evosuite_compilation,gpt_compilation,evosuite_line_coverage,gpt_line_coverage,evosuite_method_coverage,gpt_method_coverage,evosuite_mutation_coverage,gpt_mutation_coverage,evosuite_strict_branch_coverage,gpt_strict_branch_coverage,evosuite_strict_line_coverage,gpt_strict_line_coverage,evosuite_strict_method_coverage,gpt_strict_method_coverage,evosuite_strict_mutation_coverage,gpt_strict_mutation_coverage,strict_mutation_diff_gpt_minus_evosuite,rq4_wilcoxon_shifted_value,strict_branch_diff_gpt_minus_evosuite
0,3713233:core/src/main/java/org/junithelper/core/util/stderr.java,3713233,3713233,Stderr,core/src/main/java/org/junithelper/core/util/Stderr.java,core,maven:core,Maven,1.6,lower_complexity_half,12,78,3,2,1,3,1.0,8,17,remaining240,,,1,0,100.0,,100.0,,0.0,,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0.0
1,3713233:core/src/main/java/org/junithelper/core/util/threadutil.java,3713233,3713233,ThreadUtil,core/src/main/java/org/junithelper/core/util/ThreadUtil.java,core,maven:core,Maven,1.6,lower_complexity_half,12,58,2,1,2,3,1.5,10,45,remaining240,,,1,1,0.0,60.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,60.0,0.0,100.0,0.0,100.0,100.0,105.0,0.0
2,3713233:core/src/main/java/org/junithelper/core/meta/returntypemeta.java,3713233,3713233,ReturnTypeMeta,core/src/main/java/org/junithelper/core/meta/ReturnTypeMeta.java,core,maven:core,Maven,1.6,lower_complexity_half,23,162,1,1,4,4,4.0,5,119,remaining240,100.0,100.0,1,1,100.0,100.0,100.0,100.0,42.86,85.71,100.0,100.0,100.0,100.0,100.0,100.0,42.86,85.71,42.849999999999994,47.849999999999994,0.0
3,3713233:core/src/main/java/org/junithelper/core/meta/argtypemeta.java,3713233,3713233,ArgTypeMeta,core/src/main/java/org/junithelper/core/meta/ArgTypeMeta.java,core,maven:core,Maven,1.6,lower_complexity_half,27,178,2,2,4,5,2.5,7,122,remaining240,100.0,100.0,1,1,100.0,100.0,100.0,100.0,42.86,85.71,100.0,100.0,100.0,100.0,100.0,100.0,42.86,85.71,42.849999999999994,47.849999999999994,0.0
4,3713233:core/src/main/java/org/junithelper/core/generator/linebreakprovider.java,3713233,3713233,LineBreakProvider,core/src/main/java/org/junithelper/core/generator/LineBreakProvider.java,core,maven:core,Maven,1.6,higher_complexity_half,40,264,3,1,7,10,3.3333333333333335,6,215,remaining240,92.86,85.71,1,1,95.0,90.0,100.0,100.0,0.0,75.0,92.86,85.71,95.0,90.0,100.0,100.0,0.0,75.0,75.0,80.0,-7.150000000000006
5,3713233:core/src/main/java/org/junithelper/command/forcejunitversion3command.java,3713233,3713233,ForceJUnitVersion3Command,core/src/main/java/org/junithelper/command/ForceJUnitVersion3Command.java,core,maven:core,Maven,1.6,higher_complexity_half,60,494,2,1,9,10,5.0,9,248,remaining240,56.25,,1,0,24.32,,100.0,,0.0,,56.25,0.0,24.32,0.0,100.0,0.0,0.0,0.0,0.0,5.0,-56.25
6,3713233:core/src/main/java/org/junithelper/core/util/primitivetypeutil.java,3713233,3713233,PrimitiveTypeUtil,core/src/main/java/org/junithelper/core/util/PrimitiveTypeUtil.java,core,maven:core,Maven,1.6,higher_complexity_half,73,462,4,3,11,32,8.0,2,264,remaining240,98.21,82.14,1,1,98.39,83.87,100.0,100.0,12.9,0.0,98.21,82.14,98.39,83.87,100.0,100.0,12.9,0.0,-12.9,-7.9,-16.069999999999993
7,3713233:core/src/main/java/org/junithelper/core/filter/impl/triminsideofbracefilter.java,3713233,3713233,TrimInsideOfBraceFilter,core/src/main/java/org/junithelper/core/filter/impl/TrimInsideOfBraceFilter.java,core,maven:core,Maven,1.6,higher_complexity_half,99,725,2,1,37,40,20.0,3,299,remaining240,60.0,53.75,1,1,70.31,68.75,100.0,100.0,26.19,33.33,60.0,53.75,70.31,68.75,100.0,100.0,26.19,33.33,7.139999999999997,12.139999999999997,-6.25
8,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/language/localizablecontent.java,3847504,3847504,LocalizableContent,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/language/LocalizableContent.java,modules/weblounge-common,maven:modules/weblounge-common,Maven,1.7,higher_complexity_half,113,750,15,12,6,33,2.2,5,208,remaining240,97.14,,1,0,98.65,,100.0,,25.0,,97.14,0.0,98.65,0.0,100.0,0.0,25.0,0.0,-25.0,-20.0,-97.14
9,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/url/urlimpl.java,3847504,3847504,UrlImpl,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/url/UrlImpl.java,modules/weblounge-common,maven:modules/weblounge-common,Maven,1.7,higher_complexity_half,116,829,17,10,7,40,2.3529411764705883,7,232,remaining240,98.0,70.0,1,1,100.0,79.22,100.0,82.35,25.0,77.5,98.0,70.0,100.0,79.22,100.0,82.35,25.0,77.5,52.5,57.5,-28.0
