sample_index,class_key,project,repo_id,focal_class,module,complexity_half,gpt_strict_mutation_coverage,evosuite_strict_mutation_coverage,strict_mutation_diff_gpt_minus_evosuite,rq4_wilcoxon_shifted_value
0,3713233:core/src/main/java/org/junithelper/core/util/stderr.java,3713233,3713233,Stderr,core,lower_complexity_half,0.0,0.0,0.0,5.0
1,3713233:core/src/main/java/org/junithelper/core/util/threadutil.java,3713233,3713233,ThreadUtil,core,lower_complexity_half,100.0,0.0,100.0,105.0
2,3713233:core/src/main/java/org/junithelper/core/meta/returntypemeta.java,3713233,3713233,ReturnTypeMeta,core,lower_complexity_half,85.71,42.86,42.849999999999994,47.849999999999994
3,3713233:core/src/main/java/org/junithelper/core/meta/argtypemeta.java,3713233,3713233,ArgTypeMeta,core,lower_complexity_half,85.71,42.86,42.849999999999994,47.849999999999994
4,3713233:core/src/main/java/org/junithelper/core/generator/linebreakprovider.java,3713233,3713233,LineBreakProvider,core,higher_complexity_half,75.0,0.0,75.0,80.0
5,3713233:core/src/main/java/org/junithelper/command/forcejunitversion3command.java,3713233,3713233,ForceJUnitVersion3Command,core,higher_complexity_half,0.0,0.0,0.0,5.0
6,3713233:core/src/main/java/org/junithelper/core/util/primitivetypeutil.java,3713233,3713233,PrimitiveTypeUtil,core,higher_complexity_half,0.0,12.9,-12.9,-7.9
7,3713233:core/src/main/java/org/junithelper/core/filter/impl/triminsideofbracefilter.java,3713233,3713233,TrimInsideOfBraceFilter,core,higher_complexity_half,33.33,26.19,7.139999999999997,12.139999999999997
8,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/language/localizablecontent.java,3847504,3847504,LocalizableContent,modules/weblounge-common,higher_complexity_half,0.0,25.0,-25.0,-20.0
9,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/url/urlimpl.java,3847504,3847504,UrlImpl,modules/weblounge-common,higher_complexity_half,77.5,25.0,52.5,57.5
10,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/scriptimpl.java,3847504,3847504,ScriptImpl,modules/weblounge-common,higher_complexity_half,0.0,0.0,0.0,5.0
11,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/pageleturiimpl.java,3847504,3847504,PageletURIImpl,modules/weblounge-common,higher_complexity_half,0.0,20.0,-20.0,-15.0
12,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/scheduler/periodicjobtrigger.java,3847504,3847504,PeriodicJobTrigger,modules/weblounge-common,higher_complexity_half,0.0,33.33,-33.33,-28.33
13,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/security/siteadminimpl.java,3847504,3847504,SiteAdminImpl,modules/weblounge-common,higher_complexity_half,0.0,17.95,-17.95,-12.95
14,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/pageletrendererimpl.java,3847504,3847504,PageletRendererImpl,modules/weblounge-common,higher_complexity_half,0.0,20.0,-20.0,-15.0
15,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/url/weburlimpl.java,3847504,3847504,WebUrlImpl,modules/weblounge-common,higher_complexity_half,0.0,24.32,-24.32,-19.32
16,39195736:sonar-jproperties-plugin/src/main/java/org/sonar/plugins/jproperties/javapropertiesplugin.java,39195736,39195736,JavaPropertiesPlugin,sonar-jproperties-plugin,lower_complexity_half,0.0,0.0,0.0,5.0
17,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/toomanykeyscheck.java,39195736,39195736,TooManyKeysCheck,jproperties-checks,lower_complexity_half,0.0,0.0,0.0,5.0
18,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/keynamingconventioncheck.java,39195736,39195736,KeyNamingConventionCheck,jproperties-checks,lower_complexity_half,0.0,0.0,0.0,5.0
19,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/linelengthcheck.java,39195736,39195736,LineLengthCheck,jproperties-checks,lower_complexity_half,0.0,0.0,0.0,5.0
20,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/commentconventioncheck.java,39195736,39195736,CommentConventionCheck,jproperties-checks,lower_complexity_half,0.0,0.0,0.0,5.0
21,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/duplicatedvaluescheck.java,39195736,39195736,DuplicatedValuesCheck,jproperties-checks,lower_complexity_half,0.0,0.0,0.0,5.0
22,39195736:sonar-jproperties-plugin/src/main/java/org/sonar/plugins/jproperties/javapropertiessquidsensor.java,39195736,39195736,JavaPropertiesSquidSensor,sonar-jproperties-plugin,higher_complexity_half,0.0,0.0,0.0,5.0
