repo_id,repo_url,commit_sha,class_key,focal_class,focal_path,mapping_count,nloc,token_count,method_count,public_method_count,max_method_cc,sum_method_cc,avg_method_cc,build_tool,build_root,module_dir,module_selector,scope_key,declared_java_version,effective_java_runtime,selected_type,selection_rank_in_repo,selection_hash,selection_seed,selection_algorithm,complexity_half,replacement_of,replacement_reason,repository_storage_path,promotion_status,complexity_rank,sample_index,Project,Focal_Class_agone,Test_Class,Focal_Path_agone,Test_Path,Module,Repo_Dir,Compiled_Focal_Path,Synthesized_Test_Rel_Path,Package,Java_Version,Build_Tool_agone,Recipe_Command_Windows,Recipe_Command_Posix,Recipe_ID,repo_exists,focal_exists,recipe_exists,duplicate_class_key,duplicate_focal_path,preflight_status
64487983,https://github.com/ErnestMing/JavaDesignPartternImpl,34431d71b4a00ef79895db9aaca30020baace209,64487983:bridge/src/main/java/com/iluwatar/bridge/app.java,App,bridge/src/main/java/com/iluwatar/bridge/App.java,1,20,132,1,1,1,1,1.0,maven,.,bridge,bridge,maven:bridge,8,8,main,1,0189e317b20908dbb6a034cf1f086a705cb6fc7ae7083b5b0e22827823435ec1,42,sha256_repo_balanced_v3_1,lower_complexity_half,,,repos/successful/64487983,promoted_before_storage_audit,1,0,64487983,App,App_RBL4Test_58f65afc,repos/64487983/bridge/src/main/java/com/iluwatar/bridge/App.java,repos/64487983/bridge/src/test/java/com/iluwatar/bridge/App_RBL4Test_58f65afc.java,bridge,D:\A_ThucNghiem\compiledrepos\64487983,D:\A_ThucNghiem\compiledrepos\64487983\bridge\src\main\java\com\iluwatar\bridge\App.java,bridge/src/test/java/com/iluwatar/bridge/App_RBL4Test_58f65afc.java,com.iluwatar.bridge,1.8,Maven,"mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\bridge\pom.xml"" clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/bridge/pom.xml"" clean test-compile",v3:64487983:maven:bridge,1,1,1,0,0,PASS
74999474,https://github.com/yahoo/parsec-libraries,142bc4c95a8ca7b8c82f7f95d8144cb6d4bc2096,74999474:parsec-clients/src/main/java/com/yahoo/parsec/clients/parsecasynccompletionhandlerbase.java,ParsecAsyncCompletionHandlerBase,parsec-clients/src/main/java/com/yahoo/parsec/clients/ParsecAsyncCompletionHandlerBase.java,1,9,71,1,1,1,1,1.0,gradle,.,parsec-clients,parsec-clients,gradle:parsec-clients,unknown,8,main,3,221e3dd827cb4c67c911266a60cbded3760de432e740498ff7593f3a84f9bc7d,42,sha256_repo_balanced_v3_1,lower_complexity_half,,,repos/successful/74999474,promoted_before_storage_audit,2,1,74999474,ParsecAsyncCompletionHandlerBase,ParsecAsyncCompletionHandlerBase_RBL4Test_d0018ed9,repos/74999474/parsec-clients/src/main/java/com/yahoo/parsec/clients/ParsecAsyncCompletionHandlerBase.java,repos/74999474/parsec-clients/src/test/java/com/yahoo/parsec/clients/ParsecAsyncCompletionHandlerBase_RBL4Test_d0018ed9.java,parsec-clients,D:\A_ThucNghiem\compiledrepos\74999474,D:\A_ThucNghiem\compiledrepos\74999474\parsec-clients\src\main\java\com\yahoo\parsec\clients\ParsecAsyncCompletionHandlerBase.java,parsec-clients/src/test/java/com/yahoo/parsec/clients/ParsecAsyncCompletionHandlerBase_RBL4Test_d0018ed9.java,com.yahoo.parsec.clients,1.8,Gradle,"""${REPO_DIR}\gradlew.bat"" --no-daemon --console=plain --stacktrace :parsec-clients:clean :parsec-clients:testClasses -x test","""${REPO_DIR}/gradlew"" --no-daemon --console=plain --stacktrace :parsec-clients:clean :parsec-clients:testClasses -x test",v3:74999474:gradle:parsec-clients,1,1,1,0,0,PASS
9884445,https://github.com/minnal/minnal,50989185555e0d8969319bb20ae8e596db4ff545,9884445:minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/entity/metadata/handler/manytomanyannotationhandler.java,ManyToManyAnnotationHandler,minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/entity/metadata/handler/ManyToManyAnnotationHandler.java,1,8,42,1,1,1,1,1.0,maven,.,minnal-jaxrs/minnal-instrumentation-jaxrs,minnal-jaxrs/minnal-instrumentation-jaxrs,maven:minnal-jaxrs/minnal-instrumentation-jaxrs,7,8,main,6,3ad05ca7ea41204b475acb729d1f8ef4a008e6670b727cfa075974ff20e7e9d6,42,sha256_repo_balanced_v3_1,lower_complexity_half,,,repos/successful/9884445,promoted_before_storage_audit,3,2,9884445,ManyToManyAnnotationHandler,ManyToManyAnnotationHandler_RBL4Test_a6306c47,repos/9884445/minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/entity/metadata/handler/ManyToManyAnnotationHandler.java,repos/9884445/minnal-jaxrs/minnal-instrumentation-jaxrs/src/test/java/org/minnal/instrument/entity/metadata/handler/ManyToManyAnnotationHandler_RBL4Test_a6306c47.java,minnal-jaxrs/minnal-instrumentation-jaxrs,D:\A_ThucNghiem\compiledrepos\9884445,D:\A_ThucNghiem\compiledrepos\9884445\minnal-jaxrs\minnal-instrumentation-jaxrs\src\main\java\org\minnal\instrument\entity\metadata\handler\ManyToManyAnnotationHandler.java,minnal-jaxrs/minnal-instrumentation-jaxrs/src/test/java/org/minnal/instrument/entity/metadata/handler/ManyToManyAnnotationHandler_RBL4Test_a6306c47.java,org.minnal.instrument.entity.metadata.handler,1.7,Maven,"mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\pom.xml"" -pl minnal-jaxrs/minnal-instrumentation-jaxrs -am clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/pom.xml"" -pl minnal-jaxrs/minnal-instrumentation-jaxrs -am clean test-compile",v3:9884445:maven:minnal-jaxrs/minnal-instrumentation-jaxrs,1,1,1,0,0,PASS
41627638,https://github.com/cuipengfei/Spikes,3b98b697479020d277bcf69f5651102982d7ba12,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/singlenumber/solution.java,Solution,leetcode/battleships-in-a-board/src/main/java/com/github/SingleNumber/Solution.java,1,16,152,1,1,1,1,1.0,gradle,leetcode/battleships-in-a-board,leetcode/battleships-in-a-board,.,gradle:leetcode/battleships-in-a-board,8,8,main,9,5abdd8f15d0d979bb79f1bd833b60d8caddca523408c87add5e59aa82876d5a3,42,sha256_repo_balanced_v3_1,lower_complexity_half,,,repos/successful/41627638,promoted_before_storage_audit,4,3,41627638,Solution,Solution_RBL4Test_899cbe08,repos/41627638/leetcode/battleships-in-a-board/src/main/java/com/github/SingleNumber/Solution.java,repos/41627638/leetcode/battleships-in-a-board/src/test/java/com/github/SingleNumber/Solution_RBL4Test_899cbe08.java,leetcode/battleships-in-a-board,D:\A_ThucNghiem\compiledrepos\41627638,D:\A_ThucNghiem\compiledrepos\41627638\leetcode\battleships-in-a-board\src\main\java\com\github\SingleNumber\Solution.java,leetcode/battleships-in-a-board/src/test/java/com/github/SingleNumber/Solution_RBL4Test_899cbe08.java,com.github.SingleNumber,1.8,Gradle,"""${REPO_DIR}\gradlew.bat"" --no-daemon --console=plain --stacktrace clean testClasses -x test","""${REPO_DIR}/gradlew"" --no-daemon --console=plain --stacktrace clean testClasses -x test",v3:41627638:gradle:leetcode/battleships-in-a-board,1,1,1,0,0,PASS
64487983,https://github.com/ErnestMing/JavaDesignPartternImpl,34431d71b4a00ef79895db9aaca30020baace209,64487983:dependency-injection/src/main/java/com/iluwatar/dependency/injection/app.java,App,dependency-injection/src/main/java/com/iluwatar/dependency/injection/App.java,1,14,107,1,1,1,1,1.0,maven,.,dependency-injection,dependency-injection,maven:dependency-injection,8,8,main,8,6bb4bacc51e2a366ce4b5a263f47f8b0366581d1a1063e6288ef86a9776dd25a,42,sha256_repo_balanced_v3_1,lower_complexity_half,,,repos/successful/64487983,promoted_before_storage_audit,5,4,64487983,App,App_RBL4Test_f077e771,repos/64487983/dependency-injection/src/main/java/com/iluwatar/dependency/injection/App.java,repos/64487983/dependency-injection/src/test/java/com/iluwatar/dependency/injection/App_RBL4Test_f077e771.java,dependency-injection,D:\A_ThucNghiem\compiledrepos\64487983,D:\A_ThucNghiem\compiledrepos\64487983\dependency-injection\src\main\java\com\iluwatar\dependency\injection\App.java,dependency-injection/src/test/java/com/iluwatar/dependency/injection/App_RBL4Test_f077e771.java,com.iluwatar.dependency.injection,1.8,Maven,"mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\dependency-injection\pom.xml"" clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/dependency-injection/pom.xml"" clean test-compile",v3:64487983:maven:dependency-injection,1,1,1,0,0,PASS
39195736,https://github.com/racodond/sonar-jproperties-plugin,7a6e8c332e5db8d2a89212fe8defe8b8fdb6c3f6,39195736:sonar-jproperties-plugin/src/main/java/org/sonar/plugins/jproperties/javapropertiesplugin.java,JavaPropertiesPlugin,sonar-jproperties-plugin/src/main/java/org/sonar/plugins/jproperties/JavaPropertiesPlugin.java,2,13,61,1,1,1,1,1.0,maven,.,sonar-jproperties-plugin,sonar-jproperties-plugin,maven:sonar-jproperties-plugin,8,8,main,4,753aa6920f5d1069d143e0b55f3ecec4516e6be0046f1c88e5eda64bb14f8f94,42,sha256_repo_balanced_v3_1,lower_complexity_half,,,repos/successful/39195736,promoted_before_storage_audit,6,5,39195736,JavaPropertiesPlugin,JavaPropertiesPlugin_RBL4Test_f9bc17aa,repos/39195736/sonar-jproperties-plugin/src/main/java/org/sonar/plugins/jproperties/JavaPropertiesPlugin.java,repos/39195736/sonar-jproperties-plugin/src/test/java/org/sonar/plugins/jproperties/JavaPropertiesPlugin_RBL4Test_f9bc17aa.java,sonar-jproperties-plugin,D:\A_ThucNghiem\compiledrepos\39195736,D:\A_ThucNghiem\compiledrepos\39195736\sonar-jproperties-plugin\src\main\java\org\sonar\plugins\jproperties\JavaPropertiesPlugin.java,sonar-jproperties-plugin/src/test/java/org/sonar/plugins/jproperties/JavaPropertiesPlugin_RBL4Test_f9bc17aa.java,org.sonar.plugins.jproperties,1.8,Maven,"mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\pom.xml"" -pl sonar-jproperties-plugin -am clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/pom.xml"" -pl sonar-jproperties-plugin -am clean test-compile",v3:39195736:maven:sonar-jproperties-plugin,1,1,1,0,0,PASS
74999474,https://github.com/yahoo/parsec-libraries,142bc4c95a8ca7b8c82f7f95d8144cb6d4bc2096,74999474:parsec-clients/src/main/java/com/yahoo/parsec/clients/randomnameresolver.java,RandomNameResolver,parsec-clients/src/main/java/com/yahoo/parsec/clients/RandomNameResolver.java,1,12,86,1,1,1,1,1.0,gradle,.,parsec-clients,parsec-clients,gradle:parsec-clients,unknown,8,main,9,cc978cb00004ac1bae45dbae761297cb0f0cbe53257055855c258736721f8eba,42,sha256_repo_balanced_v3_1,lower_complexity_half,,,repos/successful/74999474,promoted_before_storage_audit,7,6,74999474,RandomNameResolver,RandomNameResolver_RBL4Test_835787fd,repos/74999474/parsec-clients/src/main/java/com/yahoo/parsec/clients/RandomNameResolver.java,repos/74999474/parsec-clients/src/test/java/com/yahoo/parsec/clients/RandomNameResolver_RBL4Test_835787fd.java,parsec-clients,D:\A_ThucNghiem\compiledrepos\74999474,D:\A_ThucNghiem\compiledrepos\74999474\parsec-clients\src\main\java\com\yahoo\parsec\clients\RandomNameResolver.java,parsec-clients/src/test/java/com/yahoo/parsec/clients/RandomNameResolver_RBL4Test_835787fd.java,com.yahoo.parsec.clients,1.8,Gradle,"""${REPO_DIR}\gradlew.bat"" --no-daemon --console=plain --stacktrace :parsec-clients:clean :parsec-clients:testClasses -x test","""${REPO_DIR}/gradlew"" --no-daemon --console=plain --stacktrace :parsec-clients:clean :parsec-clients:testClasses -x test",v3:74999474:gradle:parsec-clients,1,1,1,0,0,PASS
9884445,https://github.com/minnal/minnal,50989185555e0d8969319bb20ae8e596db4ff545,9884445:minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/entity/metadata/handler/secureannotationhandler.java,SecureAnnotationHandler,minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/entity/metadata/handler/SecureAnnotationHandler.java,1,17,167,2,1,1,2,1.0,maven,.,minnal-jaxrs/minnal-instrumentation-jaxrs,minnal-jaxrs/minnal-instrumentation-jaxrs,maven:minnal-jaxrs/minnal-instrumentation-jaxrs,7,8,main,1,07b4ed1573eb0e45794c1ba5239b2ba98d086af93cf0afd452071b9cb93692f9,42,sha256_repo_balanced_v3_1,lower_complexity_half,,,repos/successful/9884445,promoted_before_storage_audit,8,7,9884445,SecureAnnotationHandler,SecureAnnotationHandler_RBL4Test_cedbf5e7,repos/9884445/minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/entity/metadata/handler/SecureAnnotationHandler.java,repos/9884445/minnal-jaxrs/minnal-instrumentation-jaxrs/src/test/java/org/minnal/instrument/entity/metadata/handler/SecureAnnotationHandler_RBL4Test_cedbf5e7.java,minnal-jaxrs/minnal-instrumentation-jaxrs,D:\A_ThucNghiem\compiledrepos\9884445,D:\A_ThucNghiem\compiledrepos\9884445\minnal-jaxrs\minnal-instrumentation-jaxrs\src\main\java\org\minnal\instrument\entity\metadata\handler\SecureAnnotationHandler.java,minnal-jaxrs/minnal-instrumentation-jaxrs/src/test/java/org/minnal/instrument/entity/metadata/handler/SecureAnnotationHandler_RBL4Test_cedbf5e7.java,org.minnal.instrument.entity.metadata.handler,1.7,Maven,"mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\pom.xml"" -pl minnal-jaxrs/minnal-instrumentation-jaxrs -am clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/pom.xml"" -pl minnal-jaxrs/minnal-instrumentation-jaxrs -am clean test-compile",v3:9884445:maven:minnal-jaxrs/minnal-instrumentation-jaxrs,1,1,1,0,0,PASS
3713233,https://github.com/seratch/junithelper,8c307eb05f762cf8030a3bd6d903228e0d5b98b2,3713233:core/src/main/java/org/junithelper/core/file/filesearcherfactory.java,FileSearcherFactory,core/src/main/java/org/junithelper/core/file/FileSearcherFactory.java,1,8,34,2,1,1,2,1.0,maven,core,core,.,maven:core,6,8,main,4,1324198e4a876cca2c66c7b2c54433ff089c946e63a39c711205ae4abf59627c,42,sha256_repo_balanced_v3_1,lower_complexity_half,,,repos/successful/3713233,promoted_before_storage_audit,9,8,3713233,FileSearcherFactory,FileSearcherFactory_RBL4Test_5e446228,repos/3713233/core/src/main/java/org/junithelper/core/file/FileSearcherFactory.java,repos/3713233/core/src/test/java/org/junithelper/core/file/FileSearcherFactory_RBL4Test_5e446228.java,core,D:\A_ThucNghiem\compiledrepos\3713233,D:\A_ThucNghiem\compiledrepos\3713233\core\src\main\java\org\junithelper\core\file\FileSearcherFactory.java,core/src/test/java/org/junithelper/core/file/FileSearcherFactory_RBL4Test_5e446228.java,org.junithelper.core.file,1.6,Maven,"mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\pom.xml"" clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/pom.xml"" clean test-compile",v3:3713233:maven:core,1,1,1,0,0,PASS
77481567,https://github.com/rbi/trading4j,996e651004193e4facaec393d00d86f93850f8f5,77481567:core/src/main/java/de/voidnode/trading4j/functionality/timeframeconversion/discretetimeframeconvertingindicator.java,DiscreteTimeFrameConvertingIndicator,core/src/main/java/de/voidnode/trading4j/functionality/timeframeconversion/DiscreteTimeFrameConvertingIndicator.java,2,20,209,2,1,1,2,1.0,maven,.,core,core,maven:core,8,8,main,7,186a20392deda7e2d2dd949aa3f1b16718701877b1490c8acb581b7a614849ad,42,sha256_repo_balanced_v3_1,lower_complexity_half,,,repos/successful/77481567,promoted_before_storage_audit,10,9,77481567,DiscreteTimeFrameConvertingIndicator,DiscreteTimeFrameConvertingIndicator_RBL4Test_e0da87f5,repos/77481567/core/src/main/java/de/voidnode/trading4j/functionality/timeframeconversion/DiscreteTimeFrameConvertingIndicator.java,repos/77481567/core/src/test/java/de/voidnode/trading4j/functionality/timeframeconversion/DiscreteTimeFrameConvertingIndicator_RBL4Test_e0da87f5.java,core,D:\A_ThucNghiem\compiledrepos\77481567,D:\A_ThucNghiem\compiledrepos\77481567\core\src\main\java\de\voidnode\trading4j\functionality\timeframeconversion\DiscreteTimeFrameConvertingIndicator.java,core/src/test/java/de/voidnode/trading4j/functionality/timeframeconversion/DiscreteTimeFrameConvertingIndicator_RBL4Test_e0da87f5.java,de.voidnode.trading4j.functionality.timeframeconversion,1.8,Maven,"mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\core\pom.xml"" clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/core/pom.xml"" clean test-compile",v3:77481567:maven:core,1,1,1,0,0,PASS
