sample_index,class_key,project,repo_id,module,scope_key,build_tool,focal_class,test_class,status,fail_stage,duration_sec,sandbox_path,detail,source_run_id,source_run_sample_index
0,64487983:bridge/src/main/java/com/iluwatar/bridge/app.java,64487983,64487983,bridge,maven:bridge,Maven,App,App_RBL4Test_58f65afc,PASS,ok,33.831,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\034_64487983_App_58f65afc,sandbox readiness passed,pilot60_resume_20260724_083102,34
1,74999474:parsec-clients/src/main/java/com/yahoo/parsec/clients/parsecasynccompletionhandlerbase.java,74999474,74999474,parsec-clients,gradle:parsec-clients,Gradle,ParsecAsyncCompletionHandlerBase,ParsecAsyncCompletionHandlerBase_RBL4Test_d0018ed9,PASS,ok,12.759,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\040_74999474_ParsecAsyncCompletionHandlerBase_d0018ed9,sandbox readiness passed,pilot60_resume_20260724_083102,40
2,9884445:minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/entity/metadata/handler/manytomanyannotationhandler.java,9884445,9884445,minnal-jaxrs/minnal-instrumentation-jaxrs,maven:minnal-jaxrs/minnal-instrumentation-jaxrs,Maven,ManyToManyAnnotationHandler,ManyToManyAnnotationHandler_RBL4_a6306c47Test,PASS,ok,25.816,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\232_9884445_a6306c47,sandbox readiness passed,20260724_022225_resume240,232
3,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/singlenumber/solution.java,41627638,41627638,leetcode/battleships-in-a-board,gradle:leetcode/battleships-in-a-board,Gradle,Solution,Solution_RBL4_899cbe08Test,PASS,ok,30.529,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\032_41627638_899cbe08,sandbox readiness passed,20260724_022225_resume240,32
4,64487983:dependency-injection/src/main/java/com/iluwatar/dependency/injection/app.java,64487983,64487983,dependency-injection,maven:dependency-injection,Maven,App,App_RBL4_f077e771Test,PASS,ok,30.043,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\136_64487983_f077e771,sandbox readiness passed,20260724_022225_resume240,136
5,39195736:sonar-jproperties-plugin/src/main/java/org/sonar/plugins/jproperties/javapropertiesplugin.java,39195736,39195736,sonar-jproperties-plugin,maven:sonar-jproperties-plugin,Maven,JavaPropertiesPlugin,JavaPropertiesPlugin_RBL4_f9bc17aaTest,PASS,ok,25.814,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\016_39195736_f9bc17aa,sandbox readiness passed,20260724_022225_resume240,16
6,74999474:parsec-clients/src/main/java/com/yahoo/parsec/clients/randomnameresolver.java,74999474,74999474,parsec-clients,gradle:parsec-clients,Gradle,RandomNameResolver,RandomNameResolver_RBL4_835787fdTest,PASS,ok,20.317,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\160_74999474_835787fd,sandbox readiness passed,20260724_022225_resume240,160
7,9884445:minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/entity/metadata/handler/secureannotationhandler.java,9884445,9884445,minnal-jaxrs/minnal-instrumentation-jaxrs,maven:minnal-jaxrs/minnal-instrumentation-jaxrs,Maven,SecureAnnotationHandler,SecureAnnotationHandler_RBL4Test_cedbf5e7,PASS,ok,25.996,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\058_9884445_SecureAnnotationHandler_cedbf5e7,sandbox readiness passed,pilot60_resume_20260724_083102,58
8,3713233:core/src/main/java/org/junithelper/core/file/filesearcherfactory.java,3713233,3713233,core,maven:core,Maven,FileSearcherFactory,FileSearcherFactory_RBL4Test_5e446228,PASS,ok,6.662,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\000_3713233_FileSearcherFactory_5e446228,sandbox readiness passed,pilot60_resume_20260724_083102,0
9,77481567:core/src/main/java/de/voidnode/trading4j/functionality/timeframeconversion/discretetimeframeconvertingindicator.java,77481567,77481567,core,maven:core,Maven,DiscreteTimeFrameConvertingIndicator,DiscreteTimeFrameConvertingIndicator_RBL4_e0da87f5Test,PASS,ok,7.986,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\168_77481567_e0da87f5,sandbox readiness passed,20260724_022225_resume240,168
10,48046454:hazelcast-jet-core/src/main/java/com/hazelcast/jet/core/resettablesingletontraverser.java,48046454,48046454,hazelcast-jet-core,maven:hazelcast-jet-core,Maven,ResettableSingletonTraverser,ResettableSingletonTraverser_RBL4_c7d874e7Test,PASS,ok,86.044,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\080_48046454_c7d874e7,sandbox readiness passed,20260724_022225_resume240,80
11,81384608:integrations/spark/spark-catalog/spark-catalog-core/src/main/java/com/thinkbiganalytics/kylo/catalog/spark/sources/spark/flaggingvisitor.java,81384608,81384608,integrations/spark/spark-catalog/spark-catalog-core,maven:integrations/spark/spark-catalog/spark-catalog-core,Maven,FlaggingVisitor,FlaggingVisitor_RBL4Test_80a61f46,PASS,ok,39.066,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\046_81384608_FlaggingVisitor_80a61f46,sandbox readiness passed,pilot60_resume_20260724_083102,46
12,60578004:elastic-jobx-core/src/main/java/com/dangdang/ddframe/job/internal/statistics/processcountjob.java,60578004,60578004,elastic-jobx-core,maven:elastic-jobx-core,Maven,ProcessCountJob,ProcessCountJob_RBL4_fc02f3bfTest,PASS,ok,13.495,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\104_60578004_fc02f3bf,sandbox readiness passed,20260724_022225_resume240,104
13,64487983:dependency-injection/src/main/java/com/iluwatar/dependency/injection/guicewizard.java,64487983,64487983,dependency-injection,maven:dependency-injection,Maven,GuiceWizard,GuiceWizard_RBL4_f36a1968Test,PASS,ok,28.627,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\137_64487983_f36a1968,sandbox readiness passed,20260724_022225_resume240,137
14,85795396:metrics-dropwizardmetrics/src/main/java/org/apache/calcite/avatica/metrics/dropwizard/dropwizardgauge.java,85795396,85795396,metrics-dropwizardmetrics,gradle:metrics-dropwizardmetrics,Gradle,DropwizardGauge,DropwizardGauge_RBL4_3f1ba9c7Test,PASS,ok,41.119,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\192_85795396_3f1ba9c7,sandbox readiness passed,20260724_022225_resume240,192
15,81384608:integrations/spark/spark-catalog/spark-catalog-core/src/main/java/com/thinkbiganalytics/kylo/catalog/spark/sources/jdbc/jdbchighwatermarkvisitor.java,81384608,81384608,integrations/spark/spark-catalog/spark-catalog-core,maven:integrations/spark/spark-catalog/spark-catalog-core,Maven,JdbcHighWaterMarkVisitor,JdbcHighWaterMarkVisitor_RBL4_347735f5Test,PASS,ok,316.008,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\184_81384608_347735f5,sandbox readiness passed,20260724_022225_resume240,184
16,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/missingtranslationscheck.java,39195736,39195736,jproperties-checks,maven:jproperties-checks,Maven,MissingTranslationsCheck,MissingTranslationsCheck_RBL4Test_be7ec32e,PASS,ok,18.967,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\004_39195736_MissingTranslationsCheck_be7ec32e,sandbox readiness passed,pilot60_resume_20260724_083102,4
17,3713233:core/src/main/java/org/junithelper/core/util/stderr.java,3713233,3713233,core,maven:core,Maven,Stderr,Stderr_RBL4_7234130bTest,PASS,ok,6.045,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\000_3713233_7234130b,sandbox readiness passed,20260724_022225_resume240,0
18,46450575:flo-workflow/src/main/java/com/spotify/flo/evalcontextwithtask.java,46450575,46450575,flo-workflow,maven:flo-workflow,Maven,EvalContextWithTask,EvalContextWithTask_RBL4_ef73684bTest,PASS,ok,29.175,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\072_46450575_ef73684b,sandbox readiness passed,20260724_022225_resume240,72
19,74999474:parsec-clients/src/main/java/com/yahoo/parsec/clients/delegatenameresolver.java,74999474,74999474,parsec-clients,gradle:parsec-clients,Gradle,DelegateNameResolver,DelegateNameResolver_RBL4_ab7abb98Test,PASS,ok,15.58,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\161_74999474_ab7abb98,sandbox readiness passed,20260724_022225_resume240,161
20,85795396:metrics-dropwizardmetrics/src/main/java/org/apache/calcite/avatica/metrics/dropwizard/dropwizardhistogram.java,85795396,85795396,metrics-dropwizardmetrics,gradle:metrics-dropwizardmetrics,Gradle,DropwizardHistogram,DropwizardHistogram_RBL4_0b144c66Test,PASS,ok,25.866,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\193_85795396_0b144c66,sandbox readiness passed,20260724_022225_resume240,193
21,97822421:infrastructure/src/main/java/com/pchudzik/springmock/infrastructure/definition/registry/doublenameresolver.java,97822421,97822421,infrastructure,maven:infrastructure,Maven,DoubleNameResolver,DoubleNameResolver_RBL4_9722645dTest,PASS,ok,6.731,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\216_97822421_9722645d,sandbox readiness passed,20260724_022225_resume240,216
22,81384608:integrations/spark/spark-catalog/spark-catalog-core/src/main/java/com/thinkbiganalytics/kylo/catalog/spark/sources/jdbc/jdbchighwatermarkaccumulableparam.java,81384608,81384608,integrations/spark/spark-catalog/spark-catalog-core,maven:integrations/spark/spark-catalog/spark-catalog-core,Maven,JdbcHighWaterMarkAccumulableParam,JdbcHighWaterMarkAccumulableParam_RBL4_1975b3e4Test,PASS,ok,292.38,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\185_81384608_1975b3e4,sandbox readiness passed,20260724_022225_resume240,185
23,85795396:core/src/main/java/org/apache/calcite/avatica/remote/protobufhandler.java,85795396,85795396,core,gradle:core,Gradle,ProtobufHandler,ProtobufHandler_RBL4_d33c3262Test,PASS,ok,51.889,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\194_85795396_d33c3262,sandbox readiness passed,20260724_022225_resume240,194
24,6437134:enav-model/src/main/java/dk/dma/enav/safety/safetyzones.java,6437134,6437134,enav-model,maven:enav-model,Maven,SafetyZones,SafetyZones_RBL4Test_d088ee82,PASS,ok,10.232,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\032_6437134_SafetyZones_d088ee82,sandbox readiness passed,pilot60_resume_20260724_083102,32
25,66303306:event/src/main/java/com/bazaarvoice/emodb/event/eventstoremodule.java,66303306,66303306,event,maven:event,Maven,EventStoreModule,EventStoreModule_RBL4_40681041Test,PASS,ok,101.37,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\144_66303306_40681041,sandbox readiness passed,20260724_022225_resume240,144
26,46450575:contrib/flo-styx/src/main/java/com/spotify/flo/contrib/styx/structuredlogging.java,46450575,46450575,contrib/flo-styx,maven:contrib/flo-styx,Maven,StructuredLogging,StructuredLogging_RBL4_4178ab2dTest,PASS,ok,27.441,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\073_46450575_4178ab2d,sandbox readiness passed,20260724_022225_resume240,73
27,64487983:bridge/src/main/java/com/iluwatar/bridge/souleatingmagicweapon.java,64487983,64487983,bridge,maven:bridge,Maven,SoulEatingMagicWeapon,SoulEatingMagicWeapon_RBL4_e5ac9b33Test,PASS,ok,20.434,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\138_64487983_e5ac9b33,sandbox readiness passed,20260724_022225_resume240,138
28,46450575:flo-workflow/src/main/java/com/spotify/flo/context/asynccontext.java,46450575,46450575,flo-workflow,maven:flo-workflow,Maven,AsyncContext,AsyncContext_RBL4Test_acb5f0dc,PASS,ok,19.041,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\018_46450575_AsyncContext_acb5f0dc,sandbox readiness passed,pilot60_resume_20260724_083102,18
29,64487983:bridge/src/main/java/com/iluwatar/bridge/blindingmagicweapon.java,64487983,64487983,bridge,maven:bridge,Maven,BlindingMagicWeapon,BlindingMagicWeapon_RBL4_0f46d2c5Test,PASS,ok,12.597,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\139_64487983_0f46d2c5,sandbox readiness passed,20260724_022225_resume240,139
30,85795396:metrics-dropwizardmetrics/src/main/java/org/apache/calcite/avatica/metrics/dropwizard/dropwizardmetricssystem.java,85795396,85795396,metrics-dropwizardmetrics,gradle:metrics-dropwizardmetrics,Gradle,DropwizardMetricsSystem,DropwizardMetricsSystem_RBL4_b6cb9e18Test,PASS,ok,38.262,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\195_85795396_b6cb9e18,sandbox readiness passed,20260724_022225_resume240,195
31,64487983:bridge/src/main/java/com/iluwatar/bridge/flyingmagicweapon.java,64487983,64487983,bridge,maven:bridge,Maven,FlyingMagicWeapon,FlyingMagicWeapon_RBL4_65b25ee1Test,PASS,ok,3.912,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\140_64487983_65b25ee1,sandbox readiness passed,20260724_022225_resume240,140
32,46450575:flo-workflow/src/main/java/com/spotify/flo/context/forwardingevalcontext.java,46450575,46450575,flo-workflow,maven:flo-workflow,Maven,ForwardingEvalContext,ForwardingEvalContext_RBL4_07864a44Test,PASS,ok,28.871,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\074_46450575_07864a44,sandbox readiness passed,20260724_022225_resume240,74
33,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/user/blacklists.java,43105609,43105609,weixin-mp,maven:weixin-mp,Maven,BlackLists,BlackLists_RBL4_840860a6Test,PASS,ok,50.17,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\040_43105609_840860a6,sandbox readiness passed,20260724_022225_resume240,40
