sample_index,class_key,project,repo_id,focal_class,module,complexity_half,gpt_strict_mutation_coverage,evosuite_strict_mutation_coverage,strict_mutation_diff_gpt_minus_evosuite,rq4_wilcoxon_shifted_value
0,64487983:bridge/src/main/java/com/iluwatar/bridge/app.java,64487983,64487983,App,bridge,lower_complexity_half,0.0,0.0,0.0,5.0
1,74999474:parsec-clients/src/main/java/com/yahoo/parsec/clients/parsecasynccompletionhandlerbase.java,74999474,74999474,ParsecAsyncCompletionHandlerBase,parsec-clients,lower_complexity_half,0.0,0.0,0.0,5.0
2,9884445:minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/entity/metadata/handler/manytomanyannotationhandler.java,9884445,9884445,ManyToManyAnnotationHandler,minnal-jaxrs/minnal-instrumentation-jaxrs,lower_complexity_half,0.0,0.0,0.0,5.0
3,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/singlenumber/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board,lower_complexity_half,100.0,0.0,100.0,105.0
4,64487983:dependency-injection/src/main/java/com/iluwatar/dependency/injection/app.java,64487983,64487983,App,dependency-injection,lower_complexity_half,0.0,0.0,0.0,5.0
5,39195736:sonar-jproperties-plugin/src/main/java/org/sonar/plugins/jproperties/javapropertiesplugin.java,39195736,39195736,JavaPropertiesPlugin,sonar-jproperties-plugin,lower_complexity_half,0.0,0.0,0.0,5.0
6,74999474:parsec-clients/src/main/java/com/yahoo/parsec/clients/randomnameresolver.java,74999474,74999474,RandomNameResolver,parsec-clients,lower_complexity_half,0.0,0.0,0.0,5.0
7,9884445:minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/entity/metadata/handler/secureannotationhandler.java,9884445,9884445,SecureAnnotationHandler,minnal-jaxrs/minnal-instrumentation-jaxrs,lower_complexity_half,100.0,0.0,100.0,105.0
8,3713233:core/src/main/java/org/junithelper/core/file/filesearcherfactory.java,3713233,3713233,FileSearcherFactory,core,lower_complexity_half,100.0,0.0,100.0,105.0
9,77481567:core/src/main/java/de/voidnode/trading4j/functionality/timeframeconversion/discretetimeframeconvertingindicator.java,77481567,77481567,DiscreteTimeFrameConvertingIndicator,core,lower_complexity_half,0.0,0.0,0.0,5.0
10,48046454:hazelcast-jet-core/src/main/java/com/hazelcast/jet/core/resettablesingletontraverser.java,48046454,48046454,ResettableSingletonTraverser,hazelcast-jet-core,lower_complexity_half,100.0,0.0,100.0,105.0
11,81384608:integrations/spark/spark-catalog/spark-catalog-core/src/main/java/com/thinkbiganalytics/kylo/catalog/spark/sources/spark/flaggingvisitor.java,81384608,81384608,FlaggingVisitor,integrations/spark/spark-catalog/spark-catalog-core,lower_complexity_half,0.0,0.0,0.0,5.0
12,60578004:elastic-jobx-core/src/main/java/com/dangdang/ddframe/job/internal/statistics/processcountjob.java,60578004,60578004,ProcessCountJob,elastic-jobx-core,lower_complexity_half,0.0,0.0,0.0,5.0
13,64487983:dependency-injection/src/main/java/com/iluwatar/dependency/injection/guicewizard.java,64487983,64487983,GuiceWizard,dependency-injection,lower_complexity_half,100.0,0.0,100.0,105.0
14,85795396:metrics-dropwizardmetrics/src/main/java/org/apache/calcite/avatica/metrics/dropwizard/dropwizardgauge.java,85795396,85795396,DropwizardGauge,metrics-dropwizardmetrics,lower_complexity_half,0.0,0.0,0.0,5.0
15,81384608:integrations/spark/spark-catalog/spark-catalog-core/src/main/java/com/thinkbiganalytics/kylo/catalog/spark/sources/jdbc/jdbchighwatermarkvisitor.java,81384608,81384608,JdbcHighWaterMarkVisitor,integrations/spark/spark-catalog/spark-catalog-core,lower_complexity_half,0.0,0.0,0.0,5.0
16,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/missingtranslationscheck.java,39195736,39195736,MissingTranslationsCheck,jproperties-checks,lower_complexity_half,0.0,0.0,0.0,5.0
17,3713233:core/src/main/java/org/junithelper/core/util/stderr.java,3713233,3713233,Stderr,core,lower_complexity_half,0.0,0.0,0.0,5.0
18,46450575:flo-workflow/src/main/java/com/spotify/flo/evalcontextwithtask.java,46450575,46450575,EvalContextWithTask,flo-workflow,lower_complexity_half,0.0,0.0,0.0,5.0
19,74999474:parsec-clients/src/main/java/com/yahoo/parsec/clients/delegatenameresolver.java,74999474,74999474,DelegateNameResolver,parsec-clients,lower_complexity_half,0.0,0.0,0.0,5.0
20,85795396:metrics-dropwizardmetrics/src/main/java/org/apache/calcite/avatica/metrics/dropwizard/dropwizardhistogram.java,85795396,85795396,DropwizardHistogram,metrics-dropwizardmetrics,lower_complexity_half,100.0,0.0,100.0,105.0
21,97822421:infrastructure/src/main/java/com/pchudzik/springmock/infrastructure/definition/registry/doublenameresolver.java,97822421,97822421,DoubleNameResolver,infrastructure,lower_complexity_half,0.0,0.0,0.0,5.0
22,81384608:integrations/spark/spark-catalog/spark-catalog-core/src/main/java/com/thinkbiganalytics/kylo/catalog/spark/sources/jdbc/jdbchighwatermarkaccumulableparam.java,81384608,81384608,JdbcHighWaterMarkAccumulableParam,integrations/spark/spark-catalog/spark-catalog-core,lower_complexity_half,0.0,0.0,0.0,5.0
23,85795396:core/src/main/java/org/apache/calcite/avatica/remote/protobufhandler.java,85795396,85795396,ProtobufHandler,core,lower_complexity_half,0.0,0.0,0.0,5.0
24,6437134:enav-model/src/main/java/dk/dma/enav/safety/safetyzones.java,6437134,6437134,SafetyZones,enav-model,lower_complexity_half,0.0,0.0,0.0,5.0
25,66303306:event/src/main/java/com/bazaarvoice/emodb/event/eventstoremodule.java,66303306,66303306,EventStoreModule,event,lower_complexity_half,0.0,0.0,0.0,5.0
26,46450575:contrib/flo-styx/src/main/java/com/spotify/flo/contrib/styx/structuredlogging.java,46450575,46450575,StructuredLogging,contrib/flo-styx,lower_complexity_half,0.0,0.0,0.0,5.0
27,64487983:bridge/src/main/java/com/iluwatar/bridge/souleatingmagicweapon.java,64487983,64487983,SoulEatingMagicWeapon,bridge,lower_complexity_half,0.0,20.0,-20.0,-15.0
28,46450575:flo-workflow/src/main/java/com/spotify/flo/context/asynccontext.java,46450575,46450575,AsyncContext,flo-workflow,lower_complexity_half,0.0,0.0,0.0,5.0
29,64487983:bridge/src/main/java/com/iluwatar/bridge/blindingmagicweapon.java,64487983,64487983,BlindingMagicWeapon,bridge,lower_complexity_half,0.0,20.0,-20.0,-15.0
30,85795396:metrics-dropwizardmetrics/src/main/java/org/apache/calcite/avatica/metrics/dropwizard/dropwizardmetricssystem.java,85795396,85795396,DropwizardMetricsSystem,metrics-dropwizardmetrics,lower_complexity_half,0.0,0.0,0.0,5.0
31,64487983:bridge/src/main/java/com/iluwatar/bridge/flyingmagicweapon.java,64487983,64487983,FlyingMagicWeapon,bridge,lower_complexity_half,0.0,20.0,-20.0,-15.0
32,46450575:flo-workflow/src/main/java/com/spotify/flo/context/forwardingevalcontext.java,46450575,46450575,ForwardingEvalContext,flo-workflow,lower_complexity_half,0.0,0.0,0.0,5.0
33,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/user/blacklists.java,43105609,43105609,BlackLists,weixin-mp,lower_complexity_half,0.0,0.0,0.0,5.0
34,60578004:elastic-jobx-core/src/main/java/com/dangdang/ddframe/job/internal/config/configurationnode.java,60578004,60578004,ConfigurationNode,elastic-jobx-core,lower_complexity_half,0.0,0.0,0.0,5.0
35,558963:httpcache4j-api/src/main/java/org/codehaus/httpcache4j/payload/formdatapayload.java,558963,558963,FormDataPayload,httpcache4j-api,lower_complexity_half,0.0,0.0,0.0,5.0
36,41547678:turin-compiler/src/main/java/me/tomassetti/turin/typesystem/voidtypeusage.java,41547678,41547678,VoidTypeUsage,turin-compiler,lower_complexity_half,0.0,0.0,0.0,5.0
37,45997449:webrex/src/main/java/com/ebayopensource/webrex/resource/resourcewrapper.java,45997449,45997449,ResourceWrapper,WebRex,lower_complexity_half,0.0,0.0,0.0,5.0
38,77481567:core/src/main/java/de/voidnode/trading4j/indicators/adx/truerange.java,77481567,77481567,TrueRange,core,lower_complexity_half,0.0,0.0,0.0,5.0
39,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/invertbinarytree/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board,lower_complexity_half,0.0,0.0,0.0,5.0
40,9884445:minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/entity/metadata/handler/securemultipleannotationhandler.java,9884445,9884445,SecureMultipleAnnotationHandler,minnal-jaxrs/minnal-instrumentation-jaxrs,lower_complexity_half,0.0,0.0,0.0,5.0
41,78444970:examples/graph/src/main/java/graph/algorithm/color/welshpowell.java,78444970,78444970,WelshPowell,examples/graph,lower_complexity_half,0.0,0.0,0.0,5.0
42,97822421:infrastructure/src/main/java/com/pchudzik/springmock/infrastructure/annotation/nodoubleclassdefined.java,97822421,97822421,NoDoubleClassDefined,infrastructure,lower_complexity_half,100.0,0.0,100.0,105.0
43,95247959:http-clients/netty-nio-client/src/main/java/software/amazon/awssdk/http/nio/netty/internal/http2/http2goawayeventlistener.java,95247959,95247959,Http2GoAwayEventListener,http-clients/netty-nio-client,lower_complexity_half,0.0,0.0,0.0,5.0
44,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/maximumdepthofbinarytree/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board,lower_complexity_half,100.0,0.0,100.0,105.0
45,3713233:core/src/main/java/org/junithelper/core/util/threadutil.java,3713233,3713233,ThreadUtil,core,lower_complexity_half,100.0,0.0,100.0,105.0
46,97822421:infrastructure/src/main/java/com/pchudzik/springmock/infrastructure/spring/mockclassresolver.java,97822421,97822421,MockClassResolver,infrastructure,lower_complexity_half,0.0,33.33,-33.33,-28.33
47,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/server/response/terminateexecution.java,44308560,44308560,TerminateExecution,src/RobotFrameworkCore/org.robotframework.ide.core-functions,lower_complexity_half,0.0,0.0,0.0,5.0
48,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/server/response/evaluatecondition.java,44308560,44308560,EvaluateCondition,src/RobotFrameworkCore/org.robotframework.ide.core-functions,lower_complexity_half,0.0,0.0,0.0,5.0
49,77481567:core/src/main/java/de/voidnode/trading4j/functionality/timeframeconversion/timeframeconvertingtradeguard.java,77481567,77481567,TimeFrameConvertingTradeGuard,core,lower_complexity_half,0.0,0.0,0.0,5.0
50,64487983:hexagonal/src/main/java/com/iluwatar/hexagonal/app.java,64487983,64487983,App,hexagonal,lower_complexity_half,0.0,20.0,-20.0,-15.0
