check,status,detail
OPENAI_API_KEY,PASS,present
openai_httpx_client,PASS,openai=1.51.2; httpx=0.27.2
detected_jdk_7,PASS,C:\Program Files\Java\java-se-7u75-ri
detected_jdk_8,PASS,C:\Program Files\Java\jdk1.8.0_172
detected_jdk_11,PASS,C:\Program Files\Java\jdk-11.0.0.2
detected_jdk_17,PASS,C:\Program Files\Java\jdk-17.0.0.1
detected_jdk_21,PASS,C:\Program Files\Java\jdk-21
detected_jdk_24,PASS,C:\Program Files\Java\jdk-24
detected_jdk_25,PASS,C:\Program Files\Java\jdk-25
detected_jdk_26,PASS,C:\Program Files\Java\jdk-26
JAVA_HOME_6,PASS,C:\Program Files\Java\jdk1.8.0_172
JAVA_HOME_7,PASS,C:\Program Files\Java\java-se-7u75-ri
JAVA_HOME_8,PASS,C:\Program Files\Java\jdk1.8.0_172
JAVA_HOME_11,PASS,C:\Program Files\Java\jdk-11.0.0.2
JAVA_HOME_17,PASS,C:\Program Files\Java\jdk-17.0.0.1
JAVA_HOME_21,PASS,C:\Program Files\Java\jdk-21
JAVA_HOME_25,PASS,C:\Program Files\Java\jdk-25
JAVA_HOME_26,PASS,C:\Program Files\Java\jdk-26
evosuite-1.2.0.jar,PASS,D:\pilot_delivery\pilot_delivery\pilot_bundle_24\evosuite-1.2.0.jar
evosuite-standalone-runtime-1.2.0.jar,PASS,D:\pilot_delivery\pilot_delivery\pilot_bundle_24\evosuite-standalone-runtime-1.2.0.jar
TestSmellDetector.jar,PASS,D:\pilot_delivery\pilot_delivery\pilot_bundle_24\TestSmellDetector.jar
staged_buildable_classes,PASS,23
model,INFO,gpt-4o-mini-2024-07-18
