Project,Focal_Class,Test_Class,Focal_Path,Test_Path,Module,Repo_URL,Commit_SHA,Pilot_Rank,Order_Index,NLOC,Max_Method_CC,Public_Method_Count,Method_Count,Avg_Method_CC,Sum_Method_CC,Java_Version,Build_Tool,Selected_Type,Pilot_Seed,source_row_index,compiled_focal_path,compiled_test_path
58086354,OkHttpClientStream,OkHttpClientStreamTest,repos/58086354/demo/gRPC/okhttp/src/main/java/io/grpc/okhttp/OkHttpClientStream.java,repos/58086354/demo/gRPC/okhttp/src/test/java/io/grpc/okhttp/OkHttpClientStreamTest.java,demo/gRPC/okhttp,https://github.com/BitTigerInst/miniCassandra,a996a3bc1f21a9bf0a6589d4ba96dfea99a5ff4f,1,41,217,5,2,18,1.83,33,8,maven,pilot,42,0,compiledrepos/58086354/demo/gRPC/okhttp/src/main/java/io/grpc/okhttp/OkHttpClientStream.java,compiledrepos/58086354/demo/gRPC/okhttp/src/test/java/io/grpc/okhttp/OkHttpClientStreamTest.java
6489406,ScenarioTracker,ScenarioTrackerTest,repos/6489406/ais-lib-communication/src/main/java/dk/dma/ais/tracker/scenarioTracker/ScenarioTracker.java,repos/6489406/ais-lib-communication/src/test/java/dk/dma/ais/tracker/scenarioTracker/ScenarioTrackerTest.java,ais-lib-communication,https://github.com/dma-ais/AisLib,7b3429115a3c1a8d52b30298e17e2a4f757dfd72,2,48,304,5,1,44,1.64,72,unknown_but_builds_with_jdk8,maven,pilot,42,1,compiledrepos/6489406/ais-lib-communication/src/main/java/dk/dma/ais/tracker/scenarioTracker/ScenarioTracker.java,compiledrepos/6489406/ais-lib-communication/src/test/java/dk/dma/ais/tracker/scenarioTracker/ScenarioTrackerTest.java
49126308,ElasticScroll,ElasticScrollTest,repos/49126308/db-scroll-elastic/src/main/java/com/jeromeloisel/database/scroll/elastic/ElasticScroll.java,repos/49126308/db-scroll-elastic/src/test/java/com/jeromeloisel/database/scroll/elastic/ElasticScrollTest.java,db-scroll-elastic,https://github.com/jloisel/elastic-crud,840debc39f5795aaa2b2ff96d02f8e6505e61ac5,3,299,96,5,7,8,1.5,12,8,maven,pilot,42,2,compiledrepos/49126308/db-scroll-elastic/src/main/java/com/jeromeloisel/database/scroll/elastic/ElasticScroll.java,compiledrepos/49126308/db-scroll-elastic/src/test/java/com/jeromeloisel/database/scroll/elastic/ElasticScrollTest.java
39770930,WaitAvailableBrowsersChecker,WaitAvailableBrowsersCheckerTest,repos/39770930/proxy/src/main/java/ru/qatools/gridrouter/sessions/WaitAvailableBrowsersChecker.java,repos/39770930/proxy/src/test/java/ru/qatools/gridrouter/sessions/WaitAvailableBrowsersCheckerTest.java,proxy,https://github.com/seleniumkit/gridrouter,13aec297eac977effa987dc5940283614956ced5,4,448,64,5,3,7,1.57,11,8,maven,pilot,42,3,compiledrepos/39770930/proxy/src/main/java/ru/qatools/gridrouter/sessions/WaitAvailableBrowsersChecker.java,compiledrepos/39770930/proxy/src/test/java/ru/qatools/gridrouter/sessions/WaitAvailableBrowsersCheckerTest.java
37489990,TraceValve,TraceValveTest,repos/37489990/tomcat-gcp-lib/src/main/java/com/google/cloud/runtimes/tomcat/trace/TraceValve.java,repos/37489990/tomcat-gcp-lib/src/test/java/com/google/cloud/runtimes/tomcat/trace/TraceValveTest.java,tomcat-gcp-lib,https://github.com/GoogleCloudPlatform/tomcat-runtime,01722349149417368f95d490d88bda7cba6c8573,5,544,101,5,1,8,2.0,16,8,maven,pilot,42,4,compiledrepos/37489990/tomcat-gcp-lib/src/main/java/com/google/cloud/runtimes/tomcat/trace/TraceValve.java,compiledrepos/37489990/tomcat-gcp-lib/src/test/java/com/google/cloud/runtimes/tomcat/trace/TraceValveTest.java
5093728,FeatureContext,FeatureContextTest,repos/5093728/core/src/main/java/com/googlecode/fitchy/FeatureContext.java,repos/5093728/core/src/test/java/com/googlecode/fitchy/FeatureContextTest.java,core,https://github.com/ankaubisch/fitchy,4288158b83139949205455b1d5e0fa91f7ac3c6a,6,333,156,6,3,20,2.05,41,unknown_but_builds_with_jdk8,maven,pilot,42,5,compiledrepos/5093728/core/src/main/java/com/googlecode/fitchy/FeatureContext.java,compiledrepos/5093728/core/src/test/java/com/googlecode/fitchy/FeatureContextTest.java
7283919,TeradataDatePeriod,TeradataDatePeriodTest,repos/7283919/dbfit-java/teradata/src/main/java/dbfit/environment/TeradataDatePeriod.java,repos/7283919/dbfit-java/teradata/src/test/java/dbfit/environment/TeradataDatePeriodTest.java,dbfit-java,https://github.com/dbfit/dbfit,d86459c0d17f1046385c6d8a3edd00a784299f47,7,365,43,6,3,3,3.67,11,unknown_but_builds_with_jdk8,gradle,pilot,42,6,compiledrepos/7283919/dbfit-java/teradata/src/main/java/dbfit/environment/TeradataDatePeriod.java,compiledrepos/7283919/dbfit-java/teradata/src/test/java/dbfit/environment/TeradataDatePeriodTest.java
58767125,BigComplex,BigComplexTest,repos/58767125/ch.obermuhlner.math.big/src/main/java/ch/obermuhlner/math/big/BigComplex.java,repos/58767125/ch.obermuhlner.math.big/src/test/java/ch/obermuhlner/math/big/BigComplexTest.java,ch.obermuhlner.math.big,https://github.com/eobermuhlner/big-math,7d84ea3ffcef4808a2e9b6376a1d2e472e2ca08f,8,497,195,6,14,39,1.38,54,unknown_but_builds_with_jdk8,maven,pilot,42,7,compiledrepos/58767125/ch.obermuhlner.math.big/src/main/java/ch/obermuhlner/math/big/BigComplex.java,compiledrepos/58767125/ch.obermuhlner.math.big/src/test/java/ch/obermuhlner/math/big/BigComplexTest.java
56342003,AbstractService,AbstractServiceTest,repos/56342003/kangaroo-server-authz/src/main/java/net/krotscheck/kangaroo/authz/admin/v1/resource/AbstractService.java,repos/56342003/kangaroo-server-authz/src/test/java/net/krotscheck/kangaroo/authz/admin/v1/resource/AbstractServiceTest.java,kangaroo-server-authz,https://github.com/kangaroo-server/kangaroo,8b71eb416b7db8acd10467cefd57dc0a6b2c84c5,9,51,205,7,3,23,1.87,43,unknown_but_builds_with_jdk8,maven,pilot,42,8,compiledrepos/56342003/kangaroo-server-authz/src/main/java/net/krotscheck/kangaroo/authz/admin/v1/resource/AbstractService.java,compiledrepos/56342003/kangaroo-server-authz/src/test/java/net/krotscheck/kangaroo/authz/admin/v1/resource/AbstractServiceTest.java
74217,FieldLocator,FieldLocatorTest,repos/74217/flapjack-annotation/src/main/java/flapjack/annotation/FieldLocator.java,repos/74217/flapjack-annotation/src/test/java/flapjack/annotation/FieldLocatorTest.java,flapjack-annotation,https://github.com/born2snipe/flapjack,c32599a0db5c97a47820f2c8c943dcb65591470b,10,214,52,7,1,5,3.8,19,unknown_but_builds_with_jdk8,maven,pilot,42,9,compiledrepos/74217/flapjack-annotation/src/main/java/flapjack/annotation/FieldLocator.java,compiledrepos/74217/flapjack-annotation/src/test/java/flapjack/annotation/FieldLocatorTest.java
74458764,CookieSessionTracking,TestCookieSessionTracking,repos/74458764/session-replacement/src/main/java/com/amadeus/session/servlet/CookieSessionTracking.java,repos/74458764/session-replacement/src/test/java/com/amadeus/session/servlet/TestCookieSessionTracking.java,session-replacement,https://github.com/AmadeusITGroup/HttpSessionReplacer,16e9d930f4743ea27d83322f0a9dfb6e0eb41b2a,11,349,80,7,1,5,3.4,17,8,maven,pilot,42,10,compiledrepos/74458764/session-replacement/src/main/java/com/amadeus/session/servlet/CookieSessionTracking.java,compiledrepos/74458764/session-replacement/src/test/java/com/amadeus/session/servlet/TestCookieSessionTracking.java
