sample_index,class_key,project,repo_id,module,scope_key,build_tool,focal_class,test_class,status,fail_stage,duration_sec,sandbox_path,detail
0,3713233:core/src/main/java/org/junithelper/core/file/filesearcherfactory.java,3713233,3713233,core,maven:core,Maven,FileSearcherFactory,FileSearcherFactory_RBL4Test_5e446228,PASS,ok,6.662,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\000_3713233_FileSearcherFactory_5e446228,sandbox readiness passed
1,3713233:core/src/main/java/org/junithelper/core/extractor/constructormetaextractor.java,3713233,3713233,core,maven:core,Maven,ConstructorMetaExtractor,ConstructorMetaExtractor_RBL4Test_aefe9473,PASS,ok,6.664,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\001_3713233_ConstructorMetaExtractor_aefe9473,sandbox readiness passed
2,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/scheduler/quartzjob.java,3847504,3847504,modules/weblounge-common,maven:modules/weblounge-common,Maven,QuartzJob,QuartzJob_RBL4Test_b84fb44f,PASS,ok,128.878,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\002_3847504_QuartzJob_b84fb44f,sandbox readiness passed
3,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/pageimpl.java,3847504,3847504,modules/weblounge-common,maven:modules/weblounge-common,Maven,PageImpl,PageImpl_RBL4Test_f985aed1,PASS,ok,122.205,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\003_3847504_PageImpl_f985aed1,sandbox readiness passed
4,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/missingtranslationscheck.java,39195736,39195736,jproperties-checks,maven:jproperties-checks,Maven,MissingTranslationsCheck,MissingTranslationsCheck_RBL4Test_be7ec32e,PASS,ok,18.967,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\004_39195736_MissingTranslationsCheck_be7ec32e,sandbox readiness passed
5,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/separatorconventioncheck.java,39195736,39195736,jproperties-checks,maven:jproperties-checks,Maven,SeparatorConventionCheck,SeparatorConventionCheck_RBL4Test_f2dcb8d8,PASS,ok,12.634,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\005_39195736_SeparatorConventionCheck_f2dcb8d8,sandbox readiness passed
6,41547678:turin-standard-library/src/main/java/turin/context/context.java,41547678,41547678,turin-standard-library,maven:turin-standard-library,Maven,Context,Context_RBL4Test_34266f79,PASS,ok,8.687,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\006_41547678_Context_34266f79,sandbox readiness passed
7,41547678:turin-compiler/src/main/java/me/tomassetti/turin/resolvers/srcsymbolresolver.java,41547678,41547678,turin-compiler,maven:turin-compiler,Maven,SrcSymbolResolver,SrcSymbolResolver_RBL4Test_8fe4f5a7,PASS,ok,15.959,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\007_41547678_SrcSymbolResolver_8fe4f5a7,sandbox readiness passed
8,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/battleship/solution.java,41627638,41627638,leetcode/battleships-in-a-board,gradle:leetcode/battleships-in-a-board,Gradle,Solution,Solution_RBL4Test_d71b298e,PASS,ok,30.911,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\008_41627638_Solution_d71b298e,sandbox readiness passed
9,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/maxpointonline/plainloop/solution.java,41627638,41627638,leetcode/battleships-in-a-board,gradle:leetcode/battleships-in-a-board,Gradle,Solution,Solution_RBL4Test_5e962fc1,PASS,ok,8.163,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\009_41627638_Solution_5e962fc1,sandbox readiness passed
