sample_index,class_key,project,repo_id,focal_class,focal_path,module,scope_key,build_tool,java_version,complexity_half,nloc,token_count,method_count,public_method_count,max_method_cc,sum_method_cc,avg_method_cc,selection_rank_in_repo,original_manifest_index,split_name,evosuite_branch_coverage,gpt_branch_coverage,evosuite_compilation,gpt_compilation,evosuite_line_coverage,gpt_line_coverage,evosuite_method_coverage,gpt_method_coverage,evosuite_mutation_coverage,gpt_mutation_coverage,evosuite_strict_branch_coverage,gpt_strict_branch_coverage,evosuite_strict_line_coverage,gpt_strict_line_coverage,evosuite_strict_method_coverage,gpt_strict_method_coverage,evosuite_strict_mutation_coverage,gpt_strict_mutation_coverage,strict_mutation_diff_gpt_minus_evosuite,rq4_wilcoxon_shifted_value,strict_branch_diff_gpt_minus_evosuite
0,3713233:core/src/main/java/org/junithelper/core/file/filesearcherfactory.java,3713233,3713233,FileSearcherFactory,core/src/main/java/org/junithelper/core/file/FileSearcherFactory.java,core,maven:core,Maven,1.6,lower_complexity_half,8,34,2,1,1,2,1.0,4,8,pilot60,,,1,1,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,105.0,0.0
1,3713233:core/src/main/java/org/junithelper/core/extractor/constructormetaextractor.java,3713233,3713233,ConstructorMetaExtractor,core/src/main/java/org/junithelper/core/extractor/ConstructorMetaExtractor.java,core,maven:core,Maven,1.6,higher_complexity_half,131,1108,6,3,13,23,3.8333333333333335,1,279,pilot60,38.24,35.29,1,1,53.57,48.81,100.0,100.0,3.85,11.54,38.24,35.29,53.57,48.81,100.0,100.0,3.85,11.54,7.6899999999999995,12.69,-2.950000000000003
2,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/scheduler/quartzjob.java,3847504,3847504,QuartzJob,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/scheduler/QuartzJob.java,modules/weblounge-common,maven:modules/weblounge-common,Maven,1.7,higher_complexity_half,224,1702,26,24,9,49,1.8846153846153846,1,257,pilot60,68.42,,1,0,66.89,,65.38,,25.0,,68.42,0.0,66.89,0.0,65.38,0.0,25.0,0.0,-25.0,-20.0,-68.42
3,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/pageimpl.java,3847504,3847504,PageImpl,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/PageImpl.java,modules/weblounge-common,maven:modules/weblounge-common,Maven,1.7,higher_complexity_half,266,2106,23,19,17,68,2.9565217391304346,2,290,pilot60,78.89,,1,0,82.46,,95.83,,33.33,,78.89,0.0,82.46,0.0,95.83,0.0,33.33,0.0,-33.33,-28.33,-78.89
4,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/missingtranslationscheck.java,39195736,39195736,MissingTranslationsCheck,jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/MissingTranslationsCheck.java,jproperties-checks,maven:jproperties-checks,Maven,1.8,lower_complexity_half,37,296,3,3,1,3,1.0,1,16,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
5,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/separatorconventioncheck.java,39195736,39195736,SeparatorConventionCheck,jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/SeparatorConventionCheck.java,jproperties-checks,maven:jproperties-checks,Maven,1.8,higher_complexity_half,74,554,5,3,9,15,3.0,2,249,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
6,41547678:turin-standard-library/src/main/java/turin/context/context.java,41547678,41547678,Context,turin-standard-library/src/main/java/turin/context/Context.java,turin-standard-library,maven:turin-standard-library,Maven,1.8,lower_complexity_half,32,212,5,4,2,6,1.2,3,58,pilot60,0.0,100.0,1,1,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,105.0,100.0
7,41547678:turin-compiler/src/main/java/me/tomassetti/turin/resolvers/srcsymbolresolver.java,41547678,41547678,SrcSymbolResolver,turin-compiler/src/main/java/me/tomassetti/turin/resolvers/SrcSymbolResolver.java,turin-compiler,maven:turin-compiler,Maven,1.8,higher_complexity_half,116,938,10,9,7,24,2.4,1,222,pilot60,60.71,,1,0,53.45,,80.0,,31.58,,60.71,0.0,53.45,0.0,80.0,0.0,31.58,0.0,-31.58,-26.58,-60.71
8,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/battleship/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board/src/main/java/com/github/battleship/Solution.java,leetcode/battleships-in-a-board,gradle:leetcode/battleships-in-a-board,Gradle,1.8,lower_complexity_half,30,179,3,1,4,9,3.0,1,128,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
9,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/maxpointonline/plainloop/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board/src/main/java/com/github/maxpointonline/plainloop/Solution.java,leetcode/battleships-in-a-board,gradle:leetcode/battleships-in-a-board,Gradle,1.8,higher_complexity_half,73,433,6,1,6,16,2.6666666666666665,4,196,pilot60,,100.0,0,1,,100.0,,100.0,,93.55,0.0,100.0,0.0,100.0,0.0,100.0,0.0,93.55,93.55,98.55,100.0
10,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/care/caremessages.java,43105609,43105609,CareMessages,weixin-mp/src/main/java/com/riversoft/weixin/mp/care/CareMessages.java,weixin-mp,maven:weixin-mp,Maven,1.8,lower_complexity_half,126,1167,23,21,3,25,1.0869565217391304,1,117,pilot60,100.0,,1,0,52.86,,59.09,,6.67,,100.0,0.0,52.86,0.0,59.09,0.0,6.67,0.0,-6.67,-1.67,-100.0
11,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/media/materials.java,43105609,43105609,Materials,weixin-mp/src/main/java/com/riversoft/weixin/mp/media/Materials.java,weixin-mp,maven:weixin-mp,Maven,1.8,higher_complexity_half,243,1985,36,33,4,46,1.2777777777777777,3,163,pilot60,30.0,,1,0,25.71,,45.83,,10.81,,30.0,0.0,25.71,0.0,45.83,0.0,10.81,0.0,-10.81,-5.8100000000000005,-30.0
12,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/argumentsfile.java,44308560,44308560,ArgumentsFile,src/RobotFrameworkCore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/ArgumentsFile.java,src/RobotFrameworkCore/org.robotframework.ide.core-functions,maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions,Maven,1.8,lower_complexity_half,85,729,9,1,4,17,1.8888888888888888,1,147,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
