sample_index,class_key,project,repo_id,focal_class,module,complexity_half,gpt_strict_mutation_coverage,evosuite_strict_mutation_coverage,strict_mutation_diff_gpt_minus_evosuite,rq4_wilcoxon_shifted_value
0,3713233:core/src/main/java/org/junithelper/core/file/filesearcherfactory.java,3713233,3713233,FileSearcherFactory,core,lower_complexity_half,100.0,0.0,100.0,105.0
1,3713233:core/src/main/java/org/junithelper/core/extractor/constructormetaextractor.java,3713233,3713233,ConstructorMetaExtractor,core,higher_complexity_half,11.54,3.85,7.6899999999999995,12.69
2,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/scheduler/quartzjob.java,3847504,3847504,QuartzJob,modules/weblounge-common,higher_complexity_half,0.0,25.0,-25.0,-20.0
3,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/pageimpl.java,3847504,3847504,PageImpl,modules/weblounge-common,higher_complexity_half,0.0,33.33,-33.33,-28.33
4,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/missingtranslationscheck.java,39195736,39195736,MissingTranslationsCheck,jproperties-checks,lower_complexity_half,0.0,0.0,0.0,5.0
5,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/separatorconventioncheck.java,39195736,39195736,SeparatorConventionCheck,jproperties-checks,higher_complexity_half,0.0,0.0,0.0,5.0
6,41547678:turin-standard-library/src/main/java/turin/context/context.java,41547678,41547678,Context,turin-standard-library,lower_complexity_half,100.0,0.0,100.0,105.0
7,41547678:turin-compiler/src/main/java/me/tomassetti/turin/resolvers/srcsymbolresolver.java,41547678,41547678,SrcSymbolResolver,turin-compiler,higher_complexity_half,0.0,31.58,-31.58,-26.58
8,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/battleship/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board,lower_complexity_half,0.0,0.0,0.0,5.0
9,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/maxpointonline/plainloop/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board,higher_complexity_half,93.55,0.0,93.55,98.55
10,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/care/caremessages.java,43105609,43105609,CareMessages,weixin-mp,lower_complexity_half,0.0,6.67,-6.67,-1.67
11,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/media/materials.java,43105609,43105609,Materials,weixin-mp,higher_complexity_half,0.0,10.81,-10.81,-5.8100000000000005
12,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/argumentsfile.java,44308560,44308560,ArgumentsFile,src/RobotFrameworkCore/org.robotframework.ide.core-functions,lower_complexity_half,0.0,0.0,0.0,5.0
13,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/debug/stackframevariables.java,44308560,44308560,StackFrameVariables,src/RobotFrameworkCore/org.robotframework.ide.core-functions,higher_complexity_half,0.0,0.0,0.0,5.0
14,45997449:webrex/src/main/java/com/ebayopensource/webrex/resource/resourcewrapper.java,45997449,45997449,ResourceWrapper,WebRex,lower_complexity_half,0.0,0.0,0.0,5.0
15,45997449:webrex/src/main/java/com/ebayopensource/webrex/resource/expression/resourceelevaluator.java,45997449,45997449,ResourceELEvaluator,WebRex,higher_complexity_half,0.0,57.14,-57.14,-52.14
16,46396068:hbase0.98/hbase-common-0.98/src/main/java/com/kakao/hbase/common/util/alertsender.java,46396068,46396068,AlertSender,hbase0.98/hbase-common-0.98,lower_complexity_half,33.33,0.0,33.33,38.33
17,46396068:hbase0.98/hbase-manager-0.98/src/main/java/com/kakao/hbase/manager/command/mc.java,46396068,46396068,MC,hbase0.98/hbase-manager-0.98,higher_complexity_half,0.0,0.0,0.0,5.0
18,46450575:flo-workflow/src/main/java/com/spotify/flo/context/asynccontext.java,46450575,46450575,AsyncContext,flo-workflow,lower_complexity_half,0.0,0.0,0.0,5.0
19,46450575:flo-workflow/src/main/java/com/spotify/flo/taskids.java,46450575,46450575,TaskIds,flo-workflow,higher_complexity_half,0.0,0.0,0.0,5.0
20,48046454:hazelcast-jet-core/src/main/java/com/hazelcast/jet/impl/jetclientinstanceimpl.java,48046454,48046454,JetClientInstanceImpl,hazelcast-jet-core,lower_complexity_half,0.0,0.0,0.0,5.0
21,48046454:hazelcast-jet-core/src/main/java/com/hazelcast/jet/impl/util/skewreductionpolicy.java,48046454,48046454,SkewReductionPolicy,hazelcast-jet-core,higher_complexity_half,0.0,0.0,0.0,5.0
22,49384652:niubi-job-framework/niubi-job-core/src/main/java/com/zuoxiaolong/niubi/job/core/helper/objecthelper.java,49384652,49384652,ObjectHelper,niubi-job-framework/niubi-job-core,lower_complexity_half,0.0,11.11,-11.11,-6.109999999999999
